term,frequency
guayaquil,175
seguir,102
ciudad,85
junto,69
nuevo,58
progreso,56
sueno,56
cada,52
guayaquileno,51
hacer,50
obra,45
bienestar,45
centro,44
grande,43
sigueguayaquilsigar,40
joven,38
gracias,36
seguirar,34
futuro,30
droga,28
seguridad,27
familia,27
votar,24
distrito,24
empleo,24
camino,24
respaldo,24
hijo,23
mujer,23
conversar,22
conocer,22
cumplir,22
siempre,22
rehabilitacion,22
cynthiaviteri6,21
radio,21
sintonizar,20
equipo,20
gran,20
dia,20
entrevista,20
rcristal870am,20
venir,19
todo,19
trabajar,19
sigueguayaquilsiguir,19
crecer,18
medio,17
tambien,17
solo,17
camara,16
construir,16
escuchame,16
voto,16
poder,15
ampliar,15
vivo,15
buen,15
domingo,15
fortalecer,14
madre,14
rescatar,14
sucre,14
radioamericaec,14
gratuito,14
plan,14
reconocimiento,14
programa,14
ser,14
servicio,14
parte,13
rayatodititititola6,13
llegar,13
proyecto,13
semana,13
hablar,13
idea,12
pierda,12
guayaquilfuturo,12
atencion,12
contar,12
ahora,12
alegrio,12
serar,11
propuesta,11
facial,11
deber,11
sonar,11
rincon,11
trabajo,11
violencia,11
radioelite9971,11
realidad,11
gente,11
mejor,11
graciasgye,10
salud,10
alcaldesa,10
municipal,10
casa,10
generar,10
680radioatalaya,10
aqui,10
administracion,10
innovacion,10
desintoxicacion,10
radiomorena640,10
corazon,10
vida,10
empezar,10
mujeresconcynthio,10
primero,10
impulsar,10
guasmo,10
atender,9
aerovia,9
saber,9
radiocentroec,9
tecnologia,9
convertir,9
guayaquilena,9
querer,9
nino,9
defender,8
estarir,8
rayatoditititito6,8
bus,8
animal,8
adema,8
escuchar,8
jovenesconcynthia,8
perder,8
campán,8
ejemplo,8
esperar,8
concejal,8
llevar,8
posible,8
instituto,8
colegio,8
escuela,8
mercado,8
tener,8
partir,8
implementar,8
bastion,8
recibir,7
incondicional,7
rtsecuador,7
manán,7
mano,7
amigo,7
medica,7
radiorumbaec,7
implementarer,7
entregar,7
cumplirer,7
alcaldio,7
proteger,7
alcaldesar,7
gracia,7
flor,7
vendedor,7
fisico,7
causa,7
analisis,7
caminar,7
inteligente,7
persona,7
conversatorioaer,7
confianza,7
mismo,7
compartir,7
vivienda,7
radiohuancavilk,7
fuerza,7
policia,7
ayer,6
poner,6
demostrar,6
desarrollo,6
comenzar,6
hogar,6
marzo,6
la6mdg,6
poco,6
engrandeceir,6
carrera,6
mayo,6
educacion,6
eficiencia,6
manera,6
faltar,6
compromiso,6
porunfuturosindroga,6
grito,6
brigado,6
movilidad,6
lleno,6
valentia,6
sero,6
emprendimiento,6
etapa,6
politico,6
chongon,6
salitral,6
construccion,6
general,5
momento,5
transformar,5
prioridad,5
nacional,5
delincuente,5
radioi99,5
tropicán,5
consumir,5
lograrer,5
ciudadano,5
mundo,5
calle,5
comprometo,5
sucre700,5
necesidad,5
carino,5
acto,5
puente,5
seguro,5
paso,5
monte,5
amor,5
hecho,5
apoyo,5
salir,5
pais,5
ubicado,5
jornada,5
amiga,5
canalunotv,5
digital,5
discapacidad,5
profesional,5
caer,5
modelo,5
podrar,5
inclusivo,5
sinai,5
atendido,5
debate,5
turismo,5
piloto,5
teleamazonasec,5
experiencia,5
ano,5
construirer,4
excelente,4
medicina,4
dejar,4
panico,4
comprometer,4
sitio,4
cuidar,4
enfocado,4
esfuerzo,4
elclubec,4
cerca,4
alcaldia,4
credito,4
logrado,4
