term,tf,idf,tf_idf
victoriadelapatrio,203,0.8543105118465538,173.42503390485044
vickydesintonio,148,1.1703042171242262,173.20502413438547
ciudadano,130,1.2999820404327587,168.9976652562586
cpccs,86,1.7131691946348335,147.33255073859567
ganaremosecuador,82,1.7607972436240882,144.38537397717522
ecuatoriano,77,1.8237110690346574,140.42575231566863
casillero6,76,1.83678315060201,139.59551944575276
voto,75,1.8500283773520307,138.7521283014023
participacion,71,1.9048366138470259,135.24339958313882
marzo,58,2.107073480341922,122.21026185983148
