term,frequency
triunfo,227
abenavidesgol1,115
copa,93
liga,84
goltvecu,77
quito,76
ecuador,70
empate,67
ligapro,61
americo,60
nuevo,59
independiente,56
juego,55
casa,55
final,54
emelec,50
tecnico,47
derrota,46
encuentro,46
deportivo,45
sudamericano,45
fabianvizcainor,43
goltvlatam,43
minuto,42
ligaproxgoltv,42
nacional,42
chellezabeth,42
sumar,40
auca,40
valencia,39
titular,38
quedo,37
barcelona,37
clasificacion,37
anunciar,35
valle,35
relato,34
serie,34
entrada,33
juez,32
delfin,32
saludo,32
atletico,32
jornada,32
libertador,32
goleado,32
universitario,32
hacer,32
comentario,31
campo,30
precio,30
goltv,30
macara,29
punto,29
sufrido,28
city,28
primero,27
seguir,27
catolico,26
excelente,25
guayaquil,25
mushuc,24
runa,23
transmision,23
honor,22
local,22
cuenco,21
olmedo,21
designado,21
torneo,21
canchaber,21
junto,21
logrado,20
juniors,20
united,20
listo,20
vencer,19
firmado,19
amarillo,19
encontrar,19
leagar,18
macar,18
argentino,18
universidad,18
ligaprobancopichincha,18
oficial,18
grupo,18
division,18
actuo,18
ecuatoriano,17
tres,17
poner,17
caicedo,17
saco,16
lesion,16
superar,16
buen,16
tras,16
mundial,16
fuerza,16
contar,16
cancha,16
seleccion,16
goltvplay,16
porteno,16
quedar,16
paraguay,15
partido,15
visitante,15
dale,15
manchester,15
banco,15
real,15
octavo,15
amigo,15
excepto,15
mineiro,14
peru,14
arturo,14
lazio,14
estar,13
semana,13
jugador,13
uruguay,13
convocado,13
estadual,13
enner,13
luis,13
leon,13
aucas45,13
cazar,13
ibarra,13
horario,12
alcanzar,12
puerto,12
santo,12
punta,12
andr,12
orense,12
delfinsc,12
europa,12
fecha,12
segundo,11
cuarto,11
empalme,11
definido,11
arboleda,11
juan,11
olimpia,11
bellavista,11
paulo,11
champions,11
sacar,11
west,11
melgar,11
santa,11
poder,10
candidato,10
frente,10
conocer,10
necaxa,10
levantar,10
felipe,10
tecnicouoficial,10
conmebol,10
recaudo,10
penal,10
bromwich,10
angel,10
junior,10
montero,10
gualaceo,10
johannvarela,10
sufrir,10
sornozar,10
corinthian,10
ambato,10
siguiente,10
gran,10
portoviejo,10
clasico,10
suplente,10
union,10
estreno,10
amistoso,10
mejor,9
manta,9
league,9
chile,9
williamdavilab,9
camino,9
venezuela,9
juvenil,9
contundente,9
estadio,9
achilier,9
termino,9
sierra,9
perder,9
once,9
mena,9
uefa,9
rita,9
cerrar,9
concachampions,9
dalir,9
ronda,9
victoria,9
santiagobucaram,9
accion,9
rival,8
