term,tf,df,idf,tf_idf
ciudadano,129,113,1.4401286721760005,185.77659871070406
voto,75,73,1.8770570497399501,140.77927873049626
ecuatoriano,72,62,2.04038210584325,146.907511620714
participacion,71,69,1.9334099862910819,137.2721090266668
marzo,58,56,2.142164800153192,124.24555840888513
pueblo,57,56,2.142164800153192,122.10339360873193
social,56,54,2.178532444324067,121.99781688214776
consejo,56,48,2.2963154799804504,128.59366687890522
popular,43,43,2.4063163751947787,103.47160413337548
mujer,41,41,2.4539444241840336,100.61172139154537
