term,frequency
jimenezalcalde,162
elguayaquilquetuquier,136
votatodocreo21,123
guayaquil,100
ciudad,79
ir,72
municipal,52
marzo,49
cambio,43
guayaquileno,38
creer,33
gran,33
querer,32
sector,31
junto,31
poder,29
empleo,28
vivo,28
obra,27
llegar,25
candidato,25
fcojimenez21,24
actividad,24
polyugarteg,24
propuesta,23
votar,22
unidad,22
necesitar,22
él,21
cada,20
siguiente,19
noche,19
multa,18
zona,18
gracias,18
gente,17
caravana,17
link,17
tarde,17
presupuesto,17
lograr,16
menos,16
fluvial,16
transporte,16
propio,16
sintonicir,16
apoyo,16
manán,16
independiente,16
debateguayaco,15
online,15
agenda,15
creoecuador,15
futuro,15
facebooklivir,15
buen,14
policia,14
metro,14
organizar,14
debateporguayaquil,14
trabajar,13
propuesto,13
tambien,12
hacer,12
comercio,11
escuchar,11
seguir,11
presentar,11
recorrer,11
droga,10
implementar,10
alcalde,10
dia,10
680radioatalaya,10
gracia,10
streaming,10
programa,10
comercial,10
implementarer,10
transito,10
silviafabar,10
entrevista,9
canal,9
construir,9
trabajo,9
campán,9
polyprefecto,9
estero,9
masivo,9
represion,8
gomezalexv,8
viernes,8
laposta,8
ahora,8
corredor,8
nacional,8
arrancar,8
radioi99,8
polideportivo,8
centro,8
lacamaragye,8
superk800radio,8
concejal,7
lassoguillermo,7
existir,7
ecuantén,7
alcaldio,7
orden,7
mujer,7
hecho,7
proponer,7
prevencion,7
rehabilitacion,7
metropolitano,7
bastion,7
caravana750,7
radio,7
debate,7
mercado,7
radioamericaec,6
call,6
domingo,6
sintonizar,6
criterio,6
deber,6
cercano,6
acompanano,6
comerciant,6
medio,6
joven,6
voto,6
jornada,6
recorrimo,6
todo,6
cierre,6
calidad,6
jimenez,6
esperar,6
recorrimos,6
llevar,6
wqradio,6
recorrido,6
decidir,6
recuperar,6
continuismo,6
conocer,6
oportunidad,6
integrado,6
abuso,6
flor,6
hora,6
conversar,6
vision,6
alcaldia,5
reinsercion,5
radioelite9971,5
radiocentroec,5
deporte,5
carino,5
recibirno,5
emprendimiento,5
equipo,5
ciudadano,5
familia,5
buscar,5
eje,5
recibimiento,5
20h00,5
problema,5
vida,5
tropicán,5
mejorar,5
desproporcionado,5
populismo,5
realidad,5
francisco,5
elguayaquilquetuquieres,5
dejar,5
invitacion,5
