term,frequency
elmejorguayaquildetodoslostiempo,213
guayaquil,154
jimmyjairala,135
uncafeconjj,74
jimmyjairalo,64
ciudad,63
teleradio1350,61
rtw24ec,57
hacer,50
nota,47
toledog,46
boletin,42
nuevo,41
sector,39
poder,39
guayaquileno,38
multa,36
campán,35
luisadelgadillo,34
alcaldio,34
rafaelcampossa,32
municipio,32
entrevista,31
ano,31
seguridad,30
seguir,30
alcalde,29
candidato,29
cnegobec,29
parroquia,28
servicio,28
municipal,28
guayaquilyadecidioporjairala,28
trabajar,27
plan,26
mirar,26
video,26
politico,25
centro,24
guayaquilyadecidioporjairalar,24
agua,23
ciudadano,23
decir,23
solo,23
deber,22
llegar,22
administracion,22
noto,22
querer,21
trabajo,21
cada,21
distrito,21
sero,21
marzo,20
paso,20
tambien,20
negocio,19
menos,19
votar,19
elmodeloexitosohaceagua,19
acto,19
ahora,19
cendemocratico,18
basico,18
cambio,18
esperar,18
voto,18
mejorar,17
construir,17
alcantarillado,17
publico,17
inundación,17
lunes,17
alcaldia,17
resumen,16
ecuador,16
lluvia,16
calle,16
popular,16
hablar,15
estar,15
familia,15
cambiar,15
morador,15
vecino,15
cpccs,15
electoral,15
candidata,15
hora,15
visita,14
junto,14
primero,14
visitar,14
tener,14
futuro,14
pais,14
transito,14
seguro,14
recibir,14
gracias,14
todo,14
suelo,14
inseguridad,14
droga,13
mercado,13
mejor,13
medio,13
cynthiaviteri6,13
casa,13
bajar,13
consejo,13
movilidad,13
trolls,13
propuesto,13
mujer,13
encuesta,13
guayaquilyadecidioporjairalo,13
ser,13
vida,13
carro,13
mayo,13
presentar,13
saber,13
necesario,13
vivir,13
participacion,12
llevar,12
mientras,12
sistema,12
nunca,12
transporte,12
control,12
mismo,12
gente,12
cierre,12
espacio,12
creer,12
persona,12
sinai,11
conocer,11
contaminacion,11
bien,11
social,11
oficial,11
informal,11
puerta,11
parte,11
recorrimos,11
venir,11
urbano,11
elmodeloexitosohaceaguo,11
tiempo,11
ordenanza,10
realidad,10
dejar,10
pequeno,10
esperanza,10
prefecto,10
monte,10
poco,10
barrio,10
informo,10
eleccion,10
cerca,10
minuto,10
suburbio,9
siguiente,9
escritura,9
inteligente,9
igual,9
progreso,9
presidente,9
posorja,9
costa,9
lanoticia,9
invitado,9
obra,9
propuesta,9
autonomos,9
sino,9
funcionar,9
rural,9
cooperativo,9
mensaje,9
nivel,9
joven,9
peatonal,9
invito,9
tema,9
salud,9
poner,9
debateporguayaquil,9
usar,9
febr,9
nacional,9
serar,9
vehiculo,9
cordero,9
alto,8
domingo,8
verde,8
radiocentroec,8
situacion,8
decena,8
violencia,8
toral,8
escuela,8
comerciante,8
recoleccion,8
pagar,8
siempre,8
basura,8
partido,8
recorrido,8
problema,8
local,8
condición,8
vivo,8
corteconstecu,8
proceso,8
regalar,8
atencion,8
puna,8
afectado,8
sergio,8
asambleaecuador,8
radiohuancavilk,8
buen,8
modelo,8
pedir,8
conversar,8
zona,7
recorrio,7
art,7
habitante,7
oficio,7
crear,7
cerro,7
publicidad,7
regularizar,7
permiso,7
delincuencia,7
abuso,7
concejal,7
alborado,7
pensar,7
claro,7
respaldo,7
aire,7
dia,7
miro,7
miembro,7
nadie,7
abusivo,7
peatón,7
final,7
segun,7
electo,7
tomar,7
taxi,7
hecho,7
sucre,7
mil,7
faltar,7
prefectura,7
areas,7
millón,7
nan,7
habra,7
amigo,7
necesitar,7
isla,7
apenas,7
abandono,7
humanista,6
alcantarilla,6
ambiente,6
pasar,6
segundo,6
candidatura,6
correcto,6
deficiente,6
recorrer,6
pese,6
consumo,6
urna,6
empresa,6
taxista,6
forma,6
tendra,6
ganar,6
pendiente,6
prevencion,6
actual,6
terminar,6
policia,6
anos,6
amarillo,6
exigir,6
resultado,6
denunciar,6
importante,6
tampoco,6
respetar,6
luego,6
podra,6
acuerdo,6
malecon,6
voluntad,6
contar,6
movimiento,6
dar,6
publicar,6
altura,6
partir,6
guaya,6
inclusivo,6
salir,6
entusiasmo,6
transitorio,6
pascual,6
comercial,6
garcia,6
atenuar,6
