term,frequency
cpccs,211
ecuador,172
mariafernandarivadeneira,136
entrevista,77
manabi,57
participacion,56
ciudadano,55
casillero2,51
mujer,50
social,49
yoseretuvoz,47
ciudadania,45
derechos,42
control,41
mrivadeneirac,39
derecho,38
conocer,38
ecuatoriano,37
cada,35
marzo,34
gracias,33
elecciones2019ec,31
consejo,29
propuesta,28
hacer,27
ciudadanar,25
mariafernandarivadeneiro,23
importante,22
participar,22
cumplir,22
manabitar,21
fernanda,21
propuesto,21
trayectoria,21
quito,21
seguir,20
elecciones2019,20
candidata,20
eleccionescpccs,20
radio,20
pais,20
mujeres,19
poder,18
mario,18
querer,17
provincia,17
corrupcion,17
apoyo,16
manabiconmariafernandarivadeneirar,16
casillero,16
informar,16
ahora,14
espacio,13
ciudad,13
verdadero,13
primero,13
profesional,13
manán,12
voto,12
unico,12
rivadeneira,12
votar,11
listo,11
justicia,11
deber,11
ano,11
publicar,11
lista,11
empoderar,10
dejar,10
excelente,10
llegar,10
capital,10
hora,10
miconsejera,10
feliz,10
parte,9
observatorio,9
veeduria,9
rivadeneiro,9
gracia,9
paso,9
mejor,9
colegio,9
constitucional,9
entero,9
transparencia,9
elegir,9
trabajo,9
cuenco,9
hecho,9
trabajar,9
constitucion,9
invito,9
proceso,9
tambien,8
candidato,8
fiscalizar,8
educacion,8
urna,8
recorrido,8
teleamazonasec,8
mucho,8
defender,8
oportunidad,8
saludo,8
lucha,8
nacional,8
funcion,7
todo,7
encontrar,7
momento,7
abogados,7
invitar,7
ejercer,7
unsiontv,7
papeleto,7
gestion,7
transparentar,7
dialogar,7
historico,7
cambio,7
ver,7
consejera,7
24demarzo,7
dia,7
activista,7
loja,7
familia,7
cuenca,7
mariafernandarivadeneirar,7
propongo,7
construir,7
buscame,7
abogado,7
desconocimiento,7
nadie,7
necesitar,7
recorrer,7
importancia,7
guaranda,6
manabita,6
responsabilidad,6
politico,6
conozca,6
publicafm,6
riobambar,6
diadelamujer,6
buen,6
combatir,6
compromiso,6
joven,6
plan,6
medio,6
incentivar,6
invitacion,6
cotopaxi,6
portoviejo,6
compartir,6
ciudadana,6
legado,6
contar,6
pueblo,6
venir,5
luchar,5
noticia,5
fortalecer,5
claro,5
seguridad,5
vivo,5
responsable,5
serar,5
querido,5
violencia,5
total,5
denuncia,5
fundamental,5
convenio,5
agenda,5
empezar,5
difundir,5
decir,5
pai,5
