term,tf,df,idf,tf_idf
voto,285,257,1.5267327790831668,435.11884203870255
candidato,224,212,1.7192225893063744,385.10586000462786
ciudadano,147,125,2.247495126676086,330.3817836213846
hacer,142,128,2.2237786000587696,315.7765612083453
poder,127,100,2.4706386779902956,313.77111210476755
hernar,124,119,2.2966853708668573,284.7889859874903
votar,117,127,2.2316217775197953,261.09974796981606
ulloa,116,116,2.322218672872022,269.37736605315456
cpccs,113,104,2.431417964837014,274.7502300265826
mejor,111,62,2.9486744789332953,327.30286716159577
