term,frequency
wgomezr,390
cpccs,275
cnegobec,233
vickydesintonio,208
pueblo,172
oficial,151
ecuador,143
voto,100
kevincasasz,91
ciudadano,86
él,82
deber,75
hacer,75
elecciones2019ec,73
ecuatoriano,70
waltergomezeselprimero,61
poder,61
respetar,60
eleccionescpccs,60
prov,59
waltergomezescpccs,56
felizjuev,54
querer,52
consejero,52
mashirafael,50
dianaatamaint,50
voluntad,49
almagro,43
oea2015,42
cnerespetamivoto,41
transitorio,40
davalos2019,40
constitucion,39
apoyo,38
popular,38
walter,37
entrevista,36
candidato,35
ciudadania,34
derecho,34
manabi,32
esthelaacerol,32
electo,31
pacoguerreroa65,30
cabreraz,30
nuevo,30
democracia,30
felizmiercol,30
descalificar,29
todo,29
permitir,29
gerardodeicaza,28
seguir,28
solo,28
luisverdesotoo1,27
pais,27
brendaindc,27
trujillo,27
social,27
jctrujillocpccs,27
participacion,26
yerutimendez,26
cneesfraudir,25
decision,24
exigir,24
radio,24
votar,24
conversatorio,23
esperar,23
parte,23
gabrielaespai,22
fraude,22
felizmart,22
patria,22
vote,22
senor,21
felizfindir,21
estar,21
tambien,21
felizlún,20
gracielamoraec,20
gomez,20
resultado,20
olindoparticipa,20
felizsabado,20
bastar,20
gracias,19
urna,19
respeto,18
amigo,18
tener,18
control,18
felizviern,18
corrupcion,17
esmeralda,17
claro,17
contar,17
defender,17
bien,17
siempre,16
necesitar,16
lenin,16
elegido,16
vigilar,16
teafundacion,16
pretender,15
mucho,15
trabajo,15
telesurtv,15
sero,15
llegar,15
atento,15
nacional,15
dejar,15
pedir,14
calle,14
saber,14
ecuainm,14
efrancoloor,14
politico,14
lider,14
tiempo,14
devolver,14
representante,14
actualidadrt,13
propuesta,13
ganador,13
20mar,13
intentar,13
estimado,13
proceso,13
animal,13
abuso,13
espinozaec,13
evaluar,13
ser,13
acción,13
domingo,13
mismo,13
eluniversocom,12
respaldo,12
gobierno,12
familia,12
compromiso,12
entrevistado,12
cidh,12
hora,12
correo,12
mejor,12
pasar,12
consejo,12
20marzo,12
ahora,12
recuperar,12
azuay,12
elección,11
justicia,11
tsachila,11
respete,11
electoral,11
eligio,11
autoridad,11
eleccionescpcc,11
necesidad,11
2marzo,11
ciudad,11
25feb,11
tanto,11
victoria,11
guaya,11
corrupto,11
pai,11
legal,11
apoyar,11
migrant,11
gracia,11
cynthiaviteri6,11
institucionalidad,11
usted,10
santo,10
miedo,10
politiquero,10
guayaquil,10
nulo,10
verdadero,10
cnevice,10
fabriciovelav,10
descalificacion,10
excelente,10
jugar,10
derechos,10
total,10
diferente,10
2mar,10
serar,10
entregar,10
lograr,10
favor,10
gmail,10
gente,10
veeduria,10
nuevatraicioncne,10
acuerdo,10
primero,10
josuesanchezec,10
invitado,10
mujer,10
transparencia,10
creer,10
eddichonero1,10
mano,9
mayo,9
patriotismo,9
companero,9
robar,9
cambio,9
radioelite9971,9
gran,9
edwin20milla2,9
mandato,9
campán,9
asambleaecuador,9
candidatura,9
decir,9
cambiar,9
burlar,9
luchar,9
lucha,9
actuado,9
atencion,9
hombre,9
22mar,9
irregularidad,8
verdad,8
credencial,8
hecho,8
basado,8
partir,8
junto,8
parar,8
defensor,8
haber,8
serio,8
institucion,8
iniciativa,8
diadelamujer,8
descaro,8
comunicacion,8
mariapaularomo,8
gestion,8
seguidor,8
caso,8
manán,8
actuar,8
jcarlostuarez,8
mecanismo,8
elegir,8
servir,8
tierra,8
impulsare,8
cpcc,8
obra,8
unico,8
dia,7
votacion,7
necesario,7
seguridad,7
loja,7
datoduroec,7
importante,7
atropello,7
afro,7
comitedefensaciudadana,7
conocer,7
respeta,7
torresaereo,7
permitirer,7
alcaldiagye,7
evitar,7
12mar,7
12marzo,7
descalificarlo,7
volver,7
activar,7
buen,7
profesional,7
infodurado,7
26feb,7
machalar,7
27feb,7
seguro,7
adelante,7
publica,7
ultimo,7
eliminar,7
historia,7
moreno,7
urgente,7
13mar,7
persona,7
dio,7
posesion,7
final,7
plan,7
llamar,6
quito,6
miembro,6
hablar,6
prueba,6
puesto,6
defensa,6
jama,6
denuncia,6
sera,6
igual,6
veedurio,6
comite,6
desintonio,6
paciencia,6
conocimiento,6
venir,6
cuenco,6
decisión,6
demostrar,6
vida,6
responsabilidad,6
pila,6
fortalecer,6
rata,6
democratico,6
oportunidad,6
dar,6
15mar,6
15marzo,6
existir,6
definitivo,6
dato,6
consuemary,6
dedo,6
paso,6
lugar,6
fiscal,6
04abril,6
mandante,6
carajo,6
compartir,6
presidente,6
solidaridad,6
publico,6
pagar,6
politica,6
enriquepitar,6
21mar,6
parecer,6
guayas,6
sumar,6
privatización,6
estir,6
rosa,6
milagro,6
santa,6
felizmierco,6
yo,6
28mar,5
pronto,5
bajolalupaec,5
radiomorena640,5
felizmiercoles,5
11demarzo,5
11mar,5
ecuavisa,5
perdedor,5
informe,5
felicitación,5
llamado,5
13demarzo,5
fiscalizar,5
consciente,5
doble,5
propuesto,5
revisar,5
tarea,5
medio,5
desear,5
traidor,5
salir,5
positivo,5
cpccstransitorio,5
manta,5
cierto,5
cumplido,5
2019,5
cnetevigilar,5
informar,5
14mar,5
hermano,5
13marzo,5
base,5
apegado,5
respetuoso,5
dinero,5
conformar,5
fiscaliaecuador,5
odio,5
persecucion,5
pleno,5
wikileaks,5
parir,5
guayos,5
nadie,5
general,5
corteconstecu,5
guerrerosdig,5
frentelgbtiec,5
18marzo,5
resistenciacec,5
ente,5
wilfridolaz,5
sandinin,5
listo,5
operativo,5
gallo,5
hervido,5
ayudar,5
olvidar,5
razon,5
respuesta,5
territorio,5
poner,5
buscar,5
vivir,5
exterior,5
fecha,5
1marzo,5
exijo,5
comision,5
estan,5
saludo,5
duda,5
guste,5
ley,5
momento,5
18mar,5
respetir,5
mil,5
debido,5
canton,5
ganar,5
hacia,5
forma,5
empresa,4
varios,4
union,4
dentro,4
ronnyaleagas,4
agenda,4
fuerza,4
licenciado,4
rosachalaec,4
gabrielaespais,4
sino,4
organismo,4
cnecuantico,4
dado,4
artimana,4
robir,4
cnnear,4
consulta,4
elecciones2019,4
hlvs,4
encima,4
14marzo,4
manera,4
walteryvictoriamisconsejero,4
quedar,4
discriminacion,4
exigibilidad,4
ricardopatinoec,4
segun,4
tema,4
jorgegla,4
organización,4
vez,4
vigila,4
1mar,4
casa,4
trabajar,4
conformacion,4
ojala,4
perdido,4
teleradio1350,4
madre,4
firma,4
valdivia,4
pensar,4
libre,4
orgullo,4
teleamazonasec,4
equipo,4
cuidado,4
delegado,4
traves,4
28feb,4
persecusion,4
vital,4
designacion,4
esperanza,4
tomado,4
mantener,4
destruir,4
rechazar,4
portoviejo,4
27mar,4
tú,4
radiorumbaec,4
manejar,4
cometer,4
poblacion,4
destruccion,4
rectificar,4
actor,4
exhorto,4
inclusion,4
importar,4
seraquive,4
periodista,4
vicenteopi,4
darwinseraquivir,4
triunfo,4
tratar,4
honesto,4
burlen,4
dicho,4
entidad,4
violado,4
decidio,4
romper,4
felizviernesatodo,4
cuanto,4
crisland1,4
desicion,4
kolectivoz,4
efectivo,4
supuesto,4
alerta,4
cnevizar,4
organizado,4
basta,4
cansado,4
felizdomingo,4
argumento,4
promover,4
actual,4
objetivo,4
orden,4
carcel,4
servidor,4
violacion,4
promocion,4
ecuadorrc,4
bancadarc,4
reaccionar,4
impulsar,4
mayorio,4
iniciativo,4
cuidar,4
inmobiliarec,4
zombi,4
legitimamente,4
vender,4
recoger,4
7mar,4
espacio,4
waltergomezesmiconsejero,4
7marzo,4
nombre,4
quiero,4
alfaro,4
mercurioec,4
incautado,4
violentar,4
santiago,4
publicar,4
morona,4
escuela,4
suplente,4
fortalecimiento,4
función,4
nuevamente,4
votado,4
vayar,4
cesar,4
crear,4
ddhh,4
realidad,4
felizdiadeltrabajador,4
principal,4
golpe,4
dignidad,4
basto,3
cara,3
cjudicaturaec,3
22marzo,3
ecuadortv,3
evaluado,3
grupo,3
fiscalizacion,3
declarar,3
capacidad,3
verguenza,3
desarrollo,3
abogado,3
solicitar,3
fecaol,3
informado,3
vivo,3
enfocar,3
miserable,3
corte,3
limite,3
lumir,3
justo,3
presentado,3
atentado,3
institución,3
urnas,3
pendiente,3
aceptar,3
despido,3
rumbo,3
internacional,3
inmediato,3
reconteo,3
har,3
puro,3
perseguir,3
fraudeelectoral,3
lunes,3
cao,3
resto,3
nefasto,3
accionar,3
felichagarzon,3
barcelona,3
legitir,3
caer,3
observatorio,3
descarado,3
provincia,3
convenio,3
cnetevigilamo,3
confio,3
ganado,3
cnetevigilamos,3
aprender,3
16demarzo,3
16marzo,3
20demarzo,3
19mar,3
teatro,3
protestar,3
opinion,3
delincuente,3
28marzo,3
16mar,3
recuerdir,3
experiencia,3
violar,3
guerrerosdrcs,3
destruido,3
resolver,3
luisamaldonadom,3
maca,3
cabeza,3
cualquiera,3
