term,tf,df,idf,tf_idf
alcalde,116,114,1.4962495681560273,173.56494990609917
quito,101,97,1.65773703804714,167.43144084276113
yunda,83,90,1.7326383462202577,143.8089827362814
jorge,83,81,1.837998861878084,152.55390553588097
ciudad,60,72,1.9557818975344674,117.34691385206804
hacer,47,42,2.4947783982671545,117.25458471855626
gracias,41,39,2.568886370420876,105.32434118725592
trabajo,28,27,2.936611150546194,82.22511221529342
trabajar,28,31,2.7984608120653762,78.35690273783054
poder,27,26,2.974351478529041,80.3074899202841
