term,tf,df,idf,tf_idf
guayaquil,175,232,0.43099841011332907,75.42472176983259
seguir,102,125,1.049422044477338,107.04104853668846
ciudad,85,83,1.4588951739830411,124.0060897885585
junto,69,68,1.6582280766035324,114.41773728564374
nuevo,58,50,1.965712776351493,114.0113410283866
progreso,56,54,1.8887517352153647,105.77009717206042
sueno,56,52,1.9264920631982116,107.88355553909986
cada,52,47,2.0275881800695807,105.4345853636182
guayaquileno,51,51,1.9459101490553132,99.24141760182097
hacer,50,50,1.965712776351493,98.28563881757465
obra,45,43,2.116535666086077,95.24410497387346
bienestar,45,45,2.0710732920093196,93.19829814041938
centro,44,41,2.1641637150753312,95.22320346331458
grande,43,49,1.9859154836690125,85.39436579776753
sigueguayaquilsigar,40,40,2.188856327665703,87.55425310662812
