term,tf,df,idf,tf_idf
hernanulloa,927,843,0.33884190597653135,314.1064468402446
cpccs,511,475,0.9124940599437456,466.28446463125397
voto,286,311,1.3360159517991526,382.1005622145576
candidato,225,214,1.7098328489565353,384.7123910152204
ciudadano,147,126,2.239526957026909,329.2104626829556
hacer,143,129,2.2159964596167145,316.88749372519015
poder,127,107,2.4029800295164807,305.17846374859306
hernar,126,121,2.2800183183816456,287.28230811608734
ecuador,118,208,1.7382707842770688,205.11595254469412
ulloa,116,872,0.30501944006940723,35.38225504805124
votar,115,127,2.2316217775197953,256.6365044147765
cnegobec,114,108,2.393677636854167,272.879250601375
mejor,111,66,2.8861541219519613,320.3631075366677
casillero,109,22,3.984766410620071,434.3395387575877
nulo,108,160,2.00063504874456,216.06858526441246
