term,tf,df,idf,tf_idf
lorohomero,442,433,0.16171028854803288,71.47594753823053
quito,153,239,0.755984464619012,115.66562308670883
alcalde,122,141,1.2836881261723545,156.60995139302725
yunda,86,132,1.349646093964152,116.06956408091706
jorge,83,117,1.4702740817527666,122.03274878547963
quitograndeotravez,75,75,1.9149599030142124,143.62199272606594
ciudad,60,72,1.9557818975344674,117.34691385206804
hacer,48,43,2.47124790085696,118.61989924113408
gracias,44,43,2.47124790085696,108.73490763770624
trabajo,29,28,2.9002435063753187,84.10706168488424
poder,27,26,2.974351478529041,80.3074899202841
buen,26,35,2.677099955061109,69.60459883158883
trabajar,26,30,2.8312506348883675,73.61251650709755
electo,26,32,2.7667121137507964,71.9345149575207
campán,25,24,3.054394186202577,76.35985465506442
