term,tf,df,idf,tf_idf
quito,309,310,0.6160570988403745,190.36164354167573
compromisorc5,172,172,1.2051349195061134,207.28320615505152
luisamaldonadom,162,152,1.32874887547329,215.25731782667296
votatodo5,143,144,1.3828160967435659,197.74270183432992
ciudad,87,140,1.410986973710262,122.7558667127928
pueblo,77,73,2.0621699551711754,158.7870865481805
poder,73,70,2.1041341542702074,153.60179326172513
mashirafael,66,66,2.1629746542931407,142.75632718334728
recuperar,59,73,2.0621699551711754,121.66802735509935
hacer,57,53,2.382337482767445,135.79323651774436
mujer,57,54,2.363645349755292,134.72778493605165
trabajo,55,53,2.382337482767445,131.02856155220945
marzo,55,57,2.309578128485016,127.02679706667588
vivo,53,50,2.4406063908914204,129.35213871724528
vecino,53,43,2.591429280626004,137.34575187317822
