term,tf,df,idf,tf_idf
yosoytuvoz,138,138,0.4799180863029141,66.22869590980214
cpccs,121,113,0.6797839527477781,82.25385828248116
pabloponce,52,49,1.5153514733494922,78.79827661417359
ciudadano,45,43,1.6459716557665565,74.06872450949504
participacion,45,45,1.600509281689799,72.02291767604096
casillero12,44,45,1.600509281689799,70.42240839435115
elecciones2019ec,42,42,1.6695021531767504,70.11909043342352
entrevista,20,20,2.411439497906128,48.22878995812256
cuenca,20,21,2.362649333736696,47.25298667473392
democracia,18,36,1.8236528330040087,32.82575099407216
deber,18,19,2.462732792293678,44.32919026128621
ciudadania,17,17,2.5739584274039027,43.757293265866345
mucho,16,15,2.699121570357909,43.18594512572654
candidato,15,14,2.76811444184486,41.5217166276729
pichinchauniver,15,15,2.699121570357909,40.48682355536863
