term,tf,df,idf,tf_idf
quito,85,98,1.0462443031507938,88.93076576781746
paolavintimilla,79,79,1.2617639293543441,99.67935041899318
elcambiovienesiosi,33,33,2.1347042203548856,70.44523927171123
ciudad,31,43,1.8700116661278032,57.9703616499619
hacer,29,27,2.3353749158170367,67.72587255869406
cambio,25,49,1.7393914837107392,43.48478709276848
deber,25,27,2.3353749158170367,58.38437289542592
cambiar,24,23,2.4957175658922157,59.89722158141318
alcaldio,21,21,2.586689344097943,54.3204762260568
cesarmontufar51,19,19,2.686772802654925,51.048683250443574
querer,19,17,2.7979984377651497,53.16197031753784
lorohomero,17,17,2.7979984377651497,47.56597344200755
pacomoncayo,17,17,2.7979984377651497,47.56597344200755
poder,17,16,2.8586230595815842,48.59659201288693
conocer,16,16,2.8586230595815842,45.73796895330535
