term,tf,df,idf,tf_idf
victoriadelapatrio,203,203,0.8543105118465538,173.42503390485044
vickydesintonio,148,139,1.2330425577576494,182.4902985481321
ciudadano,130,114,1.4313180424938456,186.07134552419993
cpccs,86,162,1.0799201556559572,92.87313338641232
ganaremosecuador,82,82,1.7607972436240882,144.38537397717522
ecuatoriano,77,63,2.0243817644968085,155.87739586625426
casillero6,76,76,1.83678315060201,139.59551944575276
voto,75,85,1.7248652343980246,129.36489257985184
participacion,71,76,1.83678315060201,130.41160369274272
marzo,58,57,2.1244652230537913,123.21898293711989
pueblo,57,56,2.142164800153192,122.10339360873193
consejo,56,48,2.2963154799804504,128.59366687890522
social,56,54,2.178532444324067,121.99781688214776
eleccionescpccs,52,52,2.216272772306914,115.24618415995953
mujer,48,44,2.38332685697008,114.39968913456384
