term,tf,df,idf,tf_idf
triunfo,227,227,1.5504639099745492,351.95530756422266
abenavidesgol1,115,115,2.230481799092702,256.5054068956607
copa,93,94,2.432119145185948,226.18708050229316
liga,84,202,1.667146230054747,140.04028332459876
goltvecu,77,77,2.631608505602268,202.63385493137463
quito,76,81,2.580964772783513,196.15332273154698
ecuador,70,72,2.6987478084398964,188.91234659079274
empate,67,67,2.770721308064986,185.63832764035405
ligapro,61,112,2.2569150561608575,137.67181842581232
americo,60,59,2.8978764835502324,173.87258901301394
nuevo,59,59,2.8978764835502324,170.97471252946372
independiente,56,56,2.9500622367208025,165.20348525636493
juego,55,57,2.932362659621402,161.2799462791771
casa,55,55,2.968080742223481,163.24444082229147
final,54,71,2.7127340504146367,146.4876387223904
