term,tf,df,idf,tf_idf
turectorciudadano,129,129,0.42339132437631644,54.61748084454482
participacion,96,91,0.7723442222211384,74.14504533322929
ciudadano,95,155,0.2397786118187419,22.77896812278048
consejo,81,82,0.8764844814737354,70.99524299937256
candidatocpccs,73,73,0.9927442875895974,72.47033299404062
primero,68,68,1.0636960235618818,72.33132960220796
fila,65,65,1.1088164588423512,72.07306982475284
segundo,65,65,1.1088164588423512,72.07306982475284
papeleto,57,56,1.2578520380028393,71.69756616616183
hombre,56,56,1.2578520380028393,70.439714128159
espinozaescomoyo,55,55,1.2758705435055175,70.17287989280346
autoridad,47,46,1.4545623322488934,68.36442961569799
deber,40,32,1.817467825938262,72.69871303753048
voto,38,37,1.6722858160937641,63.54686101156304
junto,36,34,1.7568432041218272,63.24635534838578
