term,tf,df,idf,tf_idf
jimenezalcalde,162,162,0.7265341965926823,117.69853984801452
elguayaquilquetuquier,136,141,0.8653706414468981,117.69040723677814
votatodocreo21,123,123,1.001946176452649,123.23937970367582
guayaquil,100,230,0.3760512229018711,37.60512229018711
ciudad,79,67,1.6094379124341003,127.14559508229392
municipal,52,40,2.12525107771113,110.51305604097875
marzo,49,50,1.9021075263969205,93.2032687934491
cambio,43,42,2.0764609135416983,89.28781928229303
guayaquileno,38,37,2.203212619180842,83.72207952887199
creer,33,32,2.3483946290253397,77.4970227578362
gran,33,37,2.203212619180842,72.70601643296779
querer,32,25,2.5952547069568657,83.0481506226197
junto,31,30,2.412933150162911,74.80092765505024
sector,31,28,2.4819260216498624,76.93970667114573
poder,29,31,2.3801433273399204,69.02415649285768
