term,tf,df,idf,tf_idf
cpccs,152,153,0.4076413875307599,61.96149090467551
jcarlostuarez,72,62,1.3109449238781037,94.38803451922347
ecuador,46,57,1.3950280410886453,64.17128989007769
padre,39,71,1.17539943188188,45.84057784339332
puesto7,36,36,1.8545603704670854,66.76417333681508
familia,36,42,1.7004096906398272,61.214748863033776
provincia,32,33,1.9415717474567151,62.130295918614884
pueblo,30,27,2.1422424429188665,64.267273287566
ecuatoriano,30,29,2.0707834789367214,62.12350436810164
padrejosetuarez,29,31,2.004092104438049,58.11867102870342
medio,28,21,2.3935568711997726,67.01959239359363
junto,28,25,2.2192034840549946,62.13769755353985
elecciones2019ec,28,28,2.1058747987479913,58.96449436494376
ciudadano,27,28,2.1058747987479913,56.85861956619576
gracias,27,23,2.302585092994046,62.16979751083924
