term,tf,df,idf,tf_idf
elmejorguayaquildetodoslostiempo,213,213,1.133973390227583,241.53633211847517
guayaquil,154,346,0.648826780879284,99.91932425540973
jimmyjairala,135,134,1.5974257559860967,215.65247705812305
uncafeconjj,74,71,2.232585678895693,165.21134023828128
jimmyjairalo,64,63,2.3521308295454757,150.53637309091044
ciudad,63,89,2.006629186204868,126.4176387309067
teleradio1350,61,61,2.384391691763697,145.4478931975855
rtw24ec,57,57,2.452214288102458,139.7762144218401
hacer,50,47,2.64511795422695,132.2558977113475
nota,47,48,2.624064545029117,123.3310336163685
toledog,46,46,2.666624159447913,122.66471133460401
boletin,42,42,2.75759593765364,115.81902938145288
nuevo,41,38,2.8576793962106226,117.16485524463553
sector,39,39,2.831703909807362,110.43645248248711
poder,39,36,2.9117466174808984,113.55811808175504
