term,tf,df,idf,tf_idf
quito,55,84,0.8724881092157621,47.98684600686692
yatocauncambio,54,54,1.3143208614948014,70.97332652071928
ciudad,44,39,1.6397432619294294,72.1487035248949
mariasolalcaldesa,30,30,1.9021075263969205,57.06322579190761
mariasolalcaldés,30,30,1.9021075263969205,57.06322579190761
mujer,26,21,2.2587824703356527,58.72834422872697
poder,24,25,2.0844290831908747,50.02629799658099
mariasolcorral,21,21,2.2587824703356527,47.43443187704871
plan,21,26,2.0452083700375936,42.949375770789466
lorohomero,19,19,2.3588659288926355,44.818452648960076
publico,17,25,2.0844290831908747,35.43529441424487
alcaldio,16,16,2.5307161858192946,40.49145897310871
todo,15,15,2.5952547069568657,38.928820604352985
nuevo,14,14,2.6642475784438173,37.29946609821344
deber,13,13,2.738355550597539,35.598622157768006
