term,tf,df,idf,tf_idf
cpccs,211,200,0.3681093215643955,77.67106685008746
ecuador,172,171,0.5247631316097724,90.25925863688086
mariafernandarivadeneira,136,158,0.6038316550854653,82.12110509162328
entrevista,77,75,1.3489385745761218,103.86827024236138
manabi,57,87,1.2005185694578484,68.42955845909736
participacion,56,56,1.641074997377283,91.90019985312784
ciudadano,55,51,1.7346010553881064,95.40305804634585
casillero2,51,51,1.7346010553881064,88.46465382479343
mujer,50,57,1.623375420277882,81.1687710138941
social,49,51,1.7346010553881064,84.99545171401721
yoseretuvoz,47,47,1.8162790864023735,85.36511706091156
ciudadania,45,44,1.882237054194171,84.7006674387377
derechos,42,41,1.9528546214081244,82.01989409914123
control,41,41,1.9528546214081244,80.0670394777331
mrivadeneirac,39,36,2.0829077496563224,81.23340223659658
