term,tf,df,idf,tf_idf
wgomezr,390,373,0.7680208495351509,299.52813131870886
cpccs,275,309,0.956257992281221,262.9709478773358
cnegobec,233,216,1.3143208614948014,306.23676072828874
vickydesintonio,208,203,1.3763932901371791,286.28980434853327
pueblo,172,154,1.6526466667653372,284.255226683638
oficial,151,147,1.69916668240023,256.57416904243473
ecuador,143,171,1.5479357126763067,221.35480691271187
voto,100,123,1.8774149138065488,187.74149138065488
kevincasasz,91,88,2.21226245470076,201.31588337776918
ciudadano,86,82,2.282880021914713,196.32768188466534
hacer,75,70,2.441104027129607,183.08280203472054
deber,75,75,2.372111155642656,177.9083366731992
elecciones2019ec,73,73,2.399139828030575,175.137207446232
ecuatoriano,70,69,2.455492764581707,171.88449352071947
waltergomezeselprimero,61,61,2.578725405005655,157.30224970534496
