term,tf,idf,tf_idf
quito,309,0.6192881194218209,191.36002890134267
compromisorc5,172,1.2051349195061134,207.28320615505152
luisamaldonadom,162,1.2650330610871825,204.93535589612355
votatodo5,143,1.3897847660596592,198.73922154653127
ciudad,87,1.8867212776649827,164.1447511568535
pueblo,77,2.0088239744658827,154.67944603387298
poder,73,2.0621699551711754,150.5384067274958
mashirafael,66,2.1629746542931407,142.75632718334728
recuperar,59,2.275091952413847,134.230425192417
hacer,57,2.309578128485016,131.64595332364593
mujer,57,2.309578128485016,131.64595332364593
trabajo,55,2.3452962110870956,128.99129160979027
marzo,55,2.3452962110870956,128.99129160979027
vivo,53,2.382337482767445,126.26388658667457
vecino,53,2.382337482767445,126.26388658667457
luisa,52,2.4013856777381393,124.87205524238324
junto,50,2.4406063908914204,122.03031954457101
quiteno,49,2.46080909820894,120.57964581223806
gracias,48,2.4814283854116757,119.10856249976044
patria,46,2.5239879998304713,116.10344799220168
