term,tf,idf,tf_idf
yosoytuvoz,138,0.4799180863029141,66.22869590980214
cpccs,121,0.6113812258633777,73.97712832946871
pabloponce,52,1.4559280528786913,75.70825874969195
ciudadano,45,1.600509281689799,72.02291767604096
participacion,45,1.600509281689799,72.02291767604096
casillero12,44,1.6229821375418576,71.41121405184174
elecciones2019ec,42,1.6695021531767504,70.11909043342352
entrevista,20,2.411439497906128,48.22878995812256
cuenca,20,2.411439497906128,48.22878995812256
democracia,18,2.516800013563954,45.30240024415117
deber,18,2.516800013563954,45.30240024415117
ciudadania,17,2.5739584274039027,43.757293265866345
mucho,16,2.6345830492203377,42.1533287875254
candidato,15,2.699121570357909,40.48682355536863
pichinchauniver,15,2.699121570357909,40.48682355536863
incentivar,15,2.699121570357909,40.48682355536863
consejo,14,2.76811444184486,38.75360218582804
control,14,2.76811444184486,38.75360218582804
voto,14,2.76811444184486,38.75360218582804
poder,13,2.842222413998582,36.94889138198157
