term,tf,idf,tf_idf
quito,85,1.1885605253310492,101.02764465313918
paolavintimilla,79,1.2617639293543441,99.67935041899318
elcambiovienesiosi,33,2.1347042203548856,70.44523927171123
ciudad,31,2.1972245773362196,68.11396189742281
hacer,29,2.2639159518348917,65.65356260321185
cambio,25,2.412335956953165,60.308398923829124
deber,25,2.412335956953165,60.308398923829124
cambiar,24,2.45315795147342,58.87579083536208
alcaldio,21,2.586689344097943,54.3204762260568
cesarmontufar51,19,2.686772802654925,51.048683250443574
querer,19,2.686772802654925,51.048683250443574
lorohomero,17,2.7979984377651497,47.56597344200755
pacomoncayo,17,2.7979984377651497,47.56597344200755
poder,17,2.7979984377651497,47.56597344200755
conocer,16,2.8586230595815842,45.73796895330535
assange,15,2.9231615807191558,43.84742371078734
gente,15,2.9231615807191558,43.84742371078734
turismo,15,2.9231615807191558,43.84742371078734
gabo,14,2.992154452206107,41.890162330885495
aqui,14,2.992154452206107,41.890162330885495
