term,tf,idf,tf_idf
triunfo,227,1.5504639099745492,351.95530756422266
abenavidesgol1,115,2.230481799092702,256.5054068956607
copa,93,2.442814434302696,227.1817423901507
liga,84,2.5445971286126383,213.7461588034616
goltvecu,77,2.631608505602268,202.63385493137463
quito,76,2.6446805871696206,200.99572462489118
ecuador,70,2.7269186854065928,190.8843079784615
empate,67,2.770721308064986,185.63832764035405
ligapro,61,2.8645400632826403,174.73694386024107
americo,60,2.8810693652338513,172.8641619140311
nuevo,59,2.8978764835502324,170.97471252946372
independiente,56,2.9500622367208025,165.20348525636493
juego,55,2.968080742223481,163.24444082229147
casa,55,2.968080742223481,163.24444082229147
final,54,2.9864298808916776,161.2672135681506
emelec,50,3.0633909220278057,153.1695461013903
tecnico,47,3.1252663257458932,146.88751731005698
derrota,46,3.146772530966857,144.75153642447543
encuentro,46,3.146772530966857,144.75153642447543
deportivo,45,3.168751437685632,142.59381469585344
