term,tf,idf,tf_idf
turectorciudadano,129,0.42339132437631644,54.61748084454482
participacion,96,0.7188555372701524,69.01013157793463
ciudadano,95,0.7293268371374476,69.28604952805752
consejo,81,0.8887545740655498,71.98912049930954
candidatocpccs,73,0.9927442875895974,72.47033299404062
primero,68,1.0636960235618818,72.33132960220796
fila,65,1.1088164588423512,72.07306982475284
segundo,65,1.1088164588423512,72.07306982475284
papeleto,57,1.2401524609034384,70.68869027149599
hombre,56,1.2578520380028393,70.439714128159
espinozaescomoyo,55,1.2758705435055175,70.17287989280346
autoridad,47,1.4330561270279298,67.3536379703127
deber,40,1.5943242746240522,63.772970984962086
voto,38,1.6456175690116026,62.5334676224409
junto,36,1.6996847902818786,61.18865245014763
ecuador,36,1.6996847902818786,61.18865245014763
gracias,31,1.8492165242528422,57.32571225183811
marzo,28,1.9509992185627845,54.62797811975796
funcionario,26,2.0251071907165064,52.652786958629164
ciudadanar,24,2.1051498983900427,50.52359756136103
