term,tf,idf,tf_idf
jimenezalcalde,162,0.7265341965926823,117.69853984801452
elguayaquilquetuquier,136,0.9014756460890144,122.60068786810596
votatodocreo21,123,1.001946176452649,123.23937970367582
guayaquil,100,1.208960345836975,120.89603458369751
ciudad,79,1.444682679358045,114.12993166928555
municipal,52,1.8628868132436391,96.87011428866924
marzo,49,1.9223102337144398,94.19320145200754
cambio,43,2.052930416131504,88.27600789365466
guayaquileno,38,2.1765443720986806,82.70868613974986
creer,33,2.3176229703585864,76.48155802183335
gran,33,2.3176229703585864,76.48155802183335
querer,32,2.3483946290253397,75.14862812881087
junto,31,2.3801433273399204,73.78444314753753
sector,31,2.3801433273399204,73.78444314753753
poder,29,2.4468347018385925,70.95820635331918
empleo,28,2.4819260216498624,69.49392860619615
vivo,28,2.4819260216498624,69.49392860619615
obra,27,2.518293665820737,67.9939289771599
llegar,25,2.5952547069568657,64.88136767392164
candidato,25,2.5952547069568657,64.88136767392164
