term,tf,idf,tf_idf
elmejorguayaquildetodoslostiempo,213,1.133973390227583,241.53633211847517
guayaquil,154,1.458312953523379,224.58019484260035
jimmyjairala,135,1.5899907774985786,214.64875496230812
uncafeconjj,74,2.1912004627328385,162.14883424223004
jimmyjairalo,64,2.3363824725773363,149.52847824494953
ciudad,63,2.3521308295454757,148.18424226136497
teleradio1350,61,2.384391691763697,145.4478931975855
rtw24ec,57,2.452214288102458,139.7762144218401
hacer,50,2.5832425505088623,129.1621275254431
nota,47,2.64511795422695,124.32054384866665
toledog,46,2.666624159447913,122.66471133460401
boletin,42,2.75759593765364,115.81902938145288
nuevo,41,2.7816934892327003,114.04943305854071
sector,39,2.831703909807362,110.43645248248711
poder,39,2.831703909807362,110.43645248248711
guayaquileno,38,2.8576793962106226,108.59181705600366
multa,36,2.9117466174808984,104.82287822931234
campán,35,2.9399174944475948,102.89711230566581
luisadelgadillo,34,2.9689050313208467,100.94277106490878
alcaldio,34,2.9689050313208467,100.94277106490878
