term,tf,idf,tf_idf
quito,55,1.295971722826605,71.27844475546327
yatocauncambio,54,1.3143208614948014,70.97332652071928
ciudad,44,1.5191152741408147,66.84107206219585
mariasolalcaldesa,30,1.9021075263969205,57.06322579190761
mariasolalcaldés,30,1.9021075263969205,57.06322579190761
mujer,26,2.0452083700375936,53.175417620977434
poder,24,2.12525107771113,51.006025865067116
mariasolcorral,21,2.2587824703356527,47.43443187704871
plan,21,2.2587824703356527,47.43443187704871
lorohomero,19,2.3588659288926355,44.818452648960076
publico,17,2.4700915640028596,41.99155658804861
alcaldio,16,2.5307161858192946,40.49145897310871
todo,15,2.5952547069568657,38.928820604352985
nuevo,14,2.6642475784438173,37.29946609821344
deber,13,2.738355550597539,35.598622157768006
quitotecuido,12,2.8183982582710754,33.8207790992529
candidato,12,2.8183982582710754,33.8207790992529
manán,12,2.8183982582710754,33.8207790992529
hacer,12,2.8183982582710754,33.8207790992529
buen,12,2.8183982582710754,33.8207790992529
