term,tf,idf,tf_idf
wgomezr,390,0.7234525300552741,282.1464867215569
cpccs,275,1.072828171512395,295.02774716590864
cnegobec,233,1.2385608156132657,288.58467003789093
vickydesintonio,208,1.3520611894776484,281.22872741135086
pueblo,172,1.5421047923655133,265.2420242868683
oficial,151,1.672319432364042,252.52023428697035
ecuador,143,1.7267546389190591,246.92591336542546
voto,100,2.0844290831908747,208.44290831908748
kevincasasz,91,2.1787397626621163,198.26531840225257
ciudadano,86,2.2352519729254587,192.23166967158946
hacer,75,2.372111155642656,177.9083366731992
deber,75,2.372111155642656,177.9083366731992
elecciones2019ec,73,2.399139828030575,175.137207446232
ecuatoriano,70,2.441104027129607,170.8772818990725
waltergomezeselprimero,61,2.578725405005655,157.30224970534496
poder,61,2.578725405005655,157.30224970534496
respetar,60,2.5952547069568657,155.71528241741194
eleccionescpccs,60,2.5952547069568657,155.71528241741194
prov,59,2.612061825273247,154.11164769112156
waltergomezescpccs,56,2.6642475784438173,149.19786439285377
