nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Aland Javier,Molestina Malta,ALANDMOLESTINAM,vivo radio visionquito diego oquendo compartir panel karina ponce tema pregunta urgente candidato cpccs concertacioncivicanacional alandmolestinaconsejero,2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,cpccs deber votar candidato estir alejado compromiso politico garantizar independencia transparencia combate corrupcion radio canela ciudad quito alandmolestinaconsejero bolsilloshonesto,2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,continuar agenda programado region interandín cumplir responsabilidad ecuatoriano salvaguardar participacion ciudadano marzo honestidad transparencia alandmolestinaconsejero cpccs bolsilloshonesto,2019-02-19
Aland Javier,Molestina Malta,ALANDMOLESTINAM,consejo participacion ciudadanar control social transitorio cuanto combatir corrupcion quedar deber pais correspondera entonces cpccs definitivo asumir reto informativo prisma televisoro ciudad ibarra elecciones2019ec,2019-02-20
Aland Javier,Molestina Malta,ALANDMOLESTINAM,viento fraudir electoral soplar ecuador eleccion consejero cpccs existir decision arbitrario escrutar final voto dignidad radio caracol ambato alandmolestinaconsejero bolsilloshonesto,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,deber hacer primero tratar eleccion nacional olvider tampoco poseemos infraestructura permita control electoral radio caracol ambato cpccs alandmolestinaconsejero elecciones2019ec,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,disfrutar musico alegrio ambateno mantuvimos entrevista parque montalvo hermoso ciudad ambato unimax alandmolestinaconsejero cpccs bolsilloshonesto,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,cumplir responsabilidad historico promover participacion ciudadano conocer plan trabajo recorridir provincia pichincha imbaburar tungurahua bolivar lojo cotopaxi esmeralda seguire recorrer pais fuerza energia cpccs,2019-02-21
Aland Javier,Molestina Malta,ALANDMOLESTINAM,letreros todo institución publica indicar norma sancionar ciudadano faltir respeto funcionario publico deber haber senalen cual derecho poder ejercer libertad diario regional andes riobambar,2019-02-22
Aland Javier,Molestina Malta,ALANDMOLESTINAM,condeno faltar responsabilidad decir anular voto cpccs saber querer ignorar cpccs sero organismo lidere lucha corrupcion firmeza honestidad alandmolestinaconsejero bolsilloshonesto,2019-02-22
