nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medio bello ciudad Ambato breve inicia agendo dar conocer plan trabajo CPCCS buen diar porunecuadorhonesto,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,buenos dia amigo iniciar visita medio comunicacion Compartimos extracto entrevista Radio Centro dial 91 7 FM ciudad Ambato porunecuadorhonesto,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medio Radio Caracol dial 91 3 FM compartir plan trabajo Consejo Participacion Ciudadana Control Social PorUnEcuadorHonesto,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,proceso seleccion deber garantizar idoneidad probidad autoridad control Gina Maria Aguilar Ochoa candidata cpccs CASILLERO 5 Agradecemos ElHeraldoAmbato entrevistar,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medio Agradecemos RadioLider1010 abrirno puerta permitirno dialogar plan trabajo nuevo Consejo Participacion Ciudadana Control Social PorEcuadorHonesto,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medio merecemo Ecuador honesto Agradecemos Diario Ambateno entrevistar SomosCasillero5,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,agradecer medios comunicacion ciudadania Ambato abrir puerta permitir compartir propuesta nuevo Consejo Participacion Ciudadana Control Social Buenas noches Elecciones2019EC SomosCasillero5,2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,ver manán encuentro organizado cnegobec objetivo dar conocer propuesta candidato as consejero consejera CPCCS Gina Maria Aguilar Ochoa candidata cpccs CASILLERO 5 eleccionescpcss porunecuadorhonesto,2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,dejar extracto encuentro Construccion democracia participativo territorio organizado cnegobec ciudad Latacunga grato exponer propuesta CPCCS Gina Maria Aguilar Ochoa candidata cpccs CASILLERO 5,2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,hoy visito ciudad Latacunga exito iniciar manán formar parte encuentro organizado cnegobec luego varios medio exponer propuesta nuevo CPCCS Gracias acogida porunecuadorhonesto,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medio ver hoy Comercio tv conversarer propuesto Consejo Participacion Ciudadana Control Social YoVotoCPCCS Elecciones2019EC SomosCasillero5,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,Agradecemos Comercio tv espacio grato exponer propuesta Consejo Participacion Ciudadana Control Social merecemos Ecuador honesto YoVotoCPCCS Elecciones2019EC SomosCasillero5,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,Agradecemos GKecuador exitoso entrevista seguir recorrer medio comunicacion dar conocer plan trabajo CPCCS porunecuadorhonesto,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,Buenas noche amigo Aprender intercambiar idea actividad social ofrecer serie solución resultar provechoso alcanzar objetivo YoVotoCPCCS Elecciones2019EC SomosCasillero5 PorUnEcuadorHonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,ver manán ciudad Riobamba Seguimos recorrer pais exponer plan trabajo CPCCS porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,buenos dia amigo iniciar gira medio ciudad Riobamba Agradecemos Radio Sensacion dial 102 9 FM Radio Futura dial 104 9 FM aperturar YoVotoCPCCS SomosCasillero5 PorUnEcuadorHonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,GinaAguilarEc necesario ciudadania apropier involucremo trabajo Consejo Participacion Ciudadana Control Social PorUnEcuadorHonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,radiofonicasec conversar propuesto Consejo Participacion Ciudadana Control Social YoVotoCPCCS SomosCasillero5 PorUnEcuadorHonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medio dejar extracto entrevista realizo andesdiario merecemo Ecuador honesto YoVotoCPCCS SomosCasillero5,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,deber comenzar capacitar delegación Consejo Participacion Ciudadana Control Social cada provincia trabajar territorio Agradecemos LaPrensaInforma entrevistar YoVotoCPCCS SomosCasillero5,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medio radiobonita893 compartir plan trabajo CPCCS porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medio radiobonita893 compartir plan trabajo CPCCS yovotocpccs SomosCasillero5,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medio Agradecemos Radio Latina dial 102 1 FM permitirno exponer plan trabajo CPCCS yovotocpccs casillero5 porunecuadorhonesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,conversatorio exito gracias Coordinadora Politica Mujeres Chimborazo espacio grato compartir plan trabajo CPCCS YoVotoCPCCS SomosCasillero5 PorUnEcuadorHonesto,2019-02-23
Gina María,Aguilar Ochoa,GinaAguilarEc,conversatorio exito gracias Casa Mujer Chimborazo espacio grato compartir plan trabajo CPCCS YoVotoCPCCS SomosCasillero5 PorUnEcuadorHonesto,2019-02-23
Gina María,Aguilar Ochoa,GinaAguilarEc,agradecer cada medio comunicacion Casa Mujer Chimborazo aperturar permitirno compartir idea propuesto CPCCS YoVotoCPCCS SomosCasillero5 PorUnEcuadorHonesto,2019-02-23
