nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Edison David,Gallegos Bayas,EDGallegosBayas,Continuamos entrevistas DardoElectoral ahora EDGallegosBayas candidato CPCCS cuenta propuestas Participa preguntas conectate FacebookLive,2019-02-28
Edison David,Gallegos Bayas,EDGallegosBayas,DardoElectoral EDGallegosBayas propone contratos aprueban SERCOP pasen filtro quinto poder controlar evitar comentan irregularidades Escucha entrevista completa,2019-03-01
Edison David,Gallegos Bayas,EDGallegosBayas,AHORA BuenosDiasAmerica acompana EDGallegosBayas candidato CPCCS hablar Propuesta Campana miranos Jorgeacato RamiroDiaz64 longogalo,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,EDGallegosBayas pediria hagan cumplir Segun CPCCS manifiesta prohibiciones puede promocionar bien candidato Jorgeacato RamiroDiaz64 longogalo,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,EDGallegosBayas analiza responsables fortalecer CPCCS Aqui Jorgeacato RamiroDiaz64 longogalo CPCCS,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,EDGallegosBayas CPCCS quinto Poder segun Constitucion mismo debe respaldado respetado todas instituciones Aqui Jorgeacato RamiroDiaz64 longogalo CPCCS,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,comparto video promociona candidatura SociedadZona CPCCS Elecciones2019EC,2019-03-08
Edison David,Gallegos Bayas,EDGallegosBayas,Gracias Radio invitacion permitirme conocer ciudadania propuesta,2019-03-13
Edison David,Gallegos Bayas,EDGallegosBayas,pueden encontrar casillero segunda fila CPCCS Elecciones2019EC,2019-03-19
Edison David,Gallegos Bayas,EDGallegosBayas,pueden encontrar casillero segunda fila CPCCS Elecciones2019EC,2019-03-19
