nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medios bella ciudad Ambato breve inicia agenda conocer plan trabajo Buen,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,Buenos dias amigos Iniciamos visitas medios comunicacion Compartimos extracto entrevista Radio Centro dial ciudad Ambato,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medios Radio Caracol dial compartiendo plan trabajo Consejo Participacion Ciudadana Control Social,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,proceso seleccion debe garantizar idoneidad probidad autoridades control Gina Maria Aguilar Ochoa candidata CPCCS CASILLERO Agradecemos entrevista,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medios Agradecemos abrirnos puertas permitirnos dialogar plan trabajo nuevo Consejo Participacion Ciudadana Control Social,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medios merecemos Ecuador honesto Agradecemos Diario Ambateno entrevista,2019-02-19
Gina María,Aguilar Ochoa,GinaAguilarEc,Agradecemos medios comunicacion ciudadania Ambato abrieron puertas permitieron compartir propuestas nuevo Consejo Participacion Ciudadana Control Social Buenas noches,2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,vemos manana encuentro organizado objetivo conocer propuestas candidatos consejeros consejeras Gina Maria Aguilar Ochoa candidata CPCCS CASILLERO,2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,dejamos extracto encuentro Construccion democracia participativa territorio organizado ciudad Latacunga grato exponer propuestas Gina Maria Aguilar Ochoa candidata CPCCS CASILLERO,2019-02-20
Gina María,Aguilar Ochoa,GinaAguilarEc,visita ciudad Latacunga exito Iniciamos manana formando parte encuentro organizado luego varios medios exponiendo propuestas nuevo Gracias acogida,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medios vemos Comercio conversaremos propuestas Consejo Participacion Ciudadana Control Social,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,Agradecemos Comercio espacio grato exponer propuestas Consejo Participacion Ciudadana Control Social merecemos Ecuador honesto,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,Agradecemos exitosa entrevista Seguimos recorriendo medios comunicacion dando conocer plan trabajo,2019-02-21
Gina María,Aguilar Ochoa,GinaAguilarEc,Buenas noches amigos Aprender intercambiar ideas actividad social ofrece serie soluciones resultan provechosas alcanzar objetivo,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,vemos manana ciudad Riobamba Seguimos recorriendo pais exponiendo plan trabajo,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,Buenos dias amigos Iniciamos gira medios ciudad Riobamba Agradecemos Radio Sensacion dial Radio Futura dial apertura,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,necesario ciudadania apropiemos involucremos trabajo Consejo Participacion Ciudadana Control Social,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,conversando propuestas Consejo Participacion Ciudadana Control Social,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medios dejamos extracto entrevista realizo merecemos Ecuador honesto,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,debe comenzar capacitar delegaciones Consejo Participacion Ciudadana Control Social cada provincia trabajar territorio Agradecemos entrevista,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medios compartiendo plan trabajo,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medios compartiendo plan trabajo,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,Gira medios Agradecemos Radio Latina dial permitirnos exponer plan trabajo,2019-02-22
Gina María,Aguilar Ochoa,GinaAguilarEc,conversatorio exito Gracias Coordinadora Politica Mujeres Chimborazo espacio grato compartir plan trabajo,2019-02-23
Gina María,Aguilar Ochoa,GinaAguilarEc,conversatorio exito Gracias Casa Mujer Chimborazo espacio grato compartir plan trabajo,2019-02-23
Gina María,Aguilar Ochoa,GinaAguilarEc,Agradecemos cada medio comunicacion Casa Mujer Chimborazo apertura permitirnos compartir ideas propuestas,2019-02-23
Gina María,Aguilar Ochoa,GinaAguilarEc,Querido Ecuador gracias apoyo invito seguir conociendo mujer trabajadora amante familia Buen semana,2019-02-24
Gina María,Aguilar Ochoa,GinaAguilarEc,cambios efectivos producen diversos grupos profesionales unen afrontar situaciones problematicas darles respuestas practica,2019-02-25
Gina María,Aguilar Ochoa,GinaAguilarEc,vemos manana ciudad Cuenca encuentro realizado compartir propuestas,2019-02-25
Gina María,Aguilar Ochoa,GinaAguilarEc,Buenos dias amigos Universidad Cuenca punto iniciar intervencion encuentro organizado,2019-02-25
Gina María,Aguilar Ochoa,GinaAguilarEc,grato compartir ideas propuestas junto candidatos objetivo construir Ecuador honesto,2019-02-25
Gina María,Aguilar Ochoa,GinaAguilarEc,Buenas noches amigos dejamos extracto participacion encuentro Construccion democracia participativa territorio organizado ciudad Cuenca Gracias apoyo,2019-02-26
Gina María,Aguilar Ochoa,GinaAguilarEc,Buenas noches amigos dejamos extracto participacion encuentro Construccion democracia participativa territorio organizado ciudad Cuenca Gracias apoyo,2019-02-26
Gina María,Aguilar Ochoa,GinaAguilarEc,Buenas noches amigos dejamos extracto participacion encuentro Construccion democracia participativa territorio organizado ciudad Cuenca Gracias apoyo,2019-02-26
Gina María,Aguilar Ochoa,GinaAguilarEc,varios candidatos pronunciado frente comunicado expuesto convocar poblacion votar nulo Marzo falso argumento rescatar democracia,2019-02-26
Gina María,Aguilar Ochoa,GinaAguilarEc,Agradecemos abrirnos puertas permitirnos dialogar plan trabajo,2019-02-27
Gina María,Aguilar Ochoa,GinaAguilarEc,propuestas garantizar concursos independientes exista injerencia ningun interes politico economico individual hora restaurar institucionalidad autoridades probas volver confiar justicia,2019-02-27
