nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jimmy,Jairala,jimmyjairala,adversarios politicos bajo TROLL sorprende anonadado traer TROLEBUSES Metro traido BUSES TROLES campana aire acondicionado supuesto,2019-02-19
Jimmy,Jairala,jimmyjairala,Accion Extraordinaria Proteccion exageradas inconstitucionales multas infracciones transito,2019-02-19
Jimmy,Jairala,jimmyjairala,indico falla multas analizaran vias legales devolver montos afectados conductores guayaquilenos NOTA,2019-02-19
Jimmy,Jairala,jimmyjairala,explico falla multas deben buscar vias legales resarcir conductores afectados ciudad NOTA,2019-02-19
Jimmy,Jairala,jimmyjairala,Conoce candidato Alcaldia Guayaquil entrevista realizada,2019-02-19
Jimmy,Jairala,jimmyjairala,Letrero daba indicaciones transito entrada urdesa utizado campana electoral favor candidatos auspicia actual administracion municipal legal,2019-02-19
Jimmy,Jairala,jimmyjairala,hagan ilusionaron 2017 diciendole pasaba segunda vuelta financian bromas gusto enganen hermana segunda encuestas deprimas verdad,2019-02-19
Jimmy,Jairala,jimmyjairala,Mienten cada diente llegado desesperacion Nivel Dios siguen pretendiendo tomarle pelo guayaquilenos Vayan nomas cuentos chinos veremos dicen encuestas cosas nadie cree,2019-02-19
Jimmy,Jairala,jimmyjairala,familia unida dignidad guayaquilenos sera nuevo alcalde Guayaquil Ayer lagos urbe portena,2019-02-19
Jimmy,Jairala,jimmyjairala,explico cuales expectativas demanda constitucional presentada abusivas multas caso ahora debera pasar Mira resumen entrevista,2019-02-19
Jimmy,Jairala,jimmyjairala,Tres parroquias recorrimos caminando caravana reuniendonos colectivos moradores Letamendi Garcia Moreno Sucre,2019-02-19
Jimmy,Jairala,jimmyjairala,Casas Colectivas constatamos penoso viven familias ignoradas Municipio Quedaron esperanza administracion seran integrados Ciudad,2019-02-19
Jimmy,Jairala,jimmyjairala,Finalizamos concentracion Lizardo Garcia Rosendo Aviles barriada pidio seguridad mejorar servicios basicos bajar multas ATMy luchar drogas,2019-02-19
Jimmy,Jairala,jimmyjairala,concretaran grandes cambios espera ciudadania mejoras radicales transporte publico primero dijeron salud publica pueden poner pobres luego insistencia traen buses,2019-02-19
Jimmy,Jairala,jimmyjairala,recorrio parroquias Letamendi Sucre Garcia Moreno Pudo conversar vecinos Casas Colectivas prometio terminar abandono municipal sufrido ultimas administraciones NOTA,2019-02-20
Jimmy,Jairala,jimmyjairala,Firmes construccion,2019-02-20
Jimmy,Jairala,jimmyjairala,Policia Ciudad reemplazara Metropolitana tendra importante presencia mujeres Necesitamos policia amiga cercana habra persecucion maltrato informales ayudarlos organizarse,2019-02-20
Jimmy,Jairala,jimmyjairala,razon podemos aplicar Derecho Repeticion firmaron Ordenanza devuelvan dineros cobrados indebidamente infracciones transito,2019-02-20
Jimmy,Jairala,jimmyjairala,Market puso segunda vuelta Cynthia exit saco dice lleva puntos ventaja Siguiendo logica desaciertos ratifica encabezando encuestas efectivamente sucede,2019-02-20
Jimmy,Jairala,jimmyjairala,Market empresa fallado historicamente dijo entrevista candidato califico burla ofensa guayaquilenos cifras presentadas encuestadora NOTA,2019-02-20
Jimmy,Jairala,jimmyjairala,elecciones 2004 saco saco sorpresa encuestadoras Nebot votos endosan Nebot necesita plan podria perder alcaldia prefectura,2019-02-20
Jimmy,Jairala,jimmyjairala,verdad autoridad aeroportuaria tagsa firmaron aeropuerto continuara menos 2029,2019-02-20
Jimmy,Jairala,jimmyjairala,encuestadora Market fallado historicamente sondeos vuelve fallar encabeza encuestas intencion voto inminente triunfo futuro Alcalde,2019-02-20
Jimmy,Jairala,jimmyjairala,entiendo empena agarrarse obras asambleista hizo emblematico unico recuerdo verla fotos cada golpe cosas vuelto mejor candidato,2019-02-20
Jimmy,Jairala,jimmyjairala,proponen Guayaquil inclusivo alcanzar meta abriran Centros Integrales Equinoterapia mejorara transporte publico beneficio grupos condiciones vulnerabilidad,2019-02-20
Jimmy,Jairala,jimmyjairala,Aaaah entiendo habra centro comercial habra centro comercial hoteles industrias Costa clarito,2019-02-20
Jimmy,Jairala,jimmyjairala,Pascuales parroquia urbana Guayaquil 2008 viven habitantes desprecio Municipal atendera entranable Pascuales,2019-02-20
Jimmy,Jairala,jimmyjairala,Visitamos Pascuales tradicional calle fritada locales Suelo inseguridad zanjas agua estancada microtrafico esperanza cambio mejorar Distrito firme,2019-02-20
Jimmy,Jairala,jimmyjairala,Pascuales Avanzamos,2019-02-20
Jimmy,Jairala,jimmyjairala,Pascuales cumplira septiembre anos parroquia urbana Guayaquil miles habitantes carecen servicios basicos cambiara Alcaldia NOTA,2019-02-21
Jimmy,Jairala,jimmyjairala,mejor encuestadora carino gente sera nuevo alcalde Guayaquil guayaquilenos decidieron confirmaran marzo urnas Recorrimos parroquia Letamendi Garcia Moreno Sucre,2019-02-21
Jimmy,Jairala,jimmyjairala,multas transito Ciudad inclusiva Plaza Bicentenario,2019-02-21
Jimmy,Jairala,jimmyjairala,inusitado apuro aeropuerto Daular Pese amplio plazo funcionamiento 2029 cuerda 2035 ahora dicen igual construirlo huele bien,2019-02-21
Jimmy,Jairala,jimmyjairala,pueden pagar alcantarillado recibes servicio correcto pagar multas excesivas infracciones transito basadas Ordenanzas estan debajo Constitucion,2019-02-21
Jimmy,Jairala,jimmyjairala,cuestiona nuevos plazos apuro construir nuevo aeropuerto Daular Segun actual terminal aerea Guayaquil puede funcionar normalidad 2035,2019-02-21
Jimmy,Jairala,jimmyjairala,,2019-02-21
