nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Edison David,Gallegos Bayas,EDGallegosBayas,continuar entrevista dardoelectoral ahora edgallegosbayos candidato CPCCS contar propuesta Participa pregunta conectate FacebookLive,2019-02-28
Edison David,Gallegos Bayas,EDGallegosBayas,dardoelectoral edgallegosbayas proponer contrato apruer SERCOP par filtro quinto poder fin controlar evitar comentar irregularidad Escucha entrevistar completo,2019-03-01
Edison David,Gallegos Bayas,EDGallegosBayas,ahora buenosdiasamerico acompán EDGallegosBayas candidato CPCCS hablar Propuesta Campana 104 5fm mirano Jorgeacato RamiroDiaz64 longogalo,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,edgallegosbayos pediria hacer cumplir ley Segun Ley CPCCS art 35 manifestar prohibición poder promocionar bien mal candidato 104 5 FM Jorgeacato RamiroDiaz64 longogalo,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,EDGallegosBayas analizar responsable fortalecer CPCCS Aqui 104 5 FM Jorgeacato RamiroDiaz64 longogalo CPCCS,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,edgallegosbayas CPCCS quinto Poder segun Constitucion mismo deber ser respaldar respetado todo institución Aqui 104 5 FM Jorgeacato RamiroDiaz64 longogalo CPCCS,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,comparto video CNE promocionar candidatura sociedadzono CPCCS elecciones2019ec,2019-03-08
Edison David,Gallegos Bayas,EDGallegosBayas,gracias Radio via invitacion permitir yo dar conocer ciudadania propuesto,2019-03-13
Edison David,Gallegos Bayas,EDGallegosBayas,poder encontrar casillero 25 segundo fila CPCCS elecciones2019ec,2019-03-19
Edison David,Gallegos Bayas,EDGallegosBayas,poder encontrar casillero 25 segundo fila CPCCS elecciones2019ec,2019-03-19
