nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Edison David,Gallegos Bayas,EDGallegosBayas,Continuamos con las entrevistas de #DardoElectoral y ahora @EDGallegosBayas candidato al @CPCCS nos cuenta sus propuestas. Participa con tus preguntas y conectate a nuestro #FacebookLive https://t.co/9he8sWdCdR https://t.co/0JkAvwNR9k,2019-02-28
Edison David,Gallegos Bayas,EDGallegosBayas,"#DardoElectoral | @EDGallegosBayas propone que los contratos que se aprueban por el SERCOP, pasen un filtro por el quinto poder con el fin de controlar y evitar que se comentan irregularidades. Escucha la entrevista completa

https://t.co/nQoF94qFN6",2019-03-01
Edison David,Gallegos Bayas,EDGallegosBayas,"AHORA| En #BuenosDiasAmerica nos acompana @EDGallegosBayas , candidato @CPCCS para hablar ""Propuesta de Campana"" por 104.5FM y miranos por https://t.co/aRm10ikOck  @Jorgeacato @RamiroDiaz64 @longogalo https://t.co/K1sSIdz3Fg",2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,".@EDGallegosBayas ""Desde ya, yo pediria que hagan cumplir la ley. Segun la Ley @CPCCS en el art. 35 manifiesta algunas prohibiciones,  entre ellas: no se puede promocionar en bien o en mal a un candidato"" por  104.5 FM @Jorgeacato @RamiroDiaz64  @longogalo https://t.co/wobeYLldjD",2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,.@EDGallegosBayas analiza quienes son los responsables para fortalecer el @CPCCS. Aqui  por  104.5 FM y https://t.co/aRm10ikOck @Jorgeacato @RamiroDiaz64  @longogalo @CPCCS https://t.co/jJLvgillnR,2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,".@EDGallegosBayas ""El @CPCCS es un quinto Poder, segun la Constitucion. El mismo que debe ser  respaldado y respetado por todas las instituciones"" Aqui  por  104.5 FM y https://t.co/aRm10ikOck @Jorgeacato @RamiroDiaz64  @longogalo @CPCCS https://t.co/PmCSbwbJO2",2019-03-07
Edison David,Gallegos Bayas,EDGallegosBayas,Les comparto el video de CNE que promociona mi candidatura @SociedadZona #CPCCS #Elecciones2019EC https://t.co/6GhLoJcWbk,2019-03-08
Edison David,Gallegos Bayas,EDGallegosBayas,Gracias Radio via por su invitacion y por permitirme dar a conocer a la ciudadania ni propuesta https://t.co/ECKe4LK28k,2019-03-13
Edison David,Gallegos Bayas,EDGallegosBayas,"Me pueden encontrar en el casillero  25, segunda fila #CPCCS #Elecciones2019EC https://t.co/Ktyt3COLf0",2019-03-19
Edison David,Gallegos Bayas,EDGallegosBayas,"Me pueden encontrar en el casillero 25, segunda fila. #CPCCS #Elecciones2019EC https://t.co/c2PntpjSGl",2019-03-19
