nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Juan Carlos,Solines,JCSolines,comparto agenda entrevistas dia manana . # QuitoSeLevanta https : //t.co/JektKFMFzp,2019-02-21
Juan Carlos,Solines,JCSolines,"compromiso barrios , trabajaremos juntos resolver problemas tambien mios . Vamos poner orden ciudad ! # QuitoSeLevanta # JuntosPodemos # SolinesAlcalde # PodemosQuito https : //t.co/gAbBAe51lz",2019-02-22
Juan Carlos,Solines,JCSolines,invito escucharme ! # QuitoSeLevanta # PodemosQuito https : //t.co/EhzMmCmYqs,2019-02-22
Juan Carlos,Solines,JCSolines,"convencer electorado ? `` estrategias candidatos importantes , desafio . caso campana seriedad decirle gente muchas veces quiere escuchar , propuesta reales # Quito volver levantarse '' @ JCSolines https : //t.co/gPBsRHT8Kc",2019-02-22
Juan Carlos,Solines,JCSolines,"`` debe volver ojos barrios parroquias rurales , dejar mega obras mas grande viene camino metro # Quito '' @ JCSolines Siga transmision vivo interactue https : //t.co/Vbqk756oXl # LaNoticiaenSucesos https : //t.co/9rGI0iNaRW",2019-02-22
Juan Carlos,Solines,JCSolines,"sido acercamiento barrios ? @ verocha16 '' iniquidad enorme , tale d caso existen hogares utilizan velas barrios capital '' @ JCSolines # LaNoticiaenSucesos https : //t.co/ndi6urgJfI",2019-02-22
Juan Carlos,Solines,JCSolines,compromiso barrios ! Trabajaremos juntos resolver problemas tambien mios . Quito tolera mas mediocridad improvisacion ! # QuitoSeLevanta # JuntosPodemos # QuitoNecesitaOrden # LosBarriosPrimero https : //t.co/afL6Qpmn6t,2019-02-24
Juan Carlos,Solines,JCSolines,invito sintonizar entrevistas hoy . # JuntosPodemos https : //t.co/YoeE7mQbrB,2019-02-25
Juan Carlos,Solines,JCSolines,invito sintonizar entrevistas dia hoy # QuitoSeLevanta # JuntosPodemo https : //t.co/3ZMJyYas1P,2019-02-26
Juan Carlos,Solines,JCSolines,Espero descansado feriado ! Avanzamos firmes campana ! invito visitar redes Facebook Instagram escuchar entrevistas manana ! # QuitoSeLevanta # JuntosPodemos https : //t.co/coBmewECIw,2019-03-06
Juan Carlos,Solines,JCSolines,"Juan Carlos Solines , candidato Alcaldia Quito Juntos Podemos # LaPalabraSonorama @ JCSolines https : //t.co/eCLiY0AxTw",2019-03-06
Juan Carlos,Solines,JCSolines,invito acompanen entrevistas dia hoy . # QuitoSeLevanta # JuntosPodemos https : //t.co/B7NL7q87F3,2019-03-07
Juan Carlos,Solines,JCSolines,"diferencias atacar plantear temas importantes # Quito gente . Esperamos Paco Moncayo cara , puede aspirar ser Alcalde huyendo debates . ! digo frente , trolls ! # QuitoSeLevanta # JuntosPodemos # SolinesAlcalde https : //t.co/DLN3Gwd4Y8",2019-03-07
Juan Carlos,Solines,JCSolines,"invito manana 7am sintonicen nuevo debate Corral , Holguin Montufar Radio Quito @ mrivadeneira entrevista @ radiosonorama 2:15pm . importante escuchen candidatos , analicen perfiles experiencia ejerzan voto informado https : //t.co/aI7WsO0rg2",2019-03-08
Juan Carlos,Solines,JCSolines,comparto entrevista manana @ fmmundo gran @ cdaponce abordamos muchas propuestas Alcaldia Quito # VotaInformadoPorQuito # JuntosPodemos,2019-03-08
Juan Carlos,Solines,JCSolines,"martes 7y30 AM segmento Conoce Candidato , seguimos hablando propuestas . vez acompanaran @ LuisaMaldonadoM @ JCSolines preguntas @ 24horasUIO @ teleamazonasec https : //t.co/Hc24oOVk5R",2019-03-12
Juan Carlos,Solines,JCSolines,Dialogo candidatos alcaldia Quito organizado @ FECABE_Ecuador postulantes @ juancaholguin @ JCSolines @ PabloDavalos63 https : //t.co/0MDSHK2v60,2019-03-14
Juan Carlos,Solines,JCSolines,Dialogo candidatos alcaldia Quito organizado @ FECABE_Ecuador postulantes @ juancaholguin @ JCSolines @ PabloDavalos63 https : //t.co/0MDSHK2v60,2019-03-14
Juan Carlos,Solines,JCSolines,"`` esencia feminismo lucha igualdad '' , dice @ JCSolines # HablemosdeGenero https : //t.co/avQH1Dk8GL",2019-03-15
Juan Carlos,Solines,JCSolines,"Empieza conversacion @ juancaholguin @ JCSolines , dos candidatos aceptaron cumplieron invitacion ver better man hablar genero @ 8medio , moderado @ itsabela # HablemosdeGenero https : //t.co/LD20V9kUdy",2019-03-15
Juan Carlos,Solines,JCSolines,"Manana # Descifrando 8amx97.7FM superar desanimo quitenos ? hacer x Centro Historico ? Alcaldias menores , conectividad , nuevos ejes desarrollo , contaminacion , radiacion @ PabloDavalos63 , @ PaolaVintimilla @ JCSolines https : //t.co/uXZM6uoHj0",2019-03-16
Juan Carlos,Solines,JCSolines,invito acompanen entrevistas hoy https : //t.co/zchbg8elcB,2019-03-16
Juan Carlos,Solines,JCSolines,NOTICIA URGENTE ! OPERACION METRO QUITO NEGOCIADA SILENCIOSAMENTE ! # QuitoSeLevanta # JuntosPodemos https : //t.co/xktZAysxf0,2019-03-16
Juan Carlos,Solines,JCSolines,! VIVA QUITO ! Concejal Norte Lista 33 @ JCSolines Alcalde # QuitoSeLevanta https : //t.co/X4JRItd2vB,2019-03-17
Juan Carlos,Solines,JCSolines,# JuntosPodemos,2019-03-17
Juan Carlos,Solines,JCSolines,"@ Federic51320921 @ YRamia @ juancaholguin @ CesarMontufar51 Tranquila Yvonne , podras ver , troll servicio tocayo Holguin , talvez ignora buenos amigos . Decide conciencia quitenos podemos seguir equivocando . # JuntosPodemos # # QuitoSeLevanta",2019-03-18
