nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Francisco,Jimenez Sanchez,fcojimenez21,seguir recorrer Guayaquil Mercado Santa Teresita Parroquia Febres Cordero presentar propuesto comerciant sector ir potenciar infraestructura mercado darl connotacion turistico elguayaquilquetuquier,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,Radio RadioLaPrensa 100 1 FM VIVO conversar propuesta ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,ir organizar ciudad 10 zona cada Unidad Municipal Independiente presupuesto propio elaborado propuesta funcion buscar progreso guayaquileno RadioLaPrensa ElGuayaquilQueTuQuieres JimenezAlcalde VotaTodoCREO21,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,realidad duro Guayaquil vez costar aceptarla ir mejorarla querer construir Guayaquil ilusionar RadioLaPrensa,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,gracias recibir yo minuto conversar vida futbol pasion comparto pequeno superk800radio,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,radio forever925sintonicir 92 5 FM poder ver entrevista VIVO via FacebookLive,2019-02-19
Francisco,Jimenez Sanchez,fcojimenez21,Amigos Manana DebateGuayaco lacamaragye LaPosta Ecu presentar guayaquileno propuesta ElGuayaquilQueTuQuieres Via FacebookLive Cuentanos tema gustaria debata DebateAlcaldes,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,hoy llevar cabo debate candidato Alcaldes Guayaquil organizado Camara Comercio CynthiaViteri6 jimmyjairala negado asistir actitud antidemocratico falta respeto votante,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,hoy llevar cabo debate candidato Alcaldes Guayaquil organizado Camara Comercio CynthiaViteri6 jimmyjairala negado asistir actitud antidemocratico falta respeto votante,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,Candidato debate merecer voto VotaTodoCREO21,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,Amigos hoy 20h00 presente VIVO via streaming DebateGuayaco lacamaragye LaPosta Ecu HT oficial JimenezAlcalde,2019-02-20
Francisco,Jimenez Sanchez,fcojimenez21,listo breve momento arranco DebateGuayaco lacamaragye LaPosta Ecu JimenezAlcalde CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,fcojimenez21 partido creoecuador tercero llegar DebateGuayaco Escucha propuesto hoy 20 Feb ViaStreaming 20h00 FbLive YouTube felizmiercol,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,ir bajar multa transito desproporcionado 70 JimenezAlcalde DebateGuayaco lacamaragye LaPosta Ecu CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,ir organizar ciudad 10 zona cada Unidad Municipal Independiente presupuesto propio JimenezAlcalde DebateGuayaco lacamaragye LaPosta Ecu CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Felicito candidato asistir hoy debate critico frontalmente asistir CynthiaViteri6 jimmyjairala quitar él oportunidad guayaquileno conocer propuesta,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,Candidato debate merecer voto JimenezAlcalde DebateGuayaco CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,ir recuperar navegabilidad Rio Guayas JimenezAlcalde DebateGuayaco lacamaragye LaPosta Ecu CREOEcuador,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,ir ser Alcalde EMPLEO JimenezAlcalde DebateGuayaco,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,candidato fcojimenez21 GANADOR DEBATEGUAYACO sera NUEVO ALCALDE Guayaquil hacer TurnDownForWhat candidato,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,vision futuro elguayaquilquetuquier si posible JimenezAlcalde DebateGuayaco,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,ir bajar multa transito 70 ElGuayaquilQueTuQuieres JimenezAlcalde DebateGuayaco,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,debateguayaco fcojimenez21 ganador excelente propuesta JimenezAlcalde VotaTodoCREO21 ElGuayaquilQueTuQuieres todoslecopianafrancisco,2019-02-21
Francisco,Jimenez Sanchez,fcojimenez21,gracias apoyo noche cumplir guayaquileno presentar propuesta DebateGuayaco Gracias lacamaragye LaPosta Ecu invitacion JimenezAlcalde VotaTodoCREO21,2019-02-21
