nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Juan Carlos,Holguin,juancaholguin,buen domingo poco minuto sere entrevistado pamozaec LaRadioRedonda Acompanenme,2019-02-17
Juan Carlos,Holguin,juancaholguin,Pattycopal JCSolines CesarMontufar51 Tecnologia derogacion normativo permitir terrible contaminacion auditivo constar plar gobierno,2019-02-17
Juan Carlos,Holguin,juancaholguin,Pattycopal tebosamanieguir jcsolín cesarmontufar51 emprendedor urbano corredor comercial emergente programa Marcha pnud lograr 3 ano condición digno trabajo call estir orden,2019-02-17
Juan Carlos,Holguin,juancaholguin,Bota junto juancaholguin equipo Cambio InnovacionyExperiencia federicoperezi Creo21,2019-02-17
Juan Carlos,Holguin,juancaholguin,Acompanenme manán 24horasuio gisella bayonar propuesto recuperar Quito innovacion experiencia innovarparacambiar,2019-02-18
Juan Carlos,Holguin,juancaholguin,buen dia poco minuto empezar entrevista gisella bayonar teleamazonasec Si quieres seguir él online poder hacer él aqui,2019-02-19
Juan Carlos,Holguin,juancaholguin,ir optimizar presupuesto municipal eliminar duplicidad función institución reducir numero asesor retirar puesto politico entregar administracion,2019-02-19
Juan Carlos,Holguin,juancaholguin,empleo eje principal propuesta generar empleo ciudad crezca proponer ordenar venta crear corredor comercial emprendedor urbano poder trabajar,2019-02-19
Juan Carlos,Holguin,juancaholguin,turismo eje importante desarrollo productivo ciudad hoy presentar propuesta evento organizado sector turistico ciudad candidatosyturismo CAPTURPICHINCHA,2019-02-19
Juan Carlos,Holguin,juancaholguin,buenos dia hoy 8 am hablar fherrerarauz llevar quito futuro presentamos propuesta ecuainm Sigan entrevista,2019-02-20
Juan Carlos,Holguin,juancaholguin,mas preocupante mafia sindical taxismo secuestra autoridad Si candidato dar cuenta corrupcion cupo tecnologiar Quito seguirar crisis necesario sr PacoMoncayo aceptar debatir 4pelagatos4,2019-02-20
Juan Carlos,Holguin,juancaholguin,Gracias juancaholguin Polificcion escuchar Floresta barrio ciudadano habitant Quito ordenanza especial ejemplo varios hermano,2019-02-21
Juan Carlos,Holguin,juancaholguin,Aqui agendir entrevista viernes 22 febrero 2019 Escuchanos majestadfm partir 6h00 fabriciovelav alexismoncayo juancaholguin juankacastillog MarlonGuevaraEC GadBanos,2019-02-22
Juan Carlos,Holguin,juancaholguin,javier masson PVelasquezEc PacoMoncayo 4pelagatos4 Hola Javier centro democraciar debatir propuesta campán contrastar,2019-02-22
Juan Carlos,Holguin,juancaholguin,trav democraciaparticipativa querer promover ciudadania mas comprometido cambio social ciudadania informar organizar hacer cosa sucedar CabildoCivico Quito juancaholguin PacoMoncayo LoroHomero CesarMontufar51 PaolaVintimilla,2019-02-25
Juan Carlos,Holguin,juancaholguin,chirito aiarconsalvador mariasolcorral ver espacio espacio estar reservado problema funcionario calificar discrecionalidad estrategia comunicacional,2019-02-25
Juan Carlos,Holguin,juancaholguin,Empezamos Conversatorio Patrimonio Natural Quito reto oportunidad organizado Acuerdo Ecuador,2019-02-25
Juan Carlos,Holguin,juancaholguin,tema perro callejero deber ser solucionar politico salud publicar proponer nuevo censo implementacion chip mascotas 5 ano poder comercializar perro raza impulsar adopcion,2019-02-26
Juan Carlos,Holguin,juancaholguin,ginely1234 jofrecalderon santiguardera MSaludEcuador humbertoalazar fabovillamar anibal carrera QuitoPress SFQuito MemesquitoEc LoroHomero propuesta abordo casi punto poder encontrar plan,2019-02-26
Juan Carlos,Holguin,juancaholguin,arrancamos debatir dialogo academico candidato alcald gracias USFQ Ecuador invitacion poder seguir intervencion aqui,2019-02-27
Juan Carlos,Holguin,juancaholguin,luisesgo,2019-02-27
Juan Carlos,Holguin,juancaholguin,imjupiteer CynthiaViteri6 jimmyjairalo PacoMoncayo pablodavalos63 fcojimenez21 Blockchain contratacion publicar tramitologia Big datar responsabilidad proteccion dato movilidad salud obra publica Transparencia dato abierto,2019-03-01
Juan Carlos,Holguin,juancaholguin,inseguridad vivir solidaridad mariasolcorral lamentable hecho,2019-03-01
Juan Carlos,Holguin,juancaholguin,debatir presentar propuesta concreto deber candidato seguir DebatePorQuito organizado ec decidir aqui,2019-03-08
Juan Carlos,Holguin,juancaholguin,buenos dia hoy estare mrivadeneiro conversar propuesta vision Quito Escuchen entrevistar 7,2019-03-08
Juan Carlos,Holguin,juancaholguin,dia despierto certeza Quito poder ser mejor ciudad hijo nieto supuesto poder poder hacer mas mayor ilusion Quito asi quitotambienpuedehacer él innovarparacambiar,2019-03-09
Juan Carlos,Holguin,juancaholguin,mauriciorodasec Hago publicar carta alertar ud pretender constituiria burlar autoridad ciudadania adema poner riesgo seguridad juridico contrato Metro Lenin PacoMoncayo cesarmontufar51,2019-03-12
Juan Carlos,Holguin,juancaholguin,mauriciorodasec Hago publicar carta alertar ud pretender constituiria burlar autoridad ciudadania adema poner riesgo seguridad juridico contrato Metro Lenin PacoMoncayo cesarmontufar51,2019-03-12
Juan Carlos,Holguin,juancaholguin,mauriciorodasec Hago publicar carta alertar ud pretender constituiria burlar autoridad ciudadania adema poner riesgo seguridad juridico contrato Metro Lenin PacoMoncayo cesarmontufar51,2019-03-12
Juan Carlos,Holguin,juancaholguin,CrespoCris Polificcion mariaantonia888 Hola Cristina Recuerdo preguntar conteste respeto Pedias retire candidatura Respeto preferencia electoral pues tratar democracia creer mejor proyecto ciudad mejor equipo mas responsable plar gobierno,2019-03-12
Juan Carlos,Holguin,juancaholguin,skueffner izurietavarea Plan Integral Soterramiento Puedes revisar él plan gobierno,2019-03-12
Juan Carlos,Holguin,juancaholguin,rosamariatorr apreciado rosamariatorr gracias poner yo tema cultura civico eje central cambio necesitar Quito Adjunto respuesta,2019-03-13
Juan Carlos,Holguin,juancaholguin,Candidato juancaholguin intervencion Desayuno Conversatorio candidato Alcaldia organizado FECABE,2019-03-13
Juan Carlos,Holguin,juancaholguin,PacoMoncayo aprimerahoro ec Gral Quito crisis SevillaRoque hacer mejor alcaldia Dejo mejor sistema transporte publico region habio empezado proyecto chq proceso centro comercial ahorro mas tena visionario hablar verdad,2019-03-13
