nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Pablo Eduardo,Ponce Cerda,PabloPonce,modelo977 principal propuesta realizar Asambleas Itinerantes todo provincia pais YoSoyTuVoz YosoyPabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,modelonoticia Entrevista Dr Pablo Ponce candidato cpccs yosoytuvoz pabloponce PabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,TelevisionManabita Casillero 12 sorteo primero vez elegirar 7 representante cpccs,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,Gestion Publica deber ser responsable RadioGaviota YoSoyTuVoz PabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,querer saludar dia colega Abogados pais noble profesion esfuerzo preparacion luchar constante hacer prevalecer derecho client DiaDelAbogadoEcuatoriano YoSoyTuVoz PabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,Radio Costamar abrir espacio hablar proxima elección Ecuador elegirar 7 representante Consejo Participacion Ciudadana Control Social casillero12 YoSoyTuVoz PabloPonce,2019-02-20
Pablo Eduardo,Ponce Cerda,PabloPonce,seguir recorrer pais hoy Portoviejo iniciar Manavision hablar Consejo Participacion Ciudadana Control Social elección proximo 24 marzo elegiran primero vez consejero voto popular,2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,Radio Capital 103 3 RNC borron contar nuevo pais necesitar respetir norma problema institución persona hacer buena base educacion incentivar verdadero participacion ciudadano activo,2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,Radio Capital 103 3 borron contar nuevo pais necesitar respetir norma problema institución persona hacer buena base educacion incentivar verdadero participacion ciudadano activo YoSoyTuVoz,2019-02-21
Pablo Eduardo,Ponce Cerda,PabloPonce,invitar escuchar propuesta candidato CPCCS siguiente medio comunicacion ecuavisa radiopublicaEC gkcity radiosonoramar CanalUnoTv RadioUnica720 Yosoytuvoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,invitar ver entrevista contactodirecto ecuavisar Hablare propuesta candidato CPCCS yosoytuvoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,yosoytuvoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,ecuavisa listo dar conocer propuesta candidato CPCCS YoSoyTuVoz FelizLunes,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,participacion ciudadano ingrediente principal fomentar democracia via ecuavisa YoSoyTuVoz,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,ecuadoralasurna PabloPonce mingar deber apoyar hombro fomentar participacion ciudadania,2019-02-25
Pablo Eduardo,Ponce Cerda,PabloPonce,CPCCS deber tener apoyo gremio tecnico fin incentivar verdadero participacion ciudadano YoSoyTuVoz ecuavisa,2019-02-25
