nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,postdrcarlosmosquero peculado carlosmosquero CPCCS VOTO UnMedicoHonrado RT,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,postdrcarlosmosquero vacación carlosmosquero CPCCS VOTO UnMedicoHonrado RT,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,cero mata,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,24 Marzo Compromiso patria Basta politico Necesitamos personar Valiosa Honorable representarnos CPCCS CARLOS mosquera Cirugia Mayor Corruptos Vota Puesto 5 Paleta Hombres VOTO UnMedicoHonrado RT,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,quieres conocer mas Candidato Consejo Participacion Ciudadana Control Social Dr MosqueraCarlosB Tendras Noticias primero mano hacer frente corrupcion ecuador mantente informado pluma servidor COMPARTE RT,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,Jubilados Pueblo mas desposeido Jovenes hacer 24 marzo diferenciar defender Voto civismo patriotismo Carlos Mosquera politico SI Medico Servidor Patria,2019-02-19
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,conocer cerca actividad Candidato CPCCS mosqueracarlosb Siguelo Instagram enterate potencial servidor ninguno duda llevar Pais rienda justicia Siguelo link Raya poner 5,2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,ALERTA estar promover Voto NULO Acaso dar contar alargar tema elección mas gasto bolsillo Campana nivel nacional pais gastar mas plata campanas COMPARTE RT,2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,postdrcarlosmosquero eliminatorias carlosmosquero CPCCS VOTO unmedicohonrado,2019-02-20
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,postdrcarlosmosquero ULTIMO CHANCE carlosmosquero CPCCS VOTO unmedicohonrado,2019-02-21
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,hoy pierda entrevista radiocanelaec 106 5 FM Pichincha formar Online 9am saludos 24 marzo dia votaremo Carlos Mosquera CarlosMosqueraAlCPCCS Casillero 5 VOTO unmedicohonrado,2019-02-21
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,hoy 12 40pm pierda entrevista Radio Negra Latina 99 9 FM Saludos CarlosMosqueraAlCPCCS Puesto 5 VOTO unmedicohonrado,2019-02-21
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,invito seguir yo nuevo cuenta Twitter subirar contenido exclusivo momento,2019-02-21
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,invito seguir yo cuenta Twitter subo contenido exclusivo momento,2019-02-21
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,invito seguir yo cuenta Twitter subo contenido exclusivo momen,2019-02-21
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,postdrcarlosmosquera LOOR medico carlosmosquero CPCCS VOTO unmedicohonrado,2019-02-22
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,articulosdrcarlosmosquerar votar nulo eliminar CPCCS votar alguien 43 carlosmosqueraalcpcc Puesto 5 VOTO unmedicohonrado Fuente gracias eltelegrafo,2019-02-22
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,manana pierda entrevista Radio Municipal 720 AM Quito junto Feliz Narvaez Programa Entrevistas 7am Escuchalo formar Online CarlosMosqueraAlCPCCS Puesto 5 VOTO unmedicohonrado,2019-02-25
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,sintonizar momento Online CarlosMosqueraAlCPCCS Puesto 5 VOTO unmedicohonrado,2019-02-25
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,Gracias Ecuavisa permitirme dirigir Nacion compatriota pais mensaje proposito dentro Consejo Participacion Ciudadana Control Social CPCCS desperter ecuatoriano venir gran responsabilidad dentro organismo,2019-02-25
Carlos Gonzalo,Mosquera Benalcazar,MosqueraCarlosB,sumar importancia hoy tratar tema mas matar CORRUPCION atento demagogiar orden diar elección solo propongo extirpar lacra Pillos aunque faltariar mil ano mas sacar mal elemento ecuavisa RT,2019-02-25
