nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Paco,Moncayo,PacoMoncayo,Escuchamos necesidades planteamientos quitenos cada recorrido visita barrios historias impulsan juntos hacer,2019-02-17
Paco,Moncayo,PacoMoncayo,cada accion cuente beneficio ciudad trabajaremos junto quitenos hacer,2019-02-18
Paco,Moncayo,PacoMoncayo,seguridad ciudadana competencia Municipio trabajaremos recuperarla quitenos,2019-02-18
Paco,Moncayo,PacoMoncayo,semana vecinos Atucucho Calderon varios recorridos barrios comparten esperanza recuperar quebradas juntos recuperaremos haremos,2019-02-18
Paco,Moncayo,PacoMoncayo,cada visita barrios sentimos cerca quitenos Juntos convertiremos mercados lugares turista quiera visitar,2019-02-18
Paco,Moncayo,PacoMoncayo,Municipio cosas funcionan gente vive miedo problemas basura trafico invivible quitenos comparan recuerdo grato quedo Quito luego administraciones,2019-02-19
Paco,Moncayo,PacoMoncayo,seguridad transito problemas convivencia ciudadana principales causas victimas competencia Municipio Junto quitenos retomaremos competencias,2019-02-19
Paco,Moncayo,PacoMoncayo,puede decirse continuismo mamarrachada alcaldia recupere Itchimbia saque botadero Zambiza dote agua potable alcantarillado recupere Centro Historico Solo cuestion remitirse hechos,2019-02-19
Paco,Moncayo,PacoMoncayo,Emaseo debe reestructurarse fondo ciudades recoleccion tonelada basura cuesta dolares cuesta pagando tener ciudad sucia,2019-02-19
Paco,Moncayo,PacoMoncayo,gente recuerda trabajo realice Alcalde saluda afecto carino quitenos motiva juntos hacer,2019-02-19
Paco,Moncayo,PacoMoncayo,termine Alcaldia deje Quito limpio mejores ciudades turisticas Latinoamerica volvamos sentirnos orgullosos ciudad juntos recuperaremos belleza haremos,2019-02-20
Paco,Moncayo,PacoMoncayo,zona Mariscal vuelva espacio seguro cultural convivencia ciudadana pacifica turistico calidad trabajaremos mano gestores culturales vecinos sector juntos hacer,2019-02-20
Paco,Moncayo,PacoMoncayo,Visitamos mercado Francisco almorzamos rica comida caseritas lindos espacios mercados volvamos sentirnos familia ciudad trabajaremos recuperar identidad orgullo quiteno hacer juntos,2019-02-20
Paco,Moncayo,PacoMoncayo,gusto visitar locales gente honesta trabajadora recorridos quitenos puedan hacer realidad suenos tener negocio propio fomentaremos acceso credito emprendimientos Hagamos juntos,2019-02-21
Paco,Moncayo,PacoMoncayo,juntos hagamos movilidad sostenible construiremos ciclovias nuevas articularemos ciclo parqueaderos estaciones paradas transporte publico Hagamos juntos,2019-02-21
Paco,Moncayo,PacoMoncayo,familia puedan vivir entorno limpio saludable haremos juntos Quito ciudad responsable manejo desechos solidos recuperaremos sistema recoleccion basura promoveremos reciclaje reutilizacion,2019-02-22
Paco,Moncayo,PacoMoncayo,puedas disfrutar tranquilidad barrio ciudad seguros familia fortaleceremos coordinacion interinstitucional garantizar seguridad convivencia ciudadana hacer juntos,2019-02-22
Paco,Moncayo,PacoMoncayo,vivamos ciudad lidere Region cuidado ambiental juntos trabajaremos reemplazar plasticos solo hacer,2019-02-23
Paco,Moncayo,PacoMoncayo,Seguimos recorriendo ciudad recibiendo necesidades carino barrios volvamos sentirnos orgullosos tener ciudad limpia ordenada implementaremos sistema recoleccion basura eficiente Hagamos juntos,2019-02-23
Paco,Moncayo,PacoMoncayo,gusto invitado varias organizaciones ciclistas recorrido luego conversatorio compartir experiencias grato saber recuerdan apoye ciclopaseos alcalde Fortaleceremos hacer,2019-02-24
Paco,Moncayo,PacoMoncayo,vivamos nuevo entornos naturales cuidados protegidos priorizaremos limpieza quebradas bordes taludes ademas velaremos proteccion mediante construccion obra publica arborizacion hacer juntos,2019-02-24
Paco,Moncayo,PacoMoncayo,,2019-02-25
Paco,Moncayo,PacoMoncayo,recicladores mejoren situacion laboral familias mejores condiciones vida dotaremos equipos proteccion personal apoyaremos conformacion microempresas Hagamos juntos,2019-02-25
Paco,Moncayo,PacoMoncayo,dejar banderas colores politicos ponerse camiseta ciudad trabajar conjunto hacer,2019-02-25
Paco,Moncayo,PacoMoncayo,seguridad multinivel Alcalde corresponde trabajar prevencion control seguridad vial relaciones sociales convivencia ciudadana inseguridad coarta libertades vivimos miedo debemos cambiarlo,2019-02-25
Paco,Moncayo,PacoMoncayo,elementos fundamentales hacen alcaldia exitosa planificar adecuadamente gobernar mejores expertos escuchar consejos tecnicos gobernar gente ciudad mueva ritmo necesario desarrollo hacer,2019-02-25
Paco,Moncayo,PacoMoncayo,inauguracion significar cambio radical forma transportamos ciudad Debemos hablar sistema multimodal integrado moderno eficiente servicio quitenos,2019-02-25
Paco,Moncayo,PacoMoncayo,ningun acuerdo actual administracion hecho desesperado Alcade solicitado colaboracion exfuncionarios administracion significa,2019-02-25
Paco,Moncayo,PacoMoncayo,Cesar Cesar bicicleta recordamos caso ganar debe continuar potenciar comenzo Gracias,2019-02-25
Paco,Moncayo,PacoMoncayo,hacer movilidad sostenible priorice peatones ciclistas transporte publico vamos fortalecer sistema bicicleta publica hacer transporte publico servicio eficiente calidad Hagamos juntos,2019-02-25
Paco,Moncayo,PacoMoncayo,quitenos sistema transporte publico digno eficiente modernizaremos sistema metropolitano transporte articularemos manera integral beneficie barrios ciudad Hagamos juntos,2019-02-26
Paco,Moncayo,PacoMoncayo,meses reunido conversatorios gente escuchar preocupaciones Plan Gobierno acciones enfrentar problemas ciudad hacer juntos,2019-02-26
Paco,Moncayo,PacoMoncayo,planteando sistema multimodal Metro Trole Ecovia alimentadores funcionen tecnologia punta ciudades sistema transporte moderno eficiente servicio quitenos,2019-02-26
Paco,Moncayo,PacoMoncayo,Haremos alianza publico privada organizaciones animalistas generar acciones apoyen construccion cultura tenencia responsable mascotas sistema tener programas desparasitacion adopcion esterilizacion,2019-02-26
Paco,Moncayo,PacoMoncayo,hizo entrevista temas importancia quitenos ciudad invito leer soluciones planteamos,2019-02-26
Paco,Moncayo,PacoMoncayo,hizo entrevista temas importancia quitenos ciudad invito leer soluciones planteamos,2019-02-26
Paco,Moncayo,PacoMoncayo,resulte comodo agil viajar implementaremos sistema tarjeta unica transporte Hagamos juntos,2019-02-27
Paco,Moncayo,PacoMoncayo,liderazgo ciudad entender ciudad conjunto actores estrategicos liderazgo lograr actores pongan acuerdo beneficio ciudad Debemos ponernos trabajar obreros escritorio,2019-02-27
Paco,Moncayo,PacoMoncayo,oportunidad tener desayuno trabajo sector privado actor fundamental crecimiento progreso Quito trabajo tener,2019-02-27
Paco,Moncayo,PacoMoncayo,oportunidad reunirnos sector privado actor fundamental crecimiento progreso Quito trabajo tener,2019-02-27
Paco,Moncayo,PacoMoncayo,tiempo actividades familia aplicaremos medios tecnologicos punta gestionar trafico manera eficiente Hagamos juntos,2019-02-27
Paco,Moncayo,PacoMoncayo,comercio justo organizado fortaleceremos mercados controlaremos ventas informales Visitamos mercado Santa Clara esperanza caseritas ventas ambulantes terminen Hagamos juntos,2019-02-28
Paco,Moncayo,PacoMoncayo,puedas caminar obstaculos espacio publico trabajaremos construccion mantenimiento aceras Hagamos juntos,2019-03-01
Paco,Moncayo,PacoMoncayo,puedas transitar calles vias afectar vehiculo bicicleta trabajaremos pavimentacion mantenimiento vial toda ciudad Hagamos juntos,2019-03-01
Paco,Moncayo,PacoMoncayo,Mitad Mundo verdadero atractivo turistico visitantes nacionales extranjeros genere movimiento economico plazas empleo mejoraremos infraestructura accesibilidad oferta turistica Hagamos juntos,2019-03-01
Paco,Moncayo,PacoMoncayo,feriados experiencia viajar ciudad pais rapida comoda remodelaremos ampliaremos terminales terrestres ciudad Hagamos juntos,2019-03-02
Paco,Moncayo,PacoMoncayo,trabajar promocion turismo ciudad atractivo genere fuentes empleo mejoraremos simplificaremos regulaciones operacion servicios turisticos juntos hacer,2019-03-03
Paco,Moncayo,PacoMoncayo,saliste Quito feriado varias opciones disfrutar invito apoyes oferta turistica ciudad hagamos juntos,2019-03-03
Paco,Moncayo,PacoMoncayo,motivarte dejes auto uses transporte publico facilitaremos estacionamientos proximos estaciones Metro terminales transporte accesos hipercentro Hagamos juntos,2019-03-03
Paco,Moncayo,PacoMoncayo,Quiero vivas ciudad aproveche capacidad turistica genere empleos Quito sera destino convenciones reuniones eventos internacionales Hagamos juntos,2019-03-04
Paco,Moncayo,PacoMoncayo,Quiero familia miles turistas extranjeros olviden estres disfrutando sitios aguas termales ofrece ciudad Quito sera destino salud Hagamos juntos,2019-03-04
Paco,Moncayo,PacoMoncayo,Quiero movilices toda ciudad llegues destino solo pasaje Mejoraremos fortaleceremos Sistema Integrado Transporte Publico Hagamos juntos,2019-03-04
Paco,Moncayo,PacoMoncayo,Quiero disfrutes Mariscal caminando calma Zona tendra amplia oferta cultural entretenimiento sera lugar seguro Hagamos juntos,2019-03-05
Paco,Moncayo,PacoMoncayo,Quiero movilices toda ciudad llegues destino solo pasaje Mejoraremos fortaleceremos Sistema Integrado Transporte Publico Hagamos juntos,2019-03-05
Paco,Moncayo,PacoMoncayo,equipo trabajo listo asumir Alcaldia Quito llegar experiencia puede experimentar temas administracion publica ciudad crisis,2019-03-06
Paco,Moncayo,PacoMoncayo,Alcalde Quito primera ciudad realizar propuesta cambio climatico Paris primera ciudad presentar Nueva York cumplimiento objetivos milenio Quito ciudad regresar,2019-03-06
Paco,Moncayo,PacoMoncayo,politicas publicas tratan cerrar brechas desigualdad atencion prioritaria barrio servicios basicos servicios,2019-03-06
Paco,Moncayo,PacoMoncayo,sirve usted lugar servir gente puede esperar arreglar principios negocia jamas pondre principios servicio ciudad junto quitenos hacer,2019-03-06
Paco,Moncayo,PacoMoncayo,gradue alcalde deje general deje doctor ninos llamaron Paquito alcalde persona amigable accesible cercana pueda gente cara,2019-03-06
Paco,Moncayo,PacoMoncayo,Quiero recuperes identidad quiteno nombre Quito reconocido internacionalmente Crearemos Marca Ciudad Quito atraer inversiones generen empleos hacer juntos,2019-03-06
Paco,Moncayo,PacoMoncayo,quitenos memoria gran corazon barrios gente acuerda gestion recibe brazos abiertos Pondremos orden municipalidad servicio ciudadania,2019-03-07
Paco,Moncayo,PacoMoncayo,Nunca alcalde cediendo espacios poder Nunca concejales compitiendo alcalde grilletes primera prioridad Quito municipalidad confiable cercana gente,2019-03-07
Paco,Moncayo,PacoMoncayo,Implementaremos sistema integrado multimodal transporte moderno seguro Buses camaras paradas tecnologia anuncio llegada proximo sistema mando control unificado semaforos inteligentes,2019-03-07
Paco,Moncayo,PacoMoncayo,siempre ofrecido Quito trabajo serio honesto tecnico equipo experiencia junto quitenos vamos hacer,2019-03-07
