nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Cynthia,Viteri,CynthiaViteri6,buen dia guayaquileno vivo entrevista radio sucre ir engrandecer aun mas ciudad,2019-02-19
Cynthia,Viteri,CynthiaViteri6,siempre ir ir mas allar competencia demostrado seguir hacer respecta educacion seguridad salud bienestar familia guayaquilena radio sucre,2019-02-19
Cynthia,Viteri,CynthiaViteri6,nuevo aerovia bus electrico puente samborondon daule bicicleta publica ir seguir dar mayor facilidad conductor pasajero llegar tiempo destino sonar grande radio sucre,2019-02-19
Cynthia,Viteri,CynthiaViteri6,perfectamente sentir madre enviar hijo escuela implementarer camara seguridad aser colegio escuela alejar vendedor droga hijos radio sucre,2019-02-19
Cynthia,Viteri,CynthiaViteri6,joven cantera acompanar candidata cynthiaviteri6 gran caravana distrito2 junto candidato josuesanchezec luzmilanicolald caicedoegis consueloflor jxcabrer futuro prefecto clmoralesb seguir campana,2019-02-19
Cynthia,Viteri,CynthiaViteri6,sergio toral progreso guayaquil gracia tanto calido recibimiento demostrar seguir cumplir mas sueno junto mano estarir grande obra tú sigueguayaquilsigar,2019-02-20
Cynthia,Viteri,CynthiaViteri6,buen dia guayaquil conocer venir ciudad escuchandomar vivo radiocentroec sintonizar 101 3fm esperar,2019-02-20
Cynthia,Viteri,CynthiaViteri6,hoy ir flor bastion primero centro rehabilitacion gratuito tratamiento adicción 3 estarir ubicado chongon salitral guasmo asi recuperar futuro esperanza joven radiocentroec,2019-02-20
Cynthia,Viteri,CynthiaViteri6,plan mas seguridad camara reconocimiento facial analisis caminar embargo ninguno accion funcionar si asamblea hacer hacer derogar ley prodelincuencial eliminar tabla consumo droga radiocentroec,2019-02-20
Cynthia,Viteri,CynthiaViteri6,mismo oficina podrar junto entidad intervenir permiso construccion funcionamiento manero solicitud podro gestionar él solo lugar radiocentroec,2019-02-20
Cynthia,Viteri,CynthiaViteri6,hoy estare responder inquietud joven guayaquileno debate ciudadano invito participar encuentro 8 00pm facebook live jovenesconcynthia,2019-02-20
Cynthia,Viteri,CynthiaViteri6,centro tratamiento persona adicción flor bastion grande sueno ir cristalizar 4 centro guayaquil prometemo comprometer,2019-02-20
Cynthia,Viteri,CynthiaViteri6,vivo debatir joven guayaquileno idea esfuerzo perseverancia harar guayaquil ciudad aun mas admirable sigueno facebook live jovenesconcynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,acuario virtual 4d ir implementar consiste tunel podrar ver vida marino cualquiera parte mundo proteccion medio ambiente fundamental jovenesconcynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,gracias kevin preguntar encontrar empleo preocupación joven distrito 100 sero espacio innovacion emprendimiento impulsara idea seguire fortalecer acción permitir emprender jovenesconcynthio,2019-02-21
Cynthia,Viteri,CynthiaViteri6,maria belir pequena papa enseno amar animal voy siempre ver animal abandonado rescato ahora 4 perro 6 gato dejado padre 12 perro alcaldesar implementare centro bienestar animal jovenesconcynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,cada accion traera ma empleo crearer incentivo convertir guayaquil entorno atractivo filmacion pelicula internacional gracias alberto idea jovenesconcynthio,2019-02-21
Cynthia,Viteri,CynthiaViteri6,asi joan venir segundo fase guayarte seguir impulsar tipo proyecto generar empleo turismo inversion jovenesconcynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,ir incentivar fortalecer proyecto deportivo medio vencer droga recuperarer futuro joven jovenesconcynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,gracia ursulastrengech compartir experiencia impulsarer emprendimiento joven guayaquil seguir ser ciudad ejemplar jovenesconcynthio,2019-02-21
Cynthia,Viteri,CynthiaViteri6,mucho gracia querido joven alcaldesar escuchare siempre impulsar idea engrandecer aun mas guayaquil jovenesconcynthio,2019-02-21
Cynthia,Viteri,CynthiaViteri6,tú hacer mejor debate guayaquil gracias compartir yo sueno jovenesconcynthia,2019-02-21
Cynthia,Viteri,CynthiaViteri6,cynthiaviteri6 ayer debatio teniar hacer él joven presente futuro ciudad idea claro propuesta exitoso camino trazado hacia progreso bienestar guayaquileno cynthia2019,2019-02-21
Cynthia,Viteri,CynthiaViteri6,guayaquil seguirar camino progreso mas bienestar cada familia corazon estara dedicado social mano trabajarir grande obra junto hacer futuro sigueguayaquilsigar,2019-02-21
Cynthia,Viteri,CynthiaViteri6,gracias pascua él compartir yo hermoso manán jueves alegrio carino fortalecer nuevo sueno liderar futuro guayaquil desarrollo progreso bienestar innovacion,2019-02-21
Cynthia,Viteri,CynthiaViteri6,ayer conversar joven guayaquileno nuevo obra venir guayaquil hoy hacer tambien pascual reafirmar respaldo incondicional equipo gran caravana progreso gracias carino sigueguayaquilsigar,2019-02-22
Cynthia,Viteri,CynthiaViteri6,junto hacer futuro guayaquil ciudad pascuales apoyar cynthiaviteri6 clmoralesb gran equipo concejal representar distrito 2 gracias confiar rayatodititititola6 luzmilaconcejal cynthiaalcaldesar,2019-02-22
Cynthia,Viteri,CynthiaViteri6,manán sabar 23 febrero esperar 8va brigado desintoxicacion atencion medica gratuito llevar bienestar todo familia cada rincon ciudad junto hacer futuro porunfuturosindroga,2019-02-22
Cynthia,Viteri,CynthiaViteri6,terminar semana recibir respaldo incondicional guayacán compromiso seguir trabajar grande obra llevar mas bienestar cada tú junto lograremo sigueguayaquilsigue,2019-02-23
Cynthia,Viteri,CynthiaViteri6,manán tambien progreso posorgir tú parte progreso guayaquil llegarer aca grande obra impulsar turismo traerar mas empleo junto lograrer,2019-02-24
Cynthia,Viteri,CynthiaViteri6,gracias febr cordero gran caravana demostrar guayaquil seguirar camino progreso ir llevar mas empleo seguridad rescatar mas joven droga sigueguayaquilsigar,2019-02-24
Cynthia,Viteri,CynthiaViteri6,semana reafirmar compromiso seguir cumplir mas sueno guayaquil tú parte progreso gran ciudad sigueguayaquilsigar,2019-02-24
Cynthia,Viteri,CynthiaViteri6,manana arrancar semana agendo medio perder entrevista conocer nuevo sueno cumplirer guayaquil esperar,2019-02-25
Cynthia,Viteri,CynthiaViteri6,excelente inicio semana guayaquileno empezar lunes conversar radiomorena640 nuevo obra seguirar llenar progreso bienestar cada rincon guayaquil,2019-02-25
Cynthia,Viteri,CynthiaViteri6,fin semana 8va brigado desintoxicacion joven consumir droga atender adema ecografia rayo x medicina general odontologiar alrededor 800 persona ferio salud radiomorena640,2019-02-25
Cynthia,Viteri,CynthiaViteri6,pondrer camara reconocimiento facial analisis caminar escuela colegio vendedor drogo saber estan ser vigilar cscg policia nacional camara estarir orden fuerza publicar radiomorena640,2019-02-25
Cynthia,Viteri,CynthiaViteri6,emocionante hablar nuevo sueno venir guayaquil conocelo escuchar entrevista rcristal870am,2019-02-25
Cynthia,Viteri,CynthiaViteri6,sabado llovio fuerte guayaquil aun pleno lluvia gente saliar casa negocio demostrarno respaldo seguir dispuesto dar él crecimiento ciudad rcristal870am,2019-02-25
Cynthia,Viteri,CynthiaViteri6,seguir hablar futuro guayaquil escuchame radioaguilar sintonizar 1050am conocer seguir crecer,2019-02-25
Cynthia,Viteri,CynthiaViteri6,momento guayaquil contar 40 escuela deportivo municipal adema entregar uniforme gratuito junto candidato aguschmer distrito 3 fortaleceremos aun mas programa deportivo guayaquileno radioaguilar,2019-02-25
Cynthia,Viteri,CynthiaViteri6,guayaquil crecera mas mas equipo progreso gracias guasmo sur respaldo compromiso seguir camino sueno cumplido sigueguayaquilsiguir,2019-02-26
Cynthia,Viteri,CynthiaViteri6,hoy exito cynthiaviteri6 guasmo sur sigueguayaquilsigar,2019-02-26
Cynthia,Viteri,CynthiaViteri6,mas propuesta junto decidir futuro guayaquil,2019-02-26
Cynthia,Viteri,CynthiaViteri6,vivo entrevista radio sucre ciudad jamas detener seguir implementar nuevo obra pierda,2019-02-26
Cynthia,Viteri,CynthiaViteri6,entregar titulo propiedad monte sinai socio vivienda alcaldesa completare faltar obra servicio radio sucre,2019-02-26
Cynthia,Viteri,CynthiaViteri6,sitio ir construir rehabilitar potencia mercado vendedor comerciant autonomos podrar trabajar manera ordenado comprometer radio sucre,2019-02-26
Cynthia,Viteri,CynthiaViteri6,sitio ir construir rehabilitar potenciar mercado vendedor comerciant autonomos podrar trabajar manera ordenado comprometer radio sucre,2019-02-26
Cynthia,Viteri,CynthiaViteri6,joven lacanteraec ii més trabajar guayaquil suena llevar idea joven ciudad querer idea cynthiaviteri6 hara guayaquil querer,2019-02-26
Cynthia,Viteri,CynthiaViteri6,asi 7 000 nino recibir hoy uniforme seguir practicar deporte mantendremo ampliar cada accion impulse destreza nino joven junto hacer futuro,2019-02-26
Cynthia,Viteri,CynthiaViteri6,seguir compartir sueno ir cumplir guayaquil partir mayo sintonizar 680radioatalaya,2019-02-28
Cynthia,Viteri,CynthiaViteri6,ir seguir llegar bienestar cada rincon guayaquil registratar plan habitacional vivienda futuro aqui sigueguayaquilsigar,2019-02-27
Cynthia,Viteri,CynthiaViteri6,buen miercol guayaquil radiosantiagoec conversar nuevo obra seguirar llenar progreso bienestar cada familia guayaquilén,2019-02-27
Cynthia,Viteri,CynthiaViteri6,gente siempre querer administracion municipal devolver obra pagar trav impuesto modelo invierte 85 ingreso grande obra asi seguir haciendolo radiosantiagoec,2019-02-27
Cynthia,Viteri,CynthiaViteri6,37mil vendedor sido formalizar nuevo vendedor ampliar haremo nuevo mercado posorgir mercado marisco pescado muelle mercado minorista adema contarar credito banco oportunidad radiosantiagoec,2019-02-27
Cynthia,Viteri,CynthiaViteri6,bus urbano contar gps tendran boton panico alertaro atm policia nacional cscg adema camara reconocimiento facial analisis caminar cual estarir ubicado tambien colegio radiosantiagoec,2019-02-27
Cynthia,Viteri,CynthiaViteri6,guayaquil seguirar crecer forma ordenado planificacion estrategico plan viviendo implementarer partir mayo junto hacer posible sigueguayaquilsigue,2019-02-28
Cynthia,Viteri,CynthiaViteri6,crear mos empleo fortalecer seguridad rescatar mas joven droga 3 principal compromiso tú guayaquileno distrito 3 junto seguir camino progreso bienestar guayaquil sigueguayaquilsigar,2019-02-28
Cynthia,Viteri,CynthiaViteri6,nuevo plan mas seguridad incluir colocacion camara reconocimiento facial escuela colegio alejar vendedor droga hijos 680radioatalaya,2019-02-28
Cynthia,Viteri,CynthiaViteri6,guayaquil ciudad digital ahora convertir ciudad inteligente primero ecuador guayaquileno alcaldio estarir aun mas cerca sigueguayaquilsiguir,2019-02-28
Cynthia,Viteri,CynthiaViteri6,hoy compartir grata entrevista programa medio diar canalunotv conversar fortalecimiento programa amiga solo partir mayo guayaquil sero ejemplo luchar violencia genero,2019-02-28
