nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Olivio,Sarzoza,OlivioSarzosa,entrevista ecuavisa dar conocer propuesta darar alcaldia olivio sarzós ponteonce oliviosarzós,2019-02-19
Olivio,Sarzoza,OlivioSarzosa,entrevista ecuavisa dar conocer propuesta darar alcaldia olivio sarzós ponteonce oliviosarzós,2019-02-19
Olivio,Sarzoza,OlivioSarzosa,ponteonce oliviosarzós quito,2019-02-21
Olivio,Sarzoza,OlivioSarzosa,quiteno atento debatir transmitiro telerama 8h15 devateporquito ponteonce justiciasocial oliviosarzós,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,quiteno atento debatir transmitiro telerama 20h15 devateporquito ponteonce justiciasocial oliviosarzós,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,quiteno atento debatir transmitiro telerama 20h15 devateporquito ponteonce justiciasocial oliviosarzós,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,quiteno atento debatir transmitiro telerama quito 20h15 devateporquito ponteonce justiciasocial oliviosarzós,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,siempre agradecido ciudaddequito,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,ponteonce aquiportusderecho oliviosazós,2019-03-07
Olivio,Sarzoza,OlivioSarzosa,parte pueblo alcaldia sero prioridad,2019-03-08
Olivio,Sarzoza,OlivioSarzosa,esperar manán ponteonce oliviosarzós justiciasocial,2019-03-08
Olivio,Sarzoza,OlivioSarzosa,esperar manán ponteonce oliviosarzós justiciasocial,2019-03-08
