nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Eduardo,Argudo,EduardoArgudoG,propuesta querido yazmin,2019-02-25
Eduardo,Argudo,EduardoArgudoG,invitir unirte transmision conocer,2019-02-26
Eduardo,Argudo,EduardoArgudoG,blocar cada candidato escoger preguntar responder minuto despues dar paso ronda comentario replica iniciar,2019-03-01
Eduardo,Argudo,EduardoArgudoG,encontrar poco candidato intervención mayorio generalización propuesta especifico correcto manejo tema genero corregir informar acudir conocimiento,2019-03-01
Eduardo,Argudo,EduardoArgudoG,respaldo trabajador libre alcaldio nadie perseguirar,2019-03-06
Eduardo,Argudo,EduardoArgudoG,desaparecer todo fundación beneficio inventario decir fiscalizarla dinero publico poder mano particular vivo exigir desze ecuador directo,2019-03-06
Eduardo,Argudo,EduardoArgudoG,justicia gocir efectivo derechos guayaquil limitar impedir ejercicio derechos ciudad injusta cualquiera espacio poder expresarno exigirer pasion compromiso pueblo,2019-03-11
Eduardo,Argudo,EduardoArgudoG,invitar verno vivo noche exigimos proponer ciudad humano ecologicar ciudad,2019-03-12
Eduardo,Argudo,EduardoArgudoG,22h00 conocerer candidato alcaldio mirano vivo,2019-03-12
Eduardo,Argudo,EduardoArgudoG,,2019-03-18
Eduardo,Argudo,EduardoArgudoG,multa ordenanza municipal ilegitimas ecuador sanción establecido mismo infracción coip solo ilegitimas inaplicabl inconstitucional evidente vulneracion derechos vivo satelital,2019-03-18
Eduardo,Argudo,EduardoArgudoG,policia metropolitano deber brigads proteccion derechos mitad hombre mitad mujer deber afuerar escuela colegio proteger nino nina adolescente vivo satelital,2019-03-18
Eduardo,Argudo,EduardoArgudoG,absoluto respaldo candidatura joven socialista candidato listo presentar verdadero renovacion administracion municipal necesario luego,2019-03-21
Eduardo,Argudo,EduardoArgudoG,respaldo juventud junto pueblo marzo derrotar visto negocio derechos,2019-03-21
Eduardo,Argudo,EduardoArgudoG,ciudad tendro agua potable poder beber llave votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminarar multa duplicidad sanción votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,proponer ciudad ecologicar humano voto sero,2019-03-21
Eduardo,Argudo,EduardoArgudoG,,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminarar todo fundación fiscalizarer recurso publico entregado particular votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,recuperarer areas verde ciudad sustituiran palmera arbol nativo frutal votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminir multa duplicidad sanción votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminarar todo fundación fiscalizarer recurso publico entregado particular votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,nunca garrote garantizar trabajo libre gente votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,recuperarer areas verde ciudad sustituiran palmera arbol nativo frutal votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminarar multa duplicidad sanción votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,eliminarar multa duplicidad sanción votar,2019-03-21
Eduardo,Argudo,EduardoArgudoG,aprendi hurto encontrar fundación solo conjunto eliminarar todo fundación fiscalizar recurso publico entregado particular,2019-03-21
Eduardo,Argudo,EduardoArgudoG,recuperarer areas verde ciudad sustituiran palmera arbol nativo frutal votar,2019-03-22
Eduardo,Argudo,EduardoArgudoG,eliminarar todo fundación fiscalizarer recurso publico entregado particular votar,2019-03-22
Eduardo,Argudo,EduardoArgudoG,unico candidato izquierdo tercero frente derecho oligarquia designado colectivo social siempre frontal respecto traidor proceso,2019-03-22
Eduardo,Argudo,EduardoArgudoG,candidato voto,2019-03-22
Eduardo,Argudo,EduardoArgudoG,,2019-03-24
Eduardo,Argudo,EduardoArgudoG,,2019-03-23
Eduardo,Argudo,EduardoArgudoG,cierre campán gracias todo,2019-03-24
Eduardo,Argudo,EduardoArgudoG,,2019-03-24
Eduardo,Argudo,EduardoArgudoG,guayaquil cuanto cuayaquil arte guayaquil guayaquil oprime guayaquil querer ignorante acabar,2019-04-02
Eduardo,Argudo,EduardoArgudoG,exacto diria trol,2019-04-08
