nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Hoy atendi entrevistas radio radioi99 Tv Satelital ciudad Guayaquil jornada previsto reunirme organizaciones sociales compartire propuestas recuperar poder ciudadano iBasta abusos atropellos Constitucion,2019-02-19
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Comparto agenda desarrollare miercoles Guayaquil invito escuchar entrevistas conocer propuestas Pueblo organizado informado movilizado vamos recuperar poder ciudadano,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,norma clara Consejo Transitorio atropellado Constitucion trata cumplir norma solo conviene casos decir sirve Reitero vamos revisar acciones Consejo Transitorio Entrevista RadioRumbaEc,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Defender publico tambien lucha corrupcion consultar estudiantes amas casa trabajadores pueblo si estan acuerdo privatizaciones puede ser concesionen empresas rentables,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,llamado pedir baje tono dice vinculacion partidista ningun personaje politico hoja vida sido revisada derecho reves,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,EcuadorALasUrnas GracielaMoraEc podemos rendirnos FMI prestamo entregar empresas,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,EcuadorALasUrnas GracielaMoraEc postula ocupar puesto CPCCS Escuchemos propuestas,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,EcuadorALasUrnas GracielaMoraEc pueblo mandante soberano puede exigir respuestas,2019-02-20
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Ahora mas nunca pueblo organizado informado movilizado Guayaquil junto trabajadores CNT defendiendo derecho trabajo privatizaciones,2019-02-21
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Consejo Nacional Electoral debe realizar escrutinio CPCCS papeletas seccionales tratarse eleccion autoridades nacionales entidad mas importante Funcion Transparencia proximos dias entregare solicitud formal,2019-02-21
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Hoy tendre agrado visitar ciudad mas dulce Ecuador querida Milagro provincia Guayas Comparto agenda actividades FelizJueves,2019-02-21
Graciela Viviana,Mora Ramirez,GracielaMoraEc,grato compartir lideres urbanos mujeres Guayaquil propuestas recuperar poder ciudadano nadie confunda solo juntos llegaremos CPCCS iPueblo organizado informado movilizado,2019-02-21
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Hoy comparto propuestas gente Manabi,2019-02-22
Graciela Viviana,Mora Ramirez,GracielaMoraEc,punto culminar extensa productiva jornada visitas Carmen invencible Pedernales Portoviejo entranable provincia Manabi Manana estare Chone conversando gente prensa promoviendo participacion ciudadanos,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,GracielaMoraEc Casillero 8,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,wilfridolaz OlindoParticipa davalos2019 GracielaMoraEc VickyDesintonio MashiRafael c espinozaec darse cuenta pueblo ecuatoriano va votar candidatos CPCCS quieren eliminar toda sinverguenceria realizada CPCCS T ahora estan tramando hacer creer encuestas mentirosas personas van votar segun ocurrir anula,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,voto GracielaMoraEc detenga,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,wilfridolaz OlindoParticipa davalos2019 GracielaMoraEc VickyDesintonio MashiRafael c espinozaec Cuidado CNE puesto Trujillo cumple ultimo capricho elecciones declara nulas eleccion CPCCS preparacion previa escenario,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Quieren marcar tendencia voto NULO Medardo Oleas sugiere grupo candidatos pretenden tomarse CPCCS Tan subjetivo mala fe criterio OlindoParticipa davalos2019 GracielaMoraEc VickyDesintonio MashiRafael c espinozaec,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Mensaje trabajadores maltratados provincia Oro,2019-02-23
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Agradezco corazon respaldo sector minero artesanal dialogue hoy Arenales parroquia Crucita Manabi especial Roque Delgado representante,2019-02-24
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Evaluar acciones Consejo Transitorio apoyar trabajadores ciudadanos lucha privatizaciones empresas publicas dos propuestas candidata CPCCS definitivo,2019-02-24
Graciela Viviana,Mora Ramirez,GracielaMoraEc,tercer eje plan trabajo derechos migrantes ecuatorianos salieron oleadas tras crisis bancaria ano 1999 deben ser incluidos toma decisiones Ecuador debe haber ciudadanos primera segunda,2019-02-24
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Manabi recibi respaldo ciudadanos Aqui representante construccion civil pescadores artesanales Solo participacion ciudadanos lograra cambios necesita pais iPueblo organizado informado movilizado,2019-02-25
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Rechazamos pretensiones rifar mejor postor ciertos intereses creados bienes publicos Respaldo todas iniciativas ciudadanas oponen privatizaciones,2019-02-25
Graciela Viviana,Mora Ramirez,GracielaMoraEc,solicitado formalmente presidenta Consejo Nacional Electoral DianaAtamaint escrutinio consejeros CPCCS realice autoridades seccionales tratarse eleccion unipersonal,2019-02-26
Graciela Viviana,Mora Ramirez,GracielaMoraEc,solicitado formalmente presidenta Consejo Nacional Electoral DianaAtamaint escrutinio consejeros CPCCS realice autoridades seccionales tratarse eleccion unipersonal lado derecho razon,2019-02-26
Graciela Viviana,Mora Ramirez,GracielaMoraEc,art 105 Constitucion establece ciudadanos goce derechos politicos podran revocar autoridades eleccion popular Acompanamos hermanos migrantes iniciativa planteada ayer CNE,2019-02-27
Graciela Viviana,Mora Ramirez,GracielaMoraEc,democracia debe vaiven indecisiones senor Guillermo Lasso hace ano promovio entusiasmo siete veces Si ahora abanderado campana voto nulo voluntad popular debe sujeta capricho banquero,2019-02-27
Graciela Viviana,Mora Ramirez,GracielaMoraEc,Organizacion Americanos OEA oficial traves gerardodeicaza atendido preocupacion respecto necesidad garantice elecciones transparentes limpias Mision Observadores pedido reunirse candidatos CPCCS definitivo,2019-02-27
Graciela Viviana,Mora Ramirez,GracielaMoraEc,jueves 28 febrero estare programa Contacto Directo ecuavisa exponiendo propuestas GracielaEsPueblo,2019-02-28
