nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Carlos,Sevilla,SevilaCarlos,Ponte camisetar ciudad cuidemos junto Patrimonio CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-17
Carlos,Sevilla,SevilaCarlos,ir recuperar organizacion barrial hacer ciudadequipo SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-17
Carlos,Sevilla,SevilaCarlos,cultura vial via serar seguro si trabajar ciudadequipo mas accidente via SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-18
Carlos,Sevilla,SevilaCarlos,ir gobernar sector gobernaremo CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-19
Carlos,Sevilla,SevilaCarlos,ayuda sumar voluntad lograremos construir ciudad moderno desear SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-19
Carlos,Sevilla,SevilaCarlos,conociendoalcandidatir alcaldiaquito continuacion propuesto SevilaCarlos Decision2019,2019-02-23
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Quito ciudad oportunidad Juntos poder generar bienestar calidad vida SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-19
Carlos,Sevilla,SevilaCarlos,ciudadequipo agendir actividad llevar cabo ProfeSevilla manán SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-20
Carlos,Sevilla,SevilaCarlos,ciudadequipo creer juventud ir apoyar dotandol herramienta necesario poder sacar adelante emprendimiento SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-20
Carlos,Sevilla,SevilaCarlos,Juntos trabajar ciudadequipo lograremos construir ciudad moderno desear ciudad SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-20
Carlos,Sevilla,SevilaCarlos,CiudadEquipo presentamos agenda ProfeSevilla manán jueves SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-21
Carlos,Sevilla,SevilaCarlos,CiudadEquipo capacitacion fundamental SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-21
Carlos,Sevilla,SevilaCarlos,dedicacion paciencia constancia hacer ser sumamente especial Feliz Dia Medico Ecuatoriano CiudadEquipo LibertadEsPueblo lista9,2019-02-21
Carlos,Sevilla,SevilaCarlos,ciudadequipo agendir actividad llevar cabo ProfeSevilla manán SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-22
Carlos,Sevilla,SevilaCarlos,CiudadEquipo Quito trabajaremos pensar bienestar SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-22
Carlos,Sevilla,SevilaCarlos,ciudadequipo ir trabajar movilidad eficiente incluyente respetuoso SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-22
Carlos,Sevilla,SevilaCarlos,Ponte camisetar ciudad hacer junto CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-23
Carlos,Sevilla,SevilaCarlos,ciudadequipo ir trabajar garantizar seguridad peatones SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-23
Carlos,Sevilla,SevilaCarlos,Ponte camisetar ciudad hacer junto CiudadEquipo SevillaAlcaldeUIO LibertadEsPueblo lista9,2019-02-23
