nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
César,Montufar,CesarMontufar51,recorrido Distrito Metropolitano brindar momento riqueza intensidad humano incomparabl ObrasSinCorrupcion,2019-02-17
César,Montufar,CesarMontufar51,plan trabajo hacer escuchar quiteno sector pagina formar pensar familia gremio colegio profesional equipo gran experiencia diseno plan 5 eje 20 politica publica 5 obra emblematica,2019-02-18
César,Montufar,CesarMontufar51,propaganda electoral fabricado tetrapak reutilizado vez termine campán comprometer retirar todo propaganda enviar él centro acopio,2019-02-18
César,Montufar,CesarMontufar51,manán madrugamo redondel Ciclista zón muchisimo trafico hora pico presentar propuesta junto CarrionQuinde EugenioCampove1 Monica Armendariz,2019-02-18
César,Montufar,CesarMontufar51,Manana 10h30 entregare Fiscal General documento probar Odebrecht realacer pago ilegal funcionario municipal construccion Metro actual Administracion deber ser investigar Quito recuperar recurso arrebatado,2019-02-18
César,Montufar,CesarMontufar51,noche compartir Union Ligas Independientes sur Quito,2019-02-19
César,Montufar,CesarMontufar51,pierda entrevista diar hoy 9y30am ObrasSinCorrupcion,2019-02-19
César,Montufar,CesarMontufar51,entregado Fiscalia General documento probar pago ilegal construccion Metro Quito Insto prensa ecuatoriano seguir cerca investigacion Quito debera recuperar recurso arrebatado,2019-02-19
César,Montufar,CesarMontufar51,entregado Fiscalia General documento probar pago ilegal construccion Metro Quito Insto prensa ecuatoriano seguir cerca investigacion Quito debera recuperar recurso arrebatado,2019-02-19
César,Montufar,CesarMontufar51,joven tambien querer cambio apoyar consigna ObrasSinCorrupcion,2019-02-19
César,Montufar,CesarMontufar51,1 2 Odebrecht creer sistema realizar pago ilegal denominado drousys primero vez aparecer prueba corrupcion contrato Metro Quito Fiscalia deber reabrir investigacion Luchare recuperar recurso arrebato corrupcion,2019-02-20
César,Montufar,CesarMontufar51,2 2 obrassincorrupcion,2019-02-20
César,Montufar,CesarMontufar51,Paso paso ir recorrer Quito Creemos comunicacion personalizado escuchar ciudadano,2019-02-20
César,Montufar,CesarMontufar51,sector Mariscal foco inseguridad Quito embargo barrio mas tradicional turistico conversar dirigente propietario zona escuchar problematicar garantizarl solución,2019-02-20
César,Montufar,CesarMontufar51,manán realizar recorrido casual equipo elcomerciocom compartimos proyecto plan trabajo Quito gracias amigo,2019-02-20
César,Montufar,CesarMontufar51,dispuesto asumir liderazgo ciudad recuperar recurso arrebatar Quito LaPosta Ecu,2019-02-21
César,Montufar,CesarMontufar51,conversar vendedor informal sur Quito proponer crear plaza comercio formal evitar mercado ambulante crear mas plaza empleo,2019-02-21
César,Montufar,CesarMontufar51,gratificante apoyo quiteno,2019-02-21
César,Montufar,CesarMontufar51,orgulloso equipo ir cada dia paso firme hacia objetivo Concertacion P ObrasSinCorrupcion,2019-02-22
César,Montufar,CesarMontufar51,Acompananos recorrido parroquia rural,2019-02-23
César,Montufar,CesarMontufar51,plan trabajo hacer escuchar quiteno sector formar pensar familia gremio colegio profesional diseno plan 5 eje 20 politica publica 5 obra emblematica Encuentralo,2019-02-23
César,Montufar,CesarMontufar51,orgulloso equipo ir cada dia paso firme hacia objetivo graciar apoyo recorrido Nayon Cumbaya Tumbaco Checa ObrasSinCorrupcion,2019-02-24
César,Montufar,CesarMontufar51,detendra Llueva truenir relampaguee luchar ciudad merecemo gracias carino gente Calderon ObrasSinCorrupcion,2019-02-24
César,Montufar,CesarMontufar51,orgulloso contar Juan Manuel Carrion primero candidato concejal distrito norte decir decidar mojar él poncho entrar justa electoral servir ciudad ObrasSinCorrupcion CesarMontufarAlcalde,2019-02-24
César,Montufar,CesarMontufar51,General Moncayo Alcalde Quito jamas autorizare firmarar contrato injusto ciudad voy robar dejare robir quiteno usted si permitio ObrasSinCorrupcion CesarMontufarAlcalde,2019-02-25
César,Montufar,CesarMontufar51,jornada intenso entrevista Ricky Cueva Bruja caminar calle Centro Historico escuchar ciudadano cuanto carino expresar quiteno gracios apoyo defraudare ObrasSinCorrupcion,2019-02-25
César,Montufar,CesarMontufar51,acción concreto ir mejorar potenciar turismo ciudad externo interno Volveremos sentir yo orgulloso vivir capital mas lindo America ObrasSinCorrupcion CesarMontufarAlcalde,2019-02-25
César,Montufar,CesarMontufar51,ayer castigar luisevivanco pronto podrar ver entrevista completo,2019-02-26
César,Montufar,CesarMontufar51,Entrevista Cesar Montufar CesarMontufar51 ecuavisa Sintetiza Plan Gobierno sistema integrado seguridad integrar sistema transporte torno Metro mayor reciclaje mas eficiencia mas transparencia ObrasSinCorrupcion,2019-02-26
