nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
María Sol,Corral,mariasolcorral,mas dificil campana electoral puerto puerta caminar calle gente gustas gustas ahi empezar hacer candidato solo camina,2019-02-17
María Sol,Corral,mariasolcorral,entender infraccion cometido CNE vulneracion derechos spot problema agresion ofensa impedir candidata ejerzo libre derecho expresar él injusticia ElChancletazo,2019-02-17
María Sol,Corral,mariasolcorral,admirar mujer empoderada Gracias Fer Amparo YATOCA yopropongo mas estimu él deporte femenino futbol,2019-02-18
María Sol,Corral,mariasolcorral,si proponer cambio ciudad mas incluyente tolerante Ciudad pensado mujer si buen mujer buen nino abuelos joven buen,2019-02-18
María Sol,Corral,mariasolcorral,Benavides2019 Chelo94 CesarMontufar51 JCSolines abenavidesgol1,2019-02-18
María Sol,Corral,mariasolcorral,YATOCAUNCAMBIO,2019-02-18
María Sol,Corral,mariasolcorral,basura problema nuevo administracion deber responder eficiencia invito conocer propuesta QuitoEcologico recoleccion basura alternativa moderno YaTocaUnCambio MariaSolAlcadesa,2019-02-18
María Sol,Corral,mariasolcorral,YATOCAUNCAMBIO,2019-02-19
María Sol,Corral,mariasolcorral,estar repartir puesto juancaholguin CesarMontufar51 LuisaMaldonadoM YoApoyoAYunda JCSolines cnegobec,2019-02-19
María Sol,Corral,mariasolcorral,venir cuatro ano Mexico aprendido ciudad logrado mantener él primero turismo Latinoamerica ser primero Sudamerica CandidatosEnTurismo MariaSolAlcaldesa yatocaturismo,2019-02-19
María Sol,Corral,mariasolcorral,Consul Mexico aprendizaje permanente tema poder aprender Mexico promocion turistico ser lider gastronomia arte musico folclore Quito lugar maravilloso ir potenciar CandidatosEnTurismo MariaSolAlcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,via Gualo Puembo proyecto estudio listo costario 110 millón dolar podriar concesionar fijar tarifa peaje trayecto serio 13 minuto ayudario aliviar movilidad aeropuerto CandidatosEnTurismo MariaSolAlcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,actualmente promedio tasar promedio crecimiento turista 5 anual 2009 2015 Vicealcaldesa teniar crecimiento 10 paso resultado mala politica CandidatosEnTurismo MariaSolAlcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,Necesitamos conexion eficiente Aeropuerto hoy trayecto hacia Aeropuerto poder tardar 1 hora medio afectar directamente querer visitar Quito CandidatosEnTurismo MariaSolAlcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,concesion Centro Convenciones Bicentenario ir revisar dado 25 ano serio cuestionamiento sector CandidatosEnTurismo MariaSolAlcaldesa yatocaturismo,2019-02-20
María Sol,Corral,mariasolcorral,hoy Quito inmensamente aburrido propuesta revertir ampliar hora productividad 2 am comercio articulado ecu911 sello calidad aplicacion movil turismo CandidatosEnTurismo MariaSolAlcaldesa yatocaturismo,2019-02-20
