nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
María Sol,Corral,mariasolcorral,dificil campana electoral puerta puerta caminar calle gente gustas gustas empieza hacer candidato solo camina,2019-02-17
María Sol,Corral,mariasolcorral,entendemos infraccion cometida vulneracion derechos spot problema agresion ofensa impide candidata ejerza libre derecho expresarse injusticias,2019-02-17
María Sol,Corral,mariasolcorral,Admiro mujeres empoderadas Gracias Amparo estimulos deporte femenino futbol,2019-02-18
María Sol,Corral,mariasolcorral,propongo cambio ciudad incluyente tolerante Ciudad pensada mujeres buena mujeres buena ninos abuelos jovenes buena,2019-02-18
María Sol,Corral,mariasolcorral,,2019-02-18
María Sol,Corral,mariasolcorral,,2019-02-18
María Sol,Corral,mariasolcorral,basura problema nueva administracion debe responder eficiencia invito conocer propuestas recoleccion basura alternativa moderna,2019-02-18
María Sol,Corral,mariasolcorral,,2019-02-19
María Sol,Corral,mariasolcorral,estan repartiendo puestos,2019-02-19
María Sol,Corral,mariasolcorral,Vengo cuatro anos Mexico aprendido ciudad logrado mantenerse primera turismo Latinoamerica primeros Sudamerica,2019-02-19
María Sol,Corral,mariasolcorral,Consul Mexico aprendizaje permanente tema podemos aprender Mexico promocion turistica lider gastronomia arte musica folclore Quito lugares maravillosos vamos potenciar,2019-02-20
María Sol,Corral,mariasolcorral,Gualo Puembo proyecto estudios listos costaria millones dolares podriamos concesionar fijar tarifa peaje trayecto seria minutos ayudaria aliviar movilidad aeropuerto,2019-02-20
María Sol,Corral,mariasolcorral,Actualmente promedio tasa promedio crecimiento turistas anual 2009 2015 Vicealcaldesa teniamos crecimiento paso resultado malas politicas,2019-02-20
María Sol,Corral,mariasolcorral,Necesitamos conexion eficiente Aeropuerto trayecto hacia Aeropuerto puede tardar hora media afecta directamente quieren visitar Quito,2019-02-20
María Sol,Corral,mariasolcorral,concesion Centro Convenciones Bicentenario revisar dado anos serios cuestionamientos sector,2019-02-20
María Sol,Corral,mariasolcorral,Quito inmensamente aburrido propuestas revertir ampliar hora productividad comercios articulados ECU911 sello calidad aplicacion movil turismo,2019-02-20
María Sol,Corral,mariasolcorral,expresidenta Comision Presupuesto entiendo perfectamente funcionamiento Municipio Haremos presupuestos justos administrar recursos medio escasez,2019-02-20
María Sol,Corral,mariasolcorral,,2019-02-20
María Sol,Corral,mariasolcorral,Quito inmensamente aburrido propuestas revertir ampliar hora productividad comercios articulados ECU911 sello calidad aplicacion movil turismo,2019-02-21
María Sol,Corral,mariasolcorral,,2019-02-21
María Sol,Corral,mariasolcorral,Dice Maria luchas propiedad nadie cada nadie derecho descalificarnos tratarnos ofensivamente especialmente mujeres transitado espacios duros mujer,2019-02-21
María Sol,Corral,mariasolcorral,candidata Alcaldia ofrece extender horario comercios ampliar productividad dentro ciudad,2019-02-21
María Sol,Corral,mariasolcorral,Carta abierta Nessa Teran,2019-02-22
María Sol,Corral,mariasolcorral,FEMINISMO MACHISMO,2019-02-23
María Sol,Corral,mariasolcorral,JUVENTUD PEOR alcaldia jovenes tendran siempre lugar preferencial,2019-02-23
María Sol,Corral,mariasolcorral,Iniciamos semana programa pude exponer propuesta tercera edad cuidad humana UnCambio,2019-02-25
María Sol,Corral,mariasolcorral,PROBEMOS SABEMOS HACER,2019-02-25
María Sol,Corral,mariasolcorral,problematica movilidad ejes importantes tratar nueva administracion Empezamos debate,2019-02-27
María Sol,Corral,mariasolcorral,Disenaremos sistema transporte multimodal sustentable sostenible megaviclovia 29km Carcelen Quitumbe nuevos corredores sistema inteligente semaforizacion,2019-02-27
María Sol,Corral,mariasolcorral,problematica movilidad ejes importantes tratar nueva administracion Empezamos debate,2019-02-27
