nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Paola,Vintimilla,PaolaVintimilla,Manana Quito candidata alcaldia espero Fridays Quicentro,2019-02-17
Paola,Vintimilla,PaolaVintimilla,Paola Vintimilla camino Alcaldia Quito Conoce,2019-02-18
Paola,Vintimilla,PaolaVintimilla,barrio Pablo Arturo Suarez norte Quito compartimos gran manana vecinos sector Realizamos minga comunitaria calles encuentran Vamos seguir llegando quieren llegar,2019-02-19
Paola,Vintimilla,PaolaVintimilla,junto compartimos grupo lideresas sociales barriales centro Quito todas coincidimos hora Alcaldia hermosa ciudad encabezada mujeres,2019-02-20
Paola,Vintimilla,PaolaVintimilla,gusto conversar lideresas trabajadoras confirman necesidad cambio saben momento cambiar forma gobernar mujer Alcaldia,2019-02-20
Paola,Vintimilla,PaolaVintimilla,pocos minutos estare radio comunitaria 14h15 Jose Luis Castillo conversando plan trabajo Quito,2019-02-20
Paola,Vintimilla,PaolaVintimilla,unimos comunidad Municipio Ministerio Interior vamos combatir delincuentes Debemos volver casas barriales mantener buen bien iluminados lugares publicos trabajar conjunto Policia Nacional,2019-02-20
Paola,Vintimilla,PaolaVintimilla,primero haremos lleguemos Alcaldia auditoria procesos salgan todas personas necesarias entorpecido accionar Municipio,2019-02-20
Paola,Vintimilla,PaolaVintimilla,comparto agenda medios jueves temprano estare dialogo conocer propuesta transformar Quito 08h30 invito conocer chicos,2019-02-21
Paola,Vintimilla,PaolaVintimilla,Recorrimos junto candidata Distrito Centro Debemos mantener espacio publico seguro haga buen mismo ademas potenciar turismo motor indispensable desarrollo Quito,2019-02-21
Paola,Vintimilla,PaolaVintimilla,junto querida amiga manana,2019-02-21
Paola,Vintimilla,PaolaVintimilla,Gracias interesante,2019-02-22
Paola,Vintimilla,PaolaVintimilla,Jajajajajaja,2019-02-22
Paola,Vintimilla,PaolaVintimilla,pocos dias decide futuro Quito requiere buenas intenciones anos alcaldias perversas destruido ciudad trata solo cambiar gobierno forma gobernar conmigo cambio viene,2019-02-22
Paola,Vintimilla,PaolaVintimilla,pocos dias decide futuro Quito requiere buenas intenciones anos alcaldias perversas destruido ciudad trata solo cambiar gobierno forma gobernar conmigo cambio viene,2019-02-22
Paola,Vintimilla,PaolaVintimilla,barrio Kennedy norte Quito quitenos demostraron preocupacion sucia ciudad cambiar modelo gestion EMASEO haremos licitacion transparente empresa privada encargue administracion,2019-02-22
Paola,Vintimilla,PaolaVintimilla,comerciantes Mercado Chiriyacu comprometieron votar cambio hora turismo vuelva poner vision mercados debemos convertirlos punto atractivo turistas nacionales extranjeros,2019-02-22
Paola,Vintimilla,PaolaVintimilla,quebradas ciudad cambio empieza usemos botadero lugares naturales rodean queremos recuperar belleza Quito aprendamos cuidar,2019-02-22
Paola,Vintimilla,PaolaVintimilla,proposito viaje capital darle respaldo considero gran corazon servicio Francisco Quito,2019-02-23
Paola,Vintimilla,PaolaVintimilla,Gracias apoyo,2019-02-23
Paola,Vintimilla,PaolaVintimilla,Gran jornada recorrimos junto Jose Moran carino gente cada mirada apreton manos recibe SERVIR PASION,2019-02-23
Paola,Vintimilla,PaolaVintimilla,parroquia Calderon parroquias rurales Quito barrios sido olvidados crear mejores vias acceso regularizar terrenos luchar delincuencia compromiso juntos vamos cumplir,2019-02-23
Paola,Vintimilla,PaolaVintimilla,dictador quema ayuda humanitaria llegaba pueblo muere hambre dictadura Maduro debe caer Venezuela queremos libre total apoyo pueblo venezolano,2019-02-23
Paola,Vintimilla,PaolaVintimilla,nadie haga cumplir ordenanzas Quito necesita orden claro botada,2019-02-24
Paola,Vintimilla,PaolaVintimilla,VAMOS CAMBIAR FORMA GOBERNAR CIUDAD,2019-02-25
Paola,Vintimilla,PaolaVintimilla,Iniciamos semana dando conocer plan trabajo diferentes medios comunicacion invito seguir entrevistas,2019-02-25
Paola,Vintimilla,PaolaVintimilla,Excelente inicio semana empezamos jornada,2019-02-25
Paola,Vintimilla,PaolaVintimilla,Queremos Quito horas vida nocturna solo mejoramos turismo empleo sino tambien seguridad ciudad Ahora,2019-02-25
Paola,Vintimilla,PaolaVintimilla,Cambiaremos forma gobernar varios anos administradores solo pensaron amigos parientes aumentar burocracia municipal repartirse poder servir millones quitenos,2019-02-25
Paola,Vintimilla,PaolaVintimilla,fortalecer transporte publico municipal Trabajaremos extension trole Carapungo beneficiara miles quitenos,2019-02-25
Paola,Vintimilla,PaolaVintimilla,Capacitaremos agentes control cuidar ciudadania Reconstruiremos iluminaremos parques plazas familias delincuentes,2019-02-25
Paola,Vintimilla,PaolaVintimilla,Vamos cambiar forma gobernar Liberare recursos invertirlos obras necesitan familias quitenos VIDEO COMPLETO,2019-02-25
