nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Juan Carlos,Holguin,juancaholguin,! Buen domingo ! pocos minutos sere entrevistado @ pamozaec @ LaRadioRedonda . ! Acompanenme ! https : //t.co/MWi5j6KF8K,2019-02-17
Juan Carlos,Holguin,juancaholguin,@ Pattycopal @ JCSolines @ CesarMontufar51 Tecnologia derogacion normativa permite terrible contaminacion auditiva . Consta plan gobierno https : //t.co/O9phKbcOlH .,2019-02-17
Juan Carlos,Holguin,juancaholguin,@ Pattycopal @ tebosamaniego @ JCSolines @ CesarMontufar51 emprendedores urbanos : corredores comerciales emergentes programa Marcha @ pnud lograr 3 anos condiciones dignas trabajo calles esten orden .,2019-02-17
Juan Carlos,Holguin,juancaholguin,# Bota junto @ juancaholguin equipo # Cambio . # InnovacionyExperiencia @ federicoperezi # Creo21 https : //t.co/MydYgjPS8E,2019-02-17
Juan Carlos,Holguin,juancaholguin,"Acompanenme manana @ 24horasUIO @ gisella_bayona . propuestas recuperar Quito , innovacion experiencia . # innovarparacambiar",2019-02-18
Juan Carlos,Holguin,juancaholguin,"Buenos dias , pocos minutos empezamos entrevista @ gisella_bayona @ teleamazonasec . Si quieres seguirla online puedes hacerlo aqui https : //t.co/uuWGnL6Cph https : //t.co/y3rZoCQZ5u",2019-02-19
Juan Carlos,Holguin,juancaholguin,"Vamos optimizar presupuesto municipal , eliminando duplicidad funciones instituciones , reduciendo numero asesores retirando puestos politicos entregaron administracion . https : //t.co/HXexzvxHWX",2019-02-19
Juan Carlos,Holguin,juancaholguin,empleo eje principal propuesta . generar empleo ciudad crezca . Proponemos ordenar ventas creando corredores comerciales emprendedores urbanos puedan trabajar . https : //t.co/Z1CtEAp2T1,2019-02-19
Juan Carlos,Holguin,juancaholguin,turismo eje importante desarrollo productivo ciudad . Hoy presentamos propuesta evento organizado sector turistico ciudad . # CandidatosyTurismo @ CAPTURPICHINCHA https : //t.co/smEaTd0Bz3,2019-02-19
Juan Carlos,Holguin,juancaholguin,"Buenos dias , hoy 8am hablamos @ fherrerarauz llevaremos Quito futuro , presentamos propuestas @ ecuainm . Sigan entrevista https : //t.co/9mM0TirRV3 https : //t.co/Uk0diHV66N",2019-02-20
Juan Carlos,Holguin,juancaholguin,"mas preocupante mafia sindical taxismo , secuestra autoridades . Si candidatos dan cuenta corrupcion cupos tecnologia , Quito seguira crisis . necesario , sr. @ PacoMoncayo , acepte debatir @ 4pelagatos4 https : //t.co/IYEJzM284G",2019-02-20
Juan Carlos,Holguin,juancaholguin,Gracias @ juancaholguin @ Polificcion escuchar Floresta barrio ciudadanos habitantes Quito ordenanza especial ejemplo varios hermanos https : //t.co/lX52tiwvO1,2019-02-21
Juan Carlos,Holguin,juancaholguin,"Aqui agenda entrevistas viernes 22 febrero 2019 . Escuchanos @ majestadfm , partir 6h00 , @ fabriciovelav @ alexismoncayo . @ juancaholguin @ juankacastillog @ MarlonGuevaraEC @ GadBanos https : //t.co/BSJgVGrqww",2019-02-22
Juan Carlos,Holguin,juancaholguin,"@ javier_masson @ PVelasquezEc @ PacoMoncayo @ 4pelagatos4 Hola Javier , centro democracia debatir propuestas campana . contrastar .",2019-02-22
Juan Carlos,Holguin,juancaholguin,"traves # DemocraciaParticipativa queremos promover ciudadania mas comprometida cambio social , ciudadania informa , organiza hace cosas sucedan. # CabildoCivico # Quito @ juancaholguin @ PacoMoncayo @ LoroHomero @ CesarMontufar51 @ PaolaVintimilla https : //t.co/jqholfWq3N",2019-02-25
Juan Carlos,Holguin,juancaholguin,@ chirito @ aiarconsalvador @ mariasolcorral ver espacios . espacios estan reservados . problema funcionario califica discrecionalidad estrategia comunicacional .,2019-02-25
Juan Carlos,Holguin,juancaholguin,Empezamos Conversatorio `` Patrimonio Natural Quito : retos oportunidades '' organizado Acuerdo Ecuador https : //t.co/JXU2IjqNCr,2019-02-25
Juan Carlos,Holguin,juancaholguin,"tema perros callejeros debe ser solucionado politica salud publica . Proponemos nuevo censo , implementacion chip mascotas 5 anos puedan comercializar perros raza impulsar adopcion . https : //t.co/rWI3VAh3sJ",2019-02-26
Juan Carlos,Holguin,juancaholguin,@ ginely1234 @ JofreCalderon @ santiguarderas @ MSaludEcuador @ humbertoalazar @ fabovillamar @ anibal_carrera @ QuitoPress @ SFQuito @ MemesquitoEc @ LoroHomero propuesta aborda casi puntos . Pueden encontrar plan https : //t.co/O9phKbcOlH,2019-02-26
Juan Carlos,Holguin,juancaholguin,Arrancamos debate `` Dialogos academicos candidatos alcaldes '' . Gracias @ USFQ_Ecuador invitacion . Pueden seguir intervencion aqui https : //t.co/4uIpxBwXrQ https : //t.co/UeiLgoeuzV,2019-02-27
Juan Carlos,Holguin,juancaholguin,@ luisesgo https : //t.co/L2l5W553VU,2019-02-27
Juan Carlos,Holguin,juancaholguin,"@ imJuPiTeer @ CynthiaViteri6 @ jimmyjairala @ PacoMoncayo @ PabloDavalos63 @ fcojimenez21 Blockchain contratacion publica tramitologia . Big data , responsabilidad proteccion datos , movilidad , salud obras publicas ( ) . Transparencia=datos abiertos . https : //t.co/O9phKbcOlH",2019-03-01
Juan Carlos,Holguin,juancaholguin,! inseguridad vivimos ! solidaridad @ mariasolcorral lamentable hecho .,2019-03-01
Juan Carlos,Holguin,juancaholguin,Debatir presentar propuestas concretas deber candidatos . Sigan # DebatePorQuito organizado @ ec_decide aqui : https : //t.co/7MlFj30SC4 https : //t.co/EjvKDeJ71W,2019-03-08
Juan Carlos,Holguin,juancaholguin,"Buenos dias , hoy estare @ mrivadeneira conversando propuestas vision Quito . Escuchen entrevista 7 https : //t.co/9Z3XLc5XEZ",2019-03-08
Juan Carlos,Holguin,juancaholguin,"dias despierto certeza Quito puede ser mejor ciudad , hijos nietos . supuesto puede , puede hacer mas . mayor ilusion , Quito asi # Quitotambienpuedehacerlo # InnovarParaCambiar https : //t.co/kLVfIgFwNz",2019-03-09
Juan Carlos,Holguin,juancaholguin,"@ MauricioRodasEC : Hago publica carta alertar ud . pretende , constituiria burla autoridades ciudadania , ademas poner riesgo seguridad juridica contrato Metro . @ Lenin @ PacoMoncayo @ CesarMontufar51 https : //t.co/rQXodnslV2",2019-03-12
Juan Carlos,Holguin,juancaholguin,"@ MauricioRodasEC : Hago publica carta alertar ud . pretende , constituiria burla autoridades ciudadania , ademas poner riesgo seguridad juridica contrato Metro . @ Lenin @ PacoMoncayo @ CesarMontufar51 https : //t.co/rQXodnslV2",2019-03-12
Juan Carlos,Holguin,juancaholguin,"@ MauricioRodasEC : Hago publica carta alertar ud . pretende , constituiria burla autoridades ciudadania , ademas poner riesgo seguridad juridica contrato Metro . @ Lenin @ PacoMoncayo @ CesarMontufar51 https : //t.co/rQXodnslV2",2019-03-12
Juan Carlos,Holguin,juancaholguin,"@ CrespoCris @ Polificcion @ mariaantonia888 Hola Cristina . Recuerdo pregunta conteste respeto . Pedias retire candidatura . Respeto preferencia electoral , pues trata democracia . creo mejor proyecto ciudad , mejor equipo mas responsable plan gobierno . https : //t.co/qkZM0rayg4",2019-03-12
Juan Carlos,Holguin,juancaholguin,@ skueffner @ izurietavarea : Plan Integral Soterramiento . Puedes revisarlo plan gobierno : https : //t.co/O9phKbcOlH https : //t.co/7JQ2jRv7rq,2019-03-12
Juan Carlos,Holguin,juancaholguin,@ rosamariatorres Apreciada @ rosamariatorres : gracias ponernos tema cultura civica eje central cambio necesita Quito . Adjunto respuesta . https : //t.co/Rlr4XGGmcA,2019-03-13
Juan Carlos,Holguin,juancaholguin,Candidato @ juancaholguin intervencion Desayuno Conversatorio candidatos Alcaldia organizado FECABE . https : //t.co/f95a9SS647,2019-03-13
Juan Carlos,Holguin,juancaholguin,"@ PacoMoncayo @ aprimerahora_ec Gral : Quito crisis . @ SevillaRoque hizo mejores alcaldias . Dejo mejor sistema transporte publico region . habia empezado proyecto CHQ proceso centros comerciales ahorro , mas tenas visionarios . hablar verdad",2019-03-13
Juan Carlos,Holguin,juancaholguin,"@ LoroHomero @ teleamazonasec Estimados amigos @ teleamazonasec , gustaria `` reemplazar '' General debate . Solo asi podran dar respuestas ciudad , frente .",2019-03-14
Juan Carlos,Holguin,juancaholguin,Buenos dias ! Ultimo viernes campana ! Empezamos entrevistas . invito escucharlas https : //t.co/klalLtHmRj,2019-03-15
Juan Carlos,Holguin,juancaholguin,"@ efrapaez @ CesarMontufar51 dicho claramente : eliminar ciertas patentes emprendimiento trabajo paz . puede meter mano bolsillo profesionales trabajan honestamente , pagar sueldos pipones .",2019-03-15
Juan Carlos,Holguin,juancaholguin,"@ TARN2018 @ efrapaez @ CesarMontufar51 Aqui extorsiona profesionales , emprendedores , ciudadanos general . Propongo ciudad menos impuestos , menos tramites mas dinero bolsillos burocracia . Quito emprendedores . Mira contestacion GK . https : //t.co/aSF6WOEr17",2019-03-15
Juan Carlos,Holguin,juancaholguin,"@ ProfHoax__ @ CesarMontufar51 pena errado criterio comparto , defina voto . Cesar buen hombre alegro voto . edad virtud debilidad . critican hecho ser joven . vision innovacion trata entender nuevas oportunidades",2019-03-15
Juan Carlos,Holguin,juancaholguin,@ ProfHoax__ @ CesarMontufar51 creo errado . Buena tarde .,2019-03-15
Juan Carlos,Holguin,juancaholguin,@ ProfHoax__ @ CesarMontufar51 Usted debe disculparse . hacemos .,2019-03-15
Juan Carlos,Holguin,juancaholguin,Hoy preguntaron `` encuestas '' . ! Falta ! ! vemos 24 marzo ! https : //t.co/BInAsYeMOQ,2019-03-15
Juan Carlos,Holguin,juancaholguin,@ JA_O_10 @ _carolanas_ @ aguilaroleradio @ friega_again2 @ ProfHoax__ @ CesarMontufar51 Muchas gracias apoyo ! Tomo confianza mucha responsabilidad ! ! !,2019-03-16
