nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Víctor Hugo,Erazo,victorhugoerazo,"Una refineria para sacar combustible de la basura, una universidad de Quito, una cooperativa de ahorro y credito de Quito, y la recuperacion del rio Machangara, son algunas de las propuestas de @victorhugoerazo , candidato a la Alcaldia de Quito 
#Elecciones2019EC https://t.co/KYADhydInC",2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,#MisPropuestas para #Quito #viables e #inclusivas. Basta de los mismos de siempre!  Este 24 de marzo #VotaConFE #VotaTodo10 #ErazoAlcaldeDeQuito https://t.co/jtE0Gjo81U,2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,"Este 24 de marzo acude a las #urnas con toda tu #FE, y cambiemos la #historia de nuestra #ciudad!  Por Quito #VOTATODO10 #ErazoAlcalde https://t.co/xVMOsWoRXH",2019-02-26
Víctor Hugo,Erazo,victorhugoerazo,"@GuayaquilQ, @xbuendia2019, @mariasolcorral, @PabloDavalos63, @CesarMontufar51, @AndresPasquel8, @EdgarJacomeT, @victorhugoerazo y @JCSolines en el dialogo con los candidatos a la alcaldia de #Quito https://t.co/r2MqAhUcos",2019-03-01
Víctor Hugo,Erazo,victorhugoerazo,VOTA TODO 10 #erazo https://t.co/PFkmv6uNSl,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,VOTA TODO 10 #erazo https://t.co/Aw9M206EHK,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,#erazo TODO 10 #FE10 FuerzaEC https://t.co/leJA5Q5FKa,2019-03-06
Víctor Hugo,Erazo,victorhugoerazo,El primer grupo de candidatos y candidatas que participaran en el #DebatePorQuito estara conformado por: @xbuendia2019 @abenavidesgol1 @mariasolcorral @LuisaMaldonadoM @EdgarJacomeT @AndresPasquel8 y @victorhugoerazo https://t.co/sTPAMzRNms,2019-03-12
Víctor Hugo,Erazo,victorhugoerazo,Ya tenemos alcalde https://t.co/qyXXuToBNm,2019-03-16
Víctor Hugo,Erazo,victorhugoerazo,#ErazoAlcade https://t.co/IaZvrZINjU,2019-03-19
