nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Paola,Vintimilla,PaolaVintimilla,Manana CastigoDivino Quito PaolaVintimilla candidata 6 alcaldia esperar 20 00 Fridays quicentro,2019-02-17
Paola,Vintimilla,PaolaVintimilla,Paola Vintimilla camino Alcaldia Quito Conoce mas RevistaClave Clave86 BienesRaices DesarrolloUrbano CaridadVela PaolaVintimilla,2019-02-18
Paola,Vintimilla,PaolaVintimilla,barrio Pablo Arturo Suarez norte Quito compartir gran manana vecino sector Realizamos minguir comunitario calle encontrar mal ir seguir llegar querer llegar ElCambioVieneSioSi,2019-02-19
Paola,Vintimilla,PaolaVintimilla,hoy junto paolavintimilla compartir grupo lideresa social barrial centro sur Quito todo coincidir hora Alcaldia hermoso ciudad encabezado mujer CompromisoDeCambio EscucharParaServir,2019-02-20
Paola,Vintimilla,PaolaVintimilla,gusto conversar lideresa trabajador confirmar necesidad cambio saber momento cambiar forma gobernar mujer Alcaldia ElCambioVieneSioSi,2019-02-20
Paola,Vintimilla,PaolaVintimilla,poco minuto estare radio comunitario xyzradioec 14h15 radiosonorama Jose Luis Castillo conversar plan trabajo Quito,2019-02-20
Paola,Vintimilla,PaolaVintimilla,si unimos comunidad Municipio Ministerio Interior ir combatir delincuente deber volver casa barrial mantener buen bien iluminado lugar publico trabajar conjunto Policia Nacional xyzradioec,2019-02-20
Paola,Vintimilla,PaolaVintimilla,primero hacer lleguer Alcaldia auditorio proceso salgar todo persona necesario entorpecido accionar Municipio xyzradioec,2019-02-20
Paola,Vintimilla,PaolaVintimilla,comparto agenda medio jueves temprano estare panchitostereir dialogo dar conocer propuesta transformar Quito 08h30 invito conocer mas chico voyyvuelvo2018 RadioLatinaEc,2019-02-21
Paola,Vintimilla,PaolaVintimilla,Recorrimos CentroHistorico junto mariabelenquito candidato Distrito Centro Sur Debemos mantener espacio publico seguro hacer buen uso mismo adema potenciar turismo motor indispensable desarrollo Quito ElCambioVieneSioSi,2019-02-21
Paola,Vintimilla,PaolaVintimilla,voyyvuelvo2018 junto querido amigo PaolaVintimilla manana RadioLatinaEc KBurraska luisfvara SamyRivadeneira,2019-02-21
Paola,Vintimilla,PaolaVintimilla,gracias interesante,2019-02-22
Paola,Vintimilla,PaolaVintimilla,FannyZamudio1 PCEVALLOS juancaholguin ZULNELEA SofiaMerinoRiv Polificcion PacoMoncayo luisevivanco CesarMontufar51 LoroHomero fabovillamar 4pelagatos4 lahistoriaec 24horasuio comunidadquito1 Jajajajajaja,2019-02-22
Paola,Vintimilla,PaolaVintimilla,poco dia decidir futuro Quito requerir mas buena intención Mas 20 ano alcaldia perverso destruido ciudad tratar solo cambiar gobierno si formar gobernar yo cambio venir Si Si,2019-02-22
Paola,Vintimilla,PaolaVintimilla,poco dia decidir futuro Quito requerir mas buena intención Mas 20 ano alcaldia perverso destruido ciudad tratar solo cambiar gobierno si formar gobernar yo cambio venir Si Si,2019-02-22
Paola,Vintimilla,PaolaVintimilla,barrio Kennedy norte Quito quiteno demostrar preocupacion sucio ciudad cambiar modelo gestion EMASEO haremos licitacion transparente empresa privado encargar administracion,2019-02-22
Paola,Vintimilla,PaolaVintimilla,comerciante Mercado Chiriyacu comprometer votar cambio horo turismo volver poner vision mercado deber convertirlos punto atractivo turista nacional extranjero ElCambioVieneSioSi,2019-02-22
