nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Juan Carlos,Solines,JCSolines,comparto agenda entrevistas manana QuitoSeLevanta,2019-02-21
Juan Carlos,Solines,JCSolines,compromiso barrios trabajaremos juntos resolver problemas tambien mios Vamos poner orden ciudad QuitoSeLevanta JuntosPodemos SolinesAlcalde PodemosQuito,2019-02-22
Juan Carlos,Solines,JCSolines,invito escucharme QuitoSeLevanta PodemosQuito,2019-02-22
Juan Carlos,Solines,JCSolines,convencer electorado estrategias candidatos importantes desafio caso campana seriedad decirle gente muchas veces quiere escuchar propuesta reales Quito volver levantarse JCSolines,2019-02-22
Juan Carlos,Solines,JCSolines,debe volver ojos barrios parroquias rurales dejar mega obras grande viene camino metro Quito JCSolines Siga transmision vivo interactue LaNoticiaenSucesos,2019-02-22
Juan Carlos,Solines,JCSolines,sido acercamiento barrios verocha16 iniquidad enorme tale caso existen hogares utilizan velas barrios capital JCSolines LaNoticiaenSucesos,2019-02-22
Juan Carlos,Solines,JCSolines,compromiso barrios Trabajaremos juntos resolver problemas tambien mios Quito tolera mediocridad improvisacion QuitoSeLevanta JuntosPodemos QuitoNecesitaOrden LosBarriosPrimero,2019-02-24
Juan Carlos,Solines,JCSolines,invito sintonizar entrevistas JuntosPodemos,2019-02-25
Juan Carlos,Solines,JCSolines,invito sintonizar entrevistas QuitoSeLevanta JuntosPodemo,2019-02-26
Juan Carlos,Solines,JCSolines,Espero descansado feriado Avanzamos firmes campana invito visitar redes Facebook Instagram escuchar entrevistas manana QuitoSeLevanta JuntosPodemos,2019-03-06
Juan Carlos,Solines,JCSolines,Juan Carlos Solines candidato Alcaldia Quito Juntos Podemos LaPalabraSonorama JCSolines,2019-03-06
Juan Carlos,Solines,JCSolines,invito acompanen entrevistas QuitoSeLevanta JuntosPodemos,2019-03-07
Juan Carlos,Solines,JCSolines,diferencias atacar plantear temas importantes Quito gente Esperamos Paco Moncayo cara puede aspirar Alcalde huyendo debates digo frente trolls QuitoSeLevanta JuntosPodemos SolinesAlcalde,2019-03-07
Juan Carlos,Solines,JCSolines,invito manana sintonicen nuevo debate Corral Holguin Montufar Radio Quito mrivadeneira entrevista radiosonorama 15pm importante escuchen candidatos analicen perfiles experiencia ejerzan voto informado,2019-03-08
Juan Carlos,Solines,JCSolines,comparto entrevista manana fmmundo gran cdaponce abordamos muchas propuestas Alcaldia Quito VotaInformadoPorQuito JuntosPodemos,2019-03-08
Juan Carlos,Solines,JCSolines,martes 7y30 segmento Conoce Candidato seguimos hablando propuestas acompanaran LuisaMaldonadoM JCSolines preguntas 24horasUIO teleamazonasec,2019-03-12
Juan Carlos,Solines,JCSolines,Dialogo candidatos alcaldia Quito organizado FECABE Ecuador postulantes juancaholguin JCSolines PabloDavalos63,2019-03-14
Juan Carlos,Solines,JCSolines,Dialogo candidatos alcaldia Quito organizado FECABE Ecuador postulantes juancaholguin JCSolines PabloDavalos63,2019-03-14
Juan Carlos,Solines,JCSolines,esencia feminismo lucha igualdad dice JCSolines HablemosdeGenero,2019-03-15
