nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
María Sol,Corral,mariasolcorral,"Lo mas dificil de una campana electoral es el puerta a puerta, es caminar en la calle, es estar con la gente a la que le gustas y a la que no le gustas, ahi se empieza a hacer un candidato, solo cuando camina",2019-02-17
María Sol,Corral,mariasolcorral,"No entendemos la infraccion cometida ante el CNE?que vulneracion a los derechos tiene este spot?? donde esta el problema? ?donde esta la agresion o la ofensa, ?Donde?. Porque se impide que una candidata ejerza su libre derecho para expresarse ante las injusticias
#ElChancletazo https://t.co/vSVmcxnKZN",2019-02-17
María Sol,Corral,mariasolcorral,Admiro la mujeres empoderadas ! Gracias Fer y Amparo #YATOCA #YOPROPONGO mas estimulos para el deporte femenino sobre todo el futbol ,2019-02-18
María Sol,Corral,mariasolcorral,"Si! propongo un cambio, una ciudad mas incluyente y tolerante, una Ciudad pensada para mujeres, porque si es buena para mujeres, es buena para ninos, abuelos, jovenes, es buena para TODOS!!!  ",2019-02-18
María Sol,Corral,mariasolcorral,@Benavides2019 @Chelo94 @CesarMontufar51 @JCSolines @abenavidesgol1 ?,2019-02-18
María Sol,Corral,mariasolcorral,#YATOCAUNCAMBIO https://t.co/Ln6fy2u7U3,2019-02-18
María Sol,Corral,mariasolcorral,La basura es un problema que la nueva administracion debe responder con eficiencia. Te invito a conocer una de mis propuestas de un #QuitoEcologico con recoleccion de basura alternativa y moderna. #YaTocaUnCambio #MariaSolAlcadesa https://t.co/jul5i0hfn3,2019-02-18
María Sol,Corral,mariasolcorral,#YATOCAUNCAMBIO https://t.co/EMWsdRORWg,2019-02-19
María Sol,Corral,mariasolcorral,Ya se estan repartiendo los puestos? @juancaholguin @CesarMontufar51 @LuisaMaldonadoM @YoApoyoAYunda @JCSolines @cnegobec,2019-02-19
María Sol,Corral,mariasolcorral,"""Vengo de estar cuatro anos en Mexico y he aprendido como una ciudad ha logrado mantenerse como la primera en turismo en Latinoamerica. Nosotros tenemos que ser los primeros en Sudamerica"" #CandidatosEnTurismo #MariaSolAlcaldesa #YaTocaTurismo https://t.co/mb0tJeox9e",2019-02-19
María Sol,Corral,mariasolcorral,"""Como Consul en Mexico mi aprendizaje fue permanente. Un tema que podemos aprender de Mexico es la promocion turistica, ser lider en gastronomia, arte, musica, folclore. Quito tiene lugares maravillosos que vamos a potenciar"" #CandidatosEnTurismo #MariaSolAlcaldesa #YaTocaTurismo https://t.co/4JZe2DdwAr",2019-02-20
María Sol,Corral,mariasolcorral,"""La via Gualo-Puembo un proyecto con estudios listos, costaria 110 millones de dolares, lo podriamos concesionar y fijar una tarifa de peaje. El trayecto seria de 13 minutos y ayudaria a aliviar la movilidad el aeropuerto"" #CandidatosEnTurismo #MariaSolAlcaldesa #YaTocaTurismo https://t.co/1Osleha9i7",2019-02-20
María Sol,Corral,mariasolcorral,"""Actualmente el promedio de la tasa promedio de crecimiento de turistas es de 5% anual; pero de 2009 a 2015, cuando fui Vicealcaldesa, teniamos un crecimiento de 10%, ?que paso? Es el resultado de las malas politicas"" #CandidatosEnTurismo #MariaSolAlcaldesa #YaTocaTurismo https://t.co/bmIkIRF5bN",2019-02-20
María Sol,Corral,mariasolcorral,"""Necesitamos una conexion eficiente desde la Aeropuerto. Hoy el trayecto hacia el Aeropuerto puede tardar hasta 1 hora y media. Eso afecta directamente a quienes quieren visitar Quito"" #CandidatosEnTurismo #MariaSolAlcaldesa #YaTocaTurismo https://t.co/LQUtXSBr3M",2019-02-20
María Sol,Corral,mariasolcorral,"""La concesion del Centro de Convenciones Bicentenario es algo que voy revisar. Se ha dado por 25 anos, con serios cuestionamientos de todo el sector"". #CandidatosEnTurismo #MariaSolAlcaldesa #YaTocaTurismo https://t.co/DFZszhyHmR",2019-02-20
María Sol,Corral,mariasolcorral,"""Hoy Quito es inmensamente aburrido. Una de mis propuestas para revertir esto, es ampliar nuestra hora de productividad hasta las 2 am, con comercios articulados al ECU911, sello de calidad y aplicacion movil para turismo"" #CandidatosEnTurismo #MariaSolAlcaldesa #YaTocaTurismo https://t.co/UToib88zu3",2019-02-20
María Sol,Corral,mariasolcorral,"""Como expresidenta de la Comision de Presupuesto, entiendo perfectamente el funcionamiento del Municipio. Haremos presupuestos justos, se administrar los recursos en medio de la escasez"" #CandidatosEnTurismo #MariaSolAlcaldesa #YaTocaTurismo https://t.co/W8J1QRgvb3",2019-02-20
María Sol,Corral,mariasolcorral,https://t.co/gh7BKHm2GN,2019-02-20
María Sol,Corral,mariasolcorral,"""Hoy Quito es inmensamente aburrido. Una de mis propuestas para revertir esto, es ampliar nuestra hora de productividad hasta las 2 am, con comercios articulados al ECU911, sello de calidad y aplicacion movil para turismo"" #CandidatosEnTurismo #MariaSolAlcaldesa #YaTocaTurismo https://t.co/UToib88zu3",2019-02-21
María Sol,Corral,mariasolcorral, https://t.co/Z0FvoTQkYD,2019-02-21
María Sol,Corral,mariasolcorral,"Dice Maria Sol: Las luchas no son propiedad de nadie, son de cada una de nosotras, nadie tiene el derecho a descalificarnos, ni a tratarnos tan ofensivamente, especialmente cuando somos mujeres que ya hemos transitado los espacios mas duros de ser mujer ....",2019-02-21
María Sol,Corral,mariasolcorral,La candidata a la Alcaldia de #Quito @mariasolcorral ofrece extender el horario de comercios hasta las 2:00 AM para ampliar la productividad dentro de la ciudad #ElNacionalConLosCandidatos2019 #Noticias #Ecuador https://t.co/zr57apvhQX,2019-02-21
María Sol,Corral,mariasolcorral,Carta abierta a Nessa Teran. @nessateran https://t.co/JpD3FOhZdo,2019-02-22
María Sol,Corral,mariasolcorral,FEMINISMO O MACHISMO?  https://t.co/i66iHV0jj9,2019-02-23
