nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Juan Carlos,Solines,JCSolines,comparto agendir entrevista diar manana quitoselevanto,2019-02-21
Juan Carlos,Solines,JCSolines,compromiso barrio trabajar junto resolver problema tambien mio ir poner orden ciudad quitoselevanta juntospod solinesalcalde podemosquito,2019-02-22
Juan Carlos,Solines,JCSolines,invitar escuchar yo quitoselevanta podemosquito,2019-02-22
Juan Carlos,Solines,JCSolines,convencer electorar estrategia candidato importante desafio caso campán seriedad decir él gente mucho vez querer escuchar propuesta real Quito volver levantar él jcsolín,2019-02-22
Juan Carlos,Solines,JCSolines,deber volver ojo barrio parroquia rural dejar mega obra mas grande venir camino metro Quito JCSolines Siga transmision vivo interactuir lanoticiaensuceso,2019-02-22
Juan Carlos,Solines,JCSolines,ser acercamiento barrio verocha16 iniquidad enorme tale d caso existir hogar utilizar vela barrio capital JCSolines lanoticiaensuceso,2019-02-22
Juan Carlos,Solines,JCSolines,compromiso barrio trabajarer junto resolver problema tambien mio Quito tolerar mas mediocridad improvisacion quitoselevanta juntospodar quitonecesitaordir losbarriosprimero,2019-02-24
Juan Carlos,Solines,JCSolines,invitar sintonizar entrevista hoy juntospod,2019-02-25
Juan Carlos,Solines,JCSolines,invitar sintonizar entrevista diar hoy quitoselevanta juntospodemo,2019-02-26
Juan Carlos,Solines,JCSolines,esperar descansado feriado avanzar firme campana invito visitar red Facebook Instagram escuchar entrevista manán quitoselevanta juntospodemos,2019-03-06
Juan Carlos,Solines,JCSolines,Juan Carlos Solines candidato Alcaldia Quito Juntos poder LaPalabraSonorama jcsolín,2019-03-06
Juan Carlos,Solines,JCSolines,invito acompanir entrevista diar hoy quitoselevanta juntospodemos,2019-03-07
Juan Carlos,Solines,JCSolines,diferencia atacar plantear tema importante Quito gente Esperamos Paco Moncayo cara poder aspirar ser Alcalde huir debate decir frente trolls quitoselevanta juntospod solinesalcalde,2019-03-07
