nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Paola,Vintimilla,PaolaVintimilla,manán quito candidata alcaldio espero friday quicentro,2019-02-17
Paola,Vintimilla,PaolaVintimilla,paolo vintimilla camino alcaldio quito conocer,2019-02-18
Paola,Vintimilla,PaolaVintimilla,barrio pablo arturo suarez norte quito compartir gran manana vecino sector realizar minga comunitario calle encontrar seguir llegar querer llegar,2019-02-19
Paola,Vintimilla,PaolaVintimilla,junto compartir grupo lideresa social barrial centro quito todo coincidir hora alcaldio hermoso ciudad encabezado mujer,2019-02-20
Paola,Vintimilla,PaolaVintimilla,gusto conversar lideresa trabajador confirmar necesidad cambio saber momento cambiar forma gobernar mujer alcaldio,2019-02-20
Paola,Vintimilla,PaolaVintimilla,poco minuto estare radio comunitario 14h15 luis castillo conversar plan trabajo quito,2019-02-20
Paola,Vintimilla,PaolaVintimilla,unimos comunidad municipio ministerio interior combatir delincuente deber volver casa barrial mantener buen bien iluminado lugar publico trabajar conjunto policia nacional,2019-02-20
Paola,Vintimilla,PaolaVintimilla,primero hacer llegu alcaldio auditoria proceso salgar todo persona necesario entorpecido accionar municipio,2019-02-20
Paola,Vintimilla,PaolaVintimilla,comparto agenda medio jueves temprano estarar dialogo conocer propuesta transformar quito 08h30 invito conocer chico,2019-02-21
Paola,Vintimilla,PaolaVintimilla,recorrimos junto candidata distrito centro deber mantener espacio publico seguro hacer buen mismo adema potenciar turismo motor indispensable desarrollo quito,2019-02-21
Paola,Vintimilla,PaolaVintimilla,junto querido amiga manán,2019-02-21
Paola,Vintimilla,PaolaVintimilla,gracias interesante,2019-02-22
Paola,Vintimilla,PaolaVintimilla,jajajajajaja,2019-02-22
Paola,Vintimilla,PaolaVintimilla,poco dia decidir futuro quito requerir buena intención ano alcaldia perverso destruido ciudad tratar solo cambiar gobierno formar gobernar cambio venir,2019-02-22
Paola,Vintimilla,PaolaVintimilla,poco dia decidir futuro quito requerir buena intención ano alcaldia perverso destruido ciudad tratar solo cambiar gobierno formar gobernar cambio venir,2019-02-22
Paola,Vintimilla,PaolaVintimilla,barrio kennedy norte quito quiteno demostrar preocupacion sucio ciudad cambiar modelo gestion emaseo haremos licitacion transparente empresa privado encargar administracion,2019-02-22
Paola,Vintimilla,PaolaVintimilla,comerciante mercado chiriyacu comprometer votar cambio horo turismo volver poner vision mercado deber convertirlos punto atractivo turista nacional extranjero,2019-02-22
Paola,Vintimilla,PaolaVintimilla,quebrado ciudad cambio empezar botadero lugar natural rodear querer recuperar belleza quito aprendamos cuidar,2019-02-22
Paola,Vintimilla,PaolaVintimilla,proposito viaje capital dar respaldo considerar gran corazon servicio francisco quito,2019-02-23
Paola,Vintimilla,PaolaVintimilla,gracias apoyo,2019-02-23
Paola,Vintimilla,PaolaVintimilla,gran jornada recorrimo junto morar carino gente cada mirada apreton mano recibir servir pasion,2019-02-23
Paola,Vintimilla,PaolaVintimilla,parroquia calderon parroquia rural quito barrio ser olvidar crear mejor via acceso regularizar terreno luchar delincuencia compromiso junto cumplir,2019-02-23
Paola,Vintimilla,PaolaVintimilla,dictador quema ayuda humanitario llegar pueblo morir hambre dictadura maduro deber caer venezuela querer libre total apoyo pueblo venezolano,2019-02-23
Paola,Vintimilla,PaolaVintimilla,nadie hacer cumplir ordenanza quito necesitar orden claro botado,2019-02-24
Paola,Vintimilla,PaolaVintimilla,cambiar forma gobernar ciudad,2019-02-25
Paola,Vintimilla,PaolaVintimilla,iniciar semana dar conocer plan trabajo diferente medio comunicacion invito seguir entrevista,2019-02-25
Paola,Vintimilla,PaolaVintimilla,excelente inicio semana empezam jornada,2019-02-25
Paola,Vintimilla,PaolaVintimilla,querer quito hora vida nocturno solo mejorar turismo empleo sino tambien seguridad ciudad ahora,2019-02-25
Paola,Vintimilla,PaolaVintimilla,cambiar forma gobernar varios ano administrador solo pensar amigo pariente aumentar burocracia municipal repartir poder servir millón quiteno,2019-02-25
Paola,Vintimilla,PaolaVintimilla,fortalecer transporte publico municipal trabajarer extension tro carapunguir beneficiar mil quiteno,2019-02-25
Paola,Vintimilla,PaolaVintimilla,capacitarer agent control cuidar ciudadania reconstruir iluminaremos parque plaza familia delincuent,2019-02-25
Paola,Vintimilla,PaolaVintimilla,cambiar forma gobernar liberare recurso invertirlo obra necesitar familia quiteno video completo,2019-02-25
Paola,Vintimilla,PaolaVintimilla,18h30 acompanarar candidata alcaldia escuchanos,2019-02-25
Paola,Vintimilla,PaolaVintimilla,mejorar sistema transporte publico crear paqueadero periferia,2019-02-26
Paola,Vintimilla,PaolaVintimilla,hacer primero dia auditoria proceso,2019-02-26
Paola,Vintimilla,PaolaVintimilla,acompán candidata alcaldia escuchanos,2019-02-26
Paola,Vintimilla,PaolaVintimilla,cambiar forma gobernar reducir burocracia municipio dinero hacer absolutamente,2019-02-26
Paola,Vintimilla,PaolaVintimilla,martes estare 07h00 programa radio majestad 20h30 entretenido entrevista programa grupo wazaak facebook espero,2019-02-26
Paola,Vintimilla,PaolaVintimilla,ahora acompán candidato alcaldesa escuchano tambien,2019-02-26
Paola,Vintimilla,PaolaVintimilla,primero dia hacer auditorio proceso querer decir empresa revisar departamento municipio determinar cuanta persona necesario poder ahorrar millón dolar invertirer obra,2019-02-26
Paola,Vintimilla,PaolaVintimilla,sectorizacion ruta taxi cumpliro basto desorden taxi franja verde deber circular parroquia rural franja rojo periferia urbano amarillo franja zona urbano cumplir ordenanza recibiro sanción,2019-02-26
Paola,Vintimilla,PaolaVintimilla,volver trabajar comunidad alarma comunitario deber haber coordinacion directo agente metropolitano,2019-02-26
Paola,Vintimilla,PaolaVintimilla,conversar socio camarar industria produccion plan mejorar eficiencia municipio promover desarrollo productivo inversion quito,2019-02-26
Paola,Vintimilla,PaolaVintimilla,proyecto sueno parque ejido har realidad gracia vecino recibir emblematico parque seguir mejorar condición parqu zona seguro familia quitena delincuencia,2019-02-26
Paola,Vintimilla,PaolaVintimilla,puerto puerta llevar mensaje cambio vecino quito gracia recibirno brazo abierto compromisir cambiar forma gobernar ciudad obra servicio merecer,2019-02-26
Paola,Vintimilla,PaolaVintimilla,grupo wazaak 20h30 pierda entrevista,2019-02-27
Paola,Vintimilla,PaolaVintimilla,ahora conversar chico grupo wazaak mirar entrevista facebook siguiente link,2019-02-27
Paola,Vintimilla,PaolaVintimilla,oyacoto cambio prioridad sera siempre ciudadania trabajar hombro hombro desarrollo alcaldesar,2019-02-27
Paola,Vintimilla,PaolaVintimilla,cumbayar ruralidad periferio ser olvidar administración hacer cada parroquia tendro atraccion turistica cultural generar emprendimiento crear unidad,2019-02-28
Paola,Vintimilla,PaolaVintimilla,reducirer burocracia llevado dinero bolsillos ahorro sera invertido servir millón quiteno obra generar empleo hacer barrio seguro,2019-02-28
Paola,Vintimilla,PaolaVintimilla,presentar proyecto creacion escuelas futbol nino joven recibiran uniforme implemento practica incentiver deporte ciudad deber constante prioritario alcaldesar,2019-02-28
Paola,Vintimilla,PaolaVintimilla,invitar seguir manana entrevista partir 07h00 lindo viernes,2019-03-01
Paola,Vintimilla,PaolaVintimilla,crearer corredor exclusivo bús venir valle parroquia hacia casco urbano mejorar acceso brindar opción movilidad vivir sector disminuir flujo vehicular,2019-03-01
Paola,Vintimilla,PaolaVintimilla,capacitar manera eficiente agente metropolitanos cuidar ciudadania dotaremos arma disuasiva control acto delincuencial adema proporcionarer camara tambien sentar seguro,2019-03-01
Paola,Vintimilla,PaolaVintimilla,junto empresa privado haremos recoleccion basura cumpla mantener limpio ciudad genere recurso municipio,2019-03-01
Paola,Vintimilla,PaolaVintimilla,perrito ver calle dueno alcaldio haremos cumplir ordenanza incumplar serar sancionado perrito dueno acompanar agente metropolitano manán conversar,2019-03-01
Paola,Vintimilla,PaolaVintimilla,llego caraván cambio conocoto gracia carino junto lilia aguirre transformar parroquia,2019-03-02
Paola,Vintimilla,PaolaVintimilla,recorrimos zona jipijapo norte quito dar conocer propuesta cambio conductor transeunt luego visitar pifo conversar floricultor cada paso dar sentir respaldo gente gracias carino,2019-03-03
Paola,Vintimilla,PaolaVintimilla,recorrimos zona jipijapo norte quito dar conocer propuesta cambio conductor transeunt luego visitar pifo conversar floricultor cada paso dar sentir respaldo gente gracias carino,2019-03-03
Paola,Vintimilla,PaolaVintimilla,esperar 2deg debate objetivo claro inicio siempre dar testimonio trabajo paolitar abrazo amazonia recibido apoyar,2019-03-03
Paola,Vintimilla,PaolaVintimilla,competencia competencia hacer quito ciudad seguro fortalecerer agente metropolitano trabajaremos ministerio interior volverer comunidad hora tomer calle delincuente,2019-03-03
Paola,Vintimilla,PaolaVintimilla,fomentaremos competitividad sector turistico comercial democratizarer inversion capital semilla sera esencial nuevo emprendimiento proceso innovacion permitir vivir nuevo productivo,2019-03-04
Paola,Vintimilla,PaolaVintimilla,esra correcto ruido visual terrible quito hacer falta orden,2019-03-05
Paola,Vintimilla,PaolaVintimilla,decir falta orden estar ordenanza cumplir poder existir valla permiso municipal insisto ruido visual quito terrible,2019-03-05
Paola,Vintimilla,PaolaVintimilla,hablar falta orden estar ordenanza cumplir poder existir valla permiso municipal insisto ruido visual quito terrible,2019-03-05
Paola,Vintimilla,PaolaVintimilla,sentir quiteno solo tratar cambiar alcalde sino cambiar forma gobernar,2019-03-05
Paola,Vintimilla,PaolaVintimilla,excelente miercol manán estare 07h40 invitar escuchar entrevista,2019-03-06
Paola,Vintimilla,PaolaVintimilla,propuesta enfoco cambiar forma gobernar ciudad quito aqui,2019-03-06
Paola,Vintimilla,PaolaVintimilla,necesitar declarar emergencia primero dia realizar auditoria gestion municipio quito aqui,2019-03-06
Paola,Vintimilla,PaolaVintimilla,quedarno persona necesario municipio llevar partidario mio peor familiar aqui,2019-03-06
Paola,Vintimilla,PaolaVintimilla,creer encuestadoras fallar elección aqui,2019-03-06
Paola,Vintimilla,PaolaVintimilla,administracion metro deber concesionado transporte publico tarjeta inteligente aqui,2019-03-06
Paola,Vintimilla,PaolaVintimilla,candidato ver,2019-03-07
Paola,Vintimilla,PaolaVintimilla,querer quito hora noche tomar vida turismo gastronomia ocupar parque activar cultura call estir llena delincuent querer,2019-03-07
Paola,Vintimilla,PaolaVintimilla,paso firme marzo alcaldesar servir pasion,2019-03-08
Paola,Vintimilla,PaolaVintimilla,recuerde lucha deber continuar conseguir sociedad justo equitativo,2019-03-08
Paola,Vintimilla,PaolaVintimilla,recuerde lucha deber continuar conseguir sociedad justo equitativo,2019-03-08
Paola,Vintimilla,PaolaVintimilla,caminar norte quito junto alcaldia cambiar formar gobernar capital compromiso invertir recurso obra necesitar familia quitena,2019-03-09
