nombre,apellidos,tweet_screen_name,tweet_text,tweet_date
Jorge,Villacreses,jorgevillacrese,"Turismo # Guayaquil , ciudad miedo . alto grado percepcion inseguridad propuesta devolver tranquilidad guayaquilenos . # GuayaquilSeguro # Alcalde2019 # AlguacildelaSeguridad https : //t.co/E7RrWeqVos",2019-02-19
Jorge,Villacreses,jorgevillacrese,"Vamos contar centros monitoreo estaran escuadrones # drones estaran ubicados zonas mas conflictivas . # Policia va manejar sistema , aporte dar herramientas # GuayaquilSeguro # Alcalde2019 # EcuatorianoUnido # AlguacildelaSegurida https : //t.co/HuFjXvvhnz",2019-02-19
Jorge,Villacreses,jorgevillacrese,listos microfonos @ 680radioatalaya # AlguacilDelaSeguridad # Alcalde2019 # EcuatorianoUnidoLista4 # GuayaquilSeguro https : //t.co/vDvtFkk73R,2019-02-19
Jorge,Villacreses,jorgevillacrese,Hoy estare 11h00 # CNE # Guayas solicitar exija Dir . Provincial # EcuatorianoUnidoLista4 asigne pauta publicitaria ley corresponde . candidato derecho mensaje difunda medios comunicacion . # Alcalde2019 https : //t.co/PGuGYweu6V,2019-02-19
Jorge,Villacreses,jorgevillacrese,"excelente dia , iniciando jornada @ teleramaec , invito seguirnos vivo . # AlguacilDelaSeguridad # Alcalde2019 # EcuatorianoUnidoLista4 https : //t.co/0XqjFuPONw",2019-02-20
Jorge,Villacreses,jorgevillacrese,# alcalde voy crear 10 escuadrones cada 5 # drones seran manejados # Policia . Queremos tener # GuayaquilSeguro . # AlguacilDelaSeguridad # Alcalde2019 # VotaSinMiedo # Lista4 https : //t.co/Rv7UWs0ynB,2019-02-20
Jorge,Villacreses,jorgevillacrese,buscar modelos exitosos paises haremos # Guayaquil . # AlguacilDelaSeguridad # GuayaquilSeguro # Alcalde2019 # EcuatorianoUnidoLista4 https : //t.co/bFUfi4YFMv,2019-02-20
Jorge,Villacreses,jorgevillacrese,"Entrevista @ teleamazonasec junto Juan Manuel Bermudez , tambien candidato Alcaldia , denunciar uso pautas publicitarias parte directivas Guayas # EcuatorianoUnidoLista4 # LibertadEsPueblo . https : //t.co/th9dArZkJm",2019-02-20
Jorge,Villacreses,jorgevillacrese,invito seguir entrevista # MasAllaDeLasUrnas @ marielaviteri @ FMRadioFuego # MarielaTV contarles propuestas mas temas . # AlguacilDelaSeguridad # GuayaquilSeguro # Alcalde2019 https : //t.co/lzQRzKtYSz,2019-02-26
Jorge,Villacreses,jorgevillacrese,"Buenos dias , breve estare canal # TvDigital contar guayaquilenos propuestas # Alcaldia2019 . https : //t.co/c9onKWR211",2019-02-27
Jorge,Villacreses,jorgevillacrese,"objetivo fortalecer # Seguridad # Guayaquil escuadrones # Drones , dar capacitacion herramientas informales organizarlos , ambas propuestas van mano uso tecnologia . # AlguacildelaSeguridad # EcuatorianoUnido # Lista4 # Alcaldia2019 https : //t.co/Kvmm1vd9k0",2019-02-27
Jorge,Villacreses,jorgevillacrese,vivo @ RadioHuancavilk conversare propuestas # Alcalde2019 # AlguacilDelaSeguridad # Lista4 # EscuadronDeDrones # CamarasDeReconocimientoFacial https : //t.co/8Sow3dDtZu,2019-02-27
Jorge,Villacreses,jorgevillacrese,invito 19h00 sintonizar @ teleramaec @ eluniversocom conocer propuestas debate organizado # EcuadorDecide # AlguacilDelaSeguridad # GuayaquilSeguro # GuayaquilSinMiedo # VotaSinMiedo # Lista4 https : //t.co/wdem7zXJ5k,2019-02-28
Jorge,Villacreses,jorgevillacrese,"Nota periodistica @ Expresoec debate . Gracias informar , embargo debo aclarar 1 minuto ( tiempo exponer ) imposible ampliar cifras detalles propuestas . https : //t.co/ETWYMxlK6Y",2019-03-01
Jorge,Villacreses,jorgevillacrese,@ CynthiaViteri6 @ radioelite9971 Estimada candidata habria gustado participe debate conocer `` nueva propuesta '' plan trabajo notariado @ cnegobec @ eluniversocom @ Expresoec @ ecuavisa @ teleamazonasec,2019-03-01
